year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october
1895,illinois,,,,,,53.8,62.7,73.7,72.9,74.1,69.6,47.4,37.6,2.08,2.21,2.61,5.44,2.58,3.08,0.6,3.57,-1.68,-2.21,-2.7,-1.75,-2.01,-2.12,-2.61,-2.36,,,41.0,,,,,,,,,,,,,,,
1895,indiana,,,,,,53.1,62.6,73.7,72.5,73.9,69.1,46.2,39.5,2.15,1.68,2.77,3.46,2.27,2.34,0.72,5.15,-2.0,-2.75,-3.25,-3.22,-3.72,-4.04,-4.49,-3.92,,,36.0,,,,,,,,,,,,,,,
1895,iowa,,,,,,53.1,61.0,69.3,71.6,71.7,66.8,44.6,32.4,2.56,3.2,4.18,3.25,4.42,3.12,0.48,1.48,-0.86,-1.1,-1.14,-1.09,-0.77,-0.97,-1.44,-1.49,,0.18,39.0,,,,,,,,,,,,,,,
1895,minnesota,,,,,,48.0,55.2,62.9,66.2,65.0,58.7,39.7,24.9,1.58,3.37,5.18,3.21,2.26,3.78,0.34,1.27,-1.25,0.12,0.82,0.88,-0.51,0.0,-0.5,-0.5,,,30.5,,,,,,,,,,,,,,,
1895,missouri,,,,,,58.0,64.8,73.5,74.7,75.4,71.6,51.3,41.1,2.02,4.07,6.12,7.13,3.86,2.76,0.4,3.58,-1.5,-1.65,0.5,1.98,2.18,1.76,0.88,1.05,,,37.0,,,,,,,,,,,,,,,
1895,nebraska,,,,,,53.6,59.0,66.2,71.0,71.0,65.5,46.1,32.4,2.35,2.56,5.02,1.76,2.81,1.39,0.19,0.86,1.06,0.8,1.69,1.59,1.99,-0.33,-0.75,-0.49,,,16.5,,,,,,,,,,,,,,,
1896,illinois,,,,,,58.4,68.9,71.0,74.9,73.9,62.6,50.2,39.6,2.8,5.69,3.94,6.11,2.82,5.37,1.28,2.63,-1.94,0.25,0.24,1.3,1.11,2.08,1.75,1.95,,,42.0,,,,,,,,,,,,,,,
1896,indiana,,,,,,57.8,68.5,70.2,74.2,72.6,62.6,49.3,42.6,1.81,4.77,4.45,7.96,5.06,5.03,1.14,3.44,-3.47,-3.42,0.18,1.97,2.74,3.69,3.28,3.53,,,39.5,,,,,,,,,,,,,,,
1896,iowa,,,,,,53.5,65.2,69.5,72.3,70.9,57.4,46.6,27.3,5.04,6.47,3.27,6.59,3.41,3.97,3.21,2.01,0.76,1.47,0.79,1.98,1.81,2.17,2.77,3.1,,0.14,43.0,,,,,,,,,,,,,,,
1896,minnesota,,,,,,41.9,59.0,65.0,67.5,65.3,53.0,40.3,14.8,5.56,5.53,3.67,2.17,2.43,2.39,2.6,2.82,2.64,3.49,2.91,2.04,1.18,0.92,1.29,2.18,,,30.5,,,,,,,,,,,,,,,
