year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-nov-avg-temp,april-nov-precipitation,april-nov-pdsi,april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october,april-nov-subsoil-score,april-nov-topsoil-score
1895,illinois,,,,,,61.5,22.17,-2.2514285714285713,53.8,62.7,73.7,72.9,74.1,69.6,47.4,37.6,2.08,2.21,2.61,5.44,2.58,3.08,0.6,3.57,-1.68,-2.21,-2.7,-1.75,-2.01,-2.12,-2.61,-2.36,,,41.0,,,,,,,,,,,,,,,,,
1895,indiana,,,,,,61.3,20.54,-3.6271428571428577,53.1,62.6,73.7,72.5,73.9,69.1,46.2,39.5,2.15,1.68,2.77,3.46,2.27,2.34,0.72,5.15,-2.0,-2.75,-3.25,-3.22,-3.72,-4.04,-4.49,-3.92,,,36.0,,,,,,,,,,,,,,,,,
1895,iowa,,,,,,58.8,22.69,-1.1428571428571428,53.1,61.0,69.3,71.6,71.7,66.8,44.6,32.4,2.56,3.2,4.18,3.25,4.42,3.12,0.48,1.48,-0.86,-1.1,-1.14,-1.09,-0.77,-0.97,-1.44,-1.49,,0.18,39.0,,,,,,,,,,,,,,,,,
1895,minnesota,,,,,,52.6,20.99,0.0442857142857142,48.0,55.2,62.9,66.2,65.0,58.7,39.7,24.9,1.58,3.37,5.18,3.21,2.26,3.78,0.34,1.27,-1.25,0.12,0.82,0.88,-0.51,0.0,-0.5,-0.5,,,30.5,,,,,,,,,,,,,,,,,
1895,missouri,,,,,,63.8,29.94,0.9571428571428572,58.0,64.8,73.5,74.7,75.4,71.6,51.3,41.1,2.02,4.07,6.12,7.13,3.86,2.76,0.4,3.58,-1.5,-1.65,0.5,1.98,2.18,1.76,0.88,1.05,,,37.0,,,,,,,,,,,,,,,,,
1895,nebraska,,,,,,58.1,16.94,0.6428571428571429,53.6,59.0,66.2,71.0,71.0,65.5,46.1,32.4,2.35,2.56,5.02,1.76,2.81,1.39,0.19,0.86,1.06,0.8,1.69,1.59,1.99,-0.33,-0.75,-0.49,,,16.5,,,,,,,,,,,,,,,,,
1896,illinois,,,,,,62.4,30.64,1.24,58.4,68.9,71.0,74.9,73.9,62.6,50.2,39.6,2.8,5.69,3.94,6.11,2.82,5.37,1.28,2.63,-1.94,0.25,0.24,1.3,1.11,2.08,1.75,1.95,,,42.0,,,,,,,,,,,,,,,,,
1896,indiana,,,,,,62.2,33.66,1.7099999999999995,57.8,68.5,70.2,74.2,72.6,62.6,49.3,42.6,1.81,4.77,4.45,7.96,5.06,5.03,1.14,3.44,-3.47,-3.42,0.18,1.97,2.74,3.69,3.28,3.53,,,39.5,,,,,,,,,,,,,,,,,
1896,iowa,,,,,,57.8,33.97,2.012857142857143,53.5,65.2,69.5,72.3,70.9,57.4,46.6,27.3,5.04,6.47,3.27,6.59,3.41,3.97,3.21,2.01,0.76,1.47,0.79,1.98,1.81,2.17,2.77,3.1,,0.14,43.0,,,,,,,,,,,,,,,,,
1896,minnesota,,,,,,50.9,27.17,2.001428571428572,41.9,59.0,65.0,67.5,65.3,53.0,40.3,14.8,5.56,5.53,3.67,2.17,2.43,2.39,2.6,2.82,2.64,3.49,2.91,2.04,1.18,0.92,1.29,2.18,,,30.5,,,,,,,,,,,,,,,,,
1896,missouri,,,,,,65.0,34.66,2.0614285714285714,61.8,70.0,72.7,77.6,76.7,65.2,54.0,42.1,3.6,8.77,4.04,5.41,3.41,4.41,2.63,2.39,1.02,2.02,1.69,2.29,2.14,2.29,2.08,1.92,,,29.5,,,,,,,,,,,,,,,,,
1896,nebraska,,,,,,56.9,23.25,2.508571428571429,50.4,62.2,68.8,72.8,71.2,58.2,46.7,24.7,4.88,3.72,3.96,3.87,1.81,2.19,1.71,1.11,1.6,1.66,1.82,2.74,2.54,2.68,2.97,3.15,,,37.5,,,,,,,,,,,,,,,,,
1897,illinois,,,,,,62.2,20.87,-1.69,49.9,58.6,70.8,76.6,71.6,71.3,59.6,39.5,4.28,1.85,4.59,3.51,1.16,0.99,0.46,4.03,3.31,-0.63,-0.34,-0.39,-1.27,-2.41,-3.51,-3.28,,,34.0,,,,,,,,,,,,,,,,,
1897,indiana,,,,,,61.2,24.24,-0.9414285714285714,49.3,57.2,69.3,76.3,70.5,68.5,58.0,40.8,4.16,3.11,4.12,3.23,1.6,0.56,1.11,6.35,3.4,-0.17,-0.03,-0.33,-1.07,-2.3,-3.22,0.53,,,30.5,,,,,,,,,,,,,,,,,
1897,iowa,,,,,,59.3,19.59,-2.0214285714285714,47.0,57.8,68.2,75.0,68.0,70.0,55.4,32.6,4.96,1.89,3.9,3.17,2.05,1.97,1.02,0.63,3.68,-0.7,-0.85,-1.1,-1.69,-2.59,-3.3,-3.92,,0.17,33.5,,,,,,,,,,,,,,,,,
1897,minnesota,,,,,,52.8,21.64,0.6642857142857144,41.6,53.5,60.8,70.5,62.9,63.0,47.0,22.9,1.55,1.37,5.25,7.32,2.31,1.68,1.61,0.55,3.01,1.78,2.36,4.29,-0.25,-0.94,-1.08,-1.51,,,28.0,,,,,,,,,,,,,,,,,
1897,missouri,,,,,,65.2,22.81,-1.2514285714285711,54.0,62.2,73.6,78.9,74.1,73.8,62.5,42.7,4.59,2.44,5.95,3.31,2.56,0.69,0.73,2.54,3.92,-0.65,-0.17,-0.17,-0.41,-1.61,-2.72,-3.03,,,26.0,,,,,,,,,,,,,,,,,
1897,nebraska,,,,,,59.0,18.6,2.424285714285714,46.5,59.7,67.7,74.1,69.1,69.4,52.0,33.1,3.82,1.64,3.47,2.51,2.64,1.11,2.92,0.49,4.13,3.04,2.79,2.57,2.58,1.53,2.39,2.07,,,30.0,,,,,,,,,,,,,,,,,
1898,illinois,,,,,,61.0,32.05,2.6385714285714283,48.9,61.8,72.9,75.0,73.1,68.9,51.2,36.5,3.23,6.11,4.48,2.99,4.25,4.8,3.99,2.2,2.22,2.75,2.6,2.15,2.3,2.59,3.04,3.04,,,31.0,,,,,,,,,,,,,,,,,
1898,indiana,,,,,,61.2,28.82,1.282857142857143,48.3,62.0,72.5,75.5,73.0,68.8,52.5,36.8,2.13,4.45,3.73,2.9,3.63,4.43,4.67,2.88,1.89,1.78,1.39,0.78,0.67,0.94,1.64,1.78,,,38.5,,,,,,,,,,,,,,,,,
1898,iowa,,,,,,57.9,25.07,-1.5914285714285714,47.0,59.0,70.8,72.9,71.4,64.5,46.5,30.8,2.47,4.47,4.4,2.68,3.39,2.62,3.58,1.46,-3.09,-2.46,-2.35,-2.45,-2.44,-2.67,0.64,0.59,,0.23,36.0,,,,,,,,,,,,,,,,,
1898,minnesota,,,,,,51.6,21.23,0.3314285714285714,41.2,53.2,63.8,67.9,64.5,58.0,40.1,23.8,1.31,3.14,4.44,3.27,3.05,1.75,3.32,0.95,-2.13,0.14,0.4,0.44,-0.05,-0.6,1.0,0.99,,,30.5,,,,,,,,,,,,,,,,,
1898,missouri,,,,,,63.5,39.21,3.6342857142857143,52.0,65.4,75.4,76.2,75.7,70.8,53.2,39.4,3.56,7.43,5.76,5.73,3.26,6.75,4.34,2.38,2.2,2.87,2.88,3.55,3.35,4.04,4.46,4.29,,,30.0,,,,,,,,,,,,,,,,,
1898,nebraska,,,,,,56.9,18.14,0.2957142857142857,47.4,55.8,69.5,72.9,72.8,62.2,44.9,29.8,1.91,5.18,3.12,2.39,2.02,2.15,0.78,0.59,1.34,2.31,-0.12,0.2,-0.14,-0.02,-0.07,-0.09,,,21.0,,,,,,,,,,,,,,,,,
1899,illinois,,,,,,63.3,23.42,-1.1785714285714286,52.6,63.2,72.6,74.5,75.5,64.6,58.2,44.9,1.54,5.99,2.5,3.54,2.77,2.05,3.23,1.8,-0.88,-0.19,-0.8,-0.8,-1.18,-1.58,-1.54,-2.16,,,38.8,,,,,,,,,,,,,,,,,
1899,indiana,,,,,,63.2,21.83,-2.2214285714285715,53.3,63.4,73.0,74.7,75.1,65.0,57.6,43.8,1.51,3.95,2.93,3.34,2.75,1.84,2.99,2.52,-1.03,-1.2,-1.66,-1.83,-2.24,-2.67,-2.73,-3.22,,,39.8,,,,,,,,,,,,,,,,,
1899,iowa,,,,,,60.5,24.2,-0.4614285714285714,48.0,59.6,70.1,72.5,73.5,61.7,55.6,42.6,2.37,6.04,5.17,3.1,3.54,0.96,1.83,1.19,-0.64,0.93,1.04,-0.12,-0.26,-1.15,-1.53,-2.14,,0.23,39.1,,,,,,,,,,,,,,,,,
1899,minnesota,,,,,,53.7,25.94,2.601428571428571,41.4,52.8,63.7,68.4,66.6,54.3,45.8,36.6,1.7,4.54,5.55,3.3,5.56,1.6,3.07,0.62,0.79,1.7,2.4,2.23,3.28,2.68,3.22,2.7,,,32.8,,,,,,,,,,,,,,,,,
1899,missouri,,,,,,65.8,28.56,0.6528571428571429,53.6,66.9,74.0,75.9,78.7,67.0,61.8,48.5,3.55,6.17,3.81,4.7,3.12,2.0,3.16,2.05,2.76,2.86,2.32,2.6,-0.17,-0.69,-0.91,-1.44,,,28.1,,,,,,,,,,,,,,,,,
1899,nebraska,,,,,,59.4,16.46,-1.134285714285714,47.2,58.0,68.6,72.6,72.9,63.1,51.0,41.9,1.0,3.68,3.81,2.96,2.81,0.42,0.94,0.84,-1.07,-0.95,-0.85,-0.71,-0.55,-1.5,-1.62,-1.76,,,28.8,,,,,,,,,,,,,,,,,
1900,illinois,,,,,,63.5,27.26,-1.1457142857142857,52.3,63.9,70.3,74.6,78.8,68.3,60.6,39.3,1.51,4.19,4.3,4.35,4.12,3.41,2.51,2.87,-2.22,-2.09,-1.68,-1.11,-0.79,-0.68,-0.89,-0.78,83.36563722997468,,40.0,,,,,,,,,,,,,,,,,
1900,indiana,,,,,,63.5,28.12,-1.7757142857142856,51.4,63.9,70.4,74.6,77.7,69.1,60.4,40.8,1.58,4.28,5.66,4.79,3.31,2.01,2.42,4.07,-3.05,-2.86,-1.87,-1.22,-1.19,-1.65,-1.96,-1.68,69.13869062083414,,41.5,,,,,,,,,,,,,,,,,
1900,iowa,,,,,,61.0,31.14,0.7614285714285715,51.6,62.9,69.0,73.1,76.9,63.8,58.4,32.0,2.69,3.13,3.95,6.59,4.73,5.02,3.97,1.06,-1.86,-2.13,-2.15,1.23,1.41,1.99,2.53,2.45,39.646145269802595,0.27,45.0,,,,,,,,,,,,,,,,,
1900,minnesota,,,,,,55.1,24.84,0.7314285714285714,48.1,57.5,64.8,66.7,71.6,56.7,52.6,22.6,1.3,0.8,1.65,4.52,6.8,5.81,3.28,0.68,-0.93,-2.39,-3.79,0.18,1.47,2.99,3.46,3.2,20.175800932710946,,33.0,,,,,,,,,,,,,,,,,
1900,missouri,,,,,,65.8,31.92,0.3914285714285714,55.9,65.9,73.0,76.6,79.9,70.9,61.5,43.0,3.37,3.67,5.23,4.37,3.59,4.83,3.94,2.92,-1.22,-1.51,0.24,0.66,0.62,0.83,0.91,0.99,44.58663327738007,,29.5,,,,,,,,,,,,,,,,,
