state,year,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,subsoil-score-november,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october,topsoil-score-november,subsoil-score-april-lagged,subsoil-score-may-lagged,subsoil-score-june-lagged,subsoil-score-july-lagged,subsoil-score-august-lagged,subsoil-score-september-lagged,subsoil-score-october-lagged,subsoil-score-november-lagged,topsoil-score-april-lagged,topsoil-score-may-lagged,topsoil-score-june-lagged,topsoil-score-july-lagged,topsoil-score-august-lagged,topsoil-score-september-lagged,topsoil-score-october-lagged,topsoil-score-november-lagged
illinois,1995,,,,,,,,,314.25,381.0,336.0,278.79999999999995,283.75,210.75,203.4,267.66666666666663,245.0,,,,,,,,,,,,,,,
illinois,1996,,,,,,,,,271.0,353.25,352.6,244.0,229.0,229.2,270.75,299.3333333333333,,,,,,,,,314.25,381.0,336.0,278.79999999999995,283.75,210.75,203.4,267.66666666666663
illinois,1997,,,,,,,,,313.25,289.25,316.79999999999995,238.25,229.20000000000002,273.0,246.75,282.8,,,,,,,,,271.0,353.25,352.6,244.0,229.0,229.2,270.75,299.3333333333333
illinois,1998,,,,,,,,,350.5,351.6,345.5,325.0,292.6,243.75,285.25,304.2,,,,,,,,,313.25,289.25,316.79999999999995,238.25,229.20000000000002,273.0,246.75,282.8
illinois,1999,,,,,,,,,340.6666666666667,338.79999999999995,316.5,262.0,214.0,183.25,234.39999999999998,170.75,,,,,,,,,350.5,351.6,345.5,325.0,292.6,243.75,285.25,304.2
illinois,2000,,,,,,,,,239.5,270.25,296.25,316.4,289.0,260.0,291.8,298.5,,,,,,,,,340.6666666666667,338.79999999999995,316.5,262.0,214.0,183.25,234.39999999999998,170.75
illinois,2001,,,,,,,,,303.75,262.25,319.75,255.4,228.5,276.40000000000003,317.75,300.6666666666667,,,,,,,,,239.5,270.25,296.25,316.4,289.0,260.0,291.8,298.5
illinois,2002,,,,,,,,,327.0,359.75,303.0,209.25,223.5,228.8,255.5,277.75,,,,,,,,,303.75,262.25,319.75,255.4,228.5,276.40000000000003,317.75,300.6666666666667
illinois,2003,,,,,,,,,274.25,329.0,299.59999999999997,290.25,247.00000000000003,265.75,262.0,295.40000000000003,,,,,,,,,327.0,359.75,303.0,209.25,223.5,228.8,255.5,277.75
illinois,2004,,,,,,,,,282.0,313.6,315.25,292.5,279.6,275.25,276.59999999999997,327.6666666666667,,,,,,,,,274.25,329.0,299.59999999999997,290.25,247.00000000000003,265.75,262.0,295.40000000000003
illinois,2005,,,,,,,,,288.6666666666667,257.2,190.5,146.4,177.25,194.0,226.6,238.33333333333334,,,,,,,,,282.0,313.6,315.25,292.5,279.6,275.25,276.59999999999997,327.6666666666667
illinois,2006,,,,,,,,,291.75,308.0,274.0,239.6,257.25,280.0,279.59999999999997,297.0,,,,,,,,,288.6666666666667,257.2,190.5,146.4,177.25,194.0,226.6,238.33333333333334
illinois,2007,,,,,,,,,326.5,282.25,239.0,270.2,229.5,216.79999999999998,212.75,227.0,,,,,,,,,291.75,308.0,274.0,239.6,257.25,280.0,279.59999999999997,297.0
illinois,2008,,,,,,,,,356.0,337.5,337.2,307.75,274.0,318.5,302.25,304.40000000000003,,,,,,,,,326.5,282.25,239.0,270.2,229.5,216.79999999999998,212.75,227.0
illinois,2009,,,,,,,,,365.75,360.8,338.75,312.75,298.4,286.75,337.0,352.6,,,,,,,,,356.0,337.5,337.2,307.75,274.0,318.5,302.25,304.40000000000003
illinois,2010,,,,,,,,,314.3333333333333,333.40000000000003,347.75,302.0,273.0,267.25,236.40000000000003,252.0,,,,,,,,,365.75,360.8,338.75,312.75,298.4,286.75,337.0,352.6
illinois,2011,,,,,,,,,336.6666666666667,343.79999999999995,337.0,279.4,217.0,212.5,236.6,275.25,,,,,,,,,314.3333333333333,333.40000000000003,347.75,302.0,273.0,267.25,236.40000000000003,252.0
illinois,2012,261.25,272.25,205.75,135.4,125.25,180.0,209.0,224.0,275.5,277.0,202.25,132.20000000000002,142.25,236.40000000000003,264.0,278.5,,,,,,,,,336.6666666666667,343.79999999999995,337.0,279.4,217.0,212.5,236.6,275.25
illinois,2013,298.5,326.25,324.6,295.25,257.0,211.25,208.0,243.59999999999997,337.5,342.5,334.0,289.5,244.25,198.0,217.5,274.15,261.25,272.25,205.75,135.4,125.25,180.0,209.0,224.0,275.5,277.0,202.25,132.20000000000002,142.25,236.40000000000003,264.0,278.5
illinois,2014,269.5,277.75,287.59999999999997,289.5,278.6,292.0,300.75,299.25,303.75,305.5,307.0,301.25,286.8,304.5,316.75,308.75,298.5,326.25,324.6,295.25,257.0,211.25,208.0,243.59999999999997,337.5,342.5,334.0,289.5,244.25,198.0,217.5,274.15
illinois,2015,302.5,299.0,330.5,339.75,300.2,278.75,261.75,268.8,314.25,311.0,345.0,342.25,292.40000000000003,276.5,250.25,280.2,269.5,277.75,287.59999999999997,289.5,278.6,292.0,300.75,299.25,303.75,305.5,307.0,301.25,286.8,304.5,316.75,308.75
illinois,2016,308.6666666666667,314.6,289.5,291.6,304.5,306.5,300.4,294.0,312.0,322.59999999999997,283.75,295.59999999999997,310.5,309.75,304.4,298.0,302.5,299.0,330.5,339.75,300.2,278.75,261.75,268.8,314.25,311.0,345.0,342.25,292.40000000000003,276.5,250.25,280.2
illinois,2017,312.0,331.75,290.25,269.8,254.75,219.5,230.79999999999998,273.75,324.25,340.0,280.25,264.4,248.5,209.25,244.2,298.0,308.6666666666667,314.6,289.5,291.6,304.5,306.5,300.4,294.0,312.0,322.59999999999997,283.75,295.59999999999997,310.5,309.75,304.4,298.0
illinois,2018,304.25,285.25,286.5,279.40000000000003,254.75,282.6,292.25,304.25,317.25,287.0,293.25,286.00000000000006,260.25,290.40000000000003,301.25,321.75,312.0,331.75,290.25,269.8,254.75,219.5,230.79999999999998,273.75,324.25,340.0,280.25,264.4,248.5,209.25,244.2,298.0
illinois,2019,346.0,366.25,349.2,300.75,253.75,268.8,283.25,305.25,353.5,369.25,346.8,289.75,238.25,268.6,291.75,316.0,304.25,285.25,286.5,279.40000000000003,254.75,282.6,292.25,304.25,317.25,287.0,293.25,286.00000000000006,260.25,290.40000000000003,301.25,321.75
illinois,2020,312.75,325.59999999999997,291.0,283.75,281.59999999999997,257.5,248.25,259.40000000000003,315.0,332.20000000000005,280.0,281.5,274.6,254.0,252.25,274.59999999999997,346.0,366.25,349.2,300.75,253.75,268.8,283.25,305.25,353.5,369.25,346.8,289.75,238.25,268.6,291.75,316.0
illinois,2021,299.33333333333337,294.79999999999995,277.25,285.5,276.20000000000005,260.0,279.4,296.25,303.3333333333333,306.2,282.0,298.75,279.0,259.25,302.40000000000003,304.25,312.75,325.59999999999997,291.0,283.75,281.59999999999997,257.5,248.25,259.40000000000003,315.0,332.20000000000005,280.0,281.5,274.6,254.0,252.25,274.59999999999997
illinois,2022,331.0,321.0,284.0,263.6,272.5,259.75,230.4,248.5,346.6666666666667,327.6,278.5,264.0,276.25,274.75,230.8,263.0,299.33333333333337,294.79999999999995,277.25,285.5,276.20000000000005,260.0,279.4,296.25,303.3333333333333,306.2,282.0,298.75,279.0,259.25,302.40000000000003,304.25
illinois,2023,308.5,284.0,196.5,226.79999999999998,256.75,225.25,230.59999999999997,229.75,312.25,289.75,184.75,242.99999999999997,272.5,222.75,249.60000000000002,254.5,331.0,321.0,284.0,263.6,272.5,259.75,230.4,248.5,346.6666666666667,327.6,278.5,264.0,276.25,274.75,230.8,263.0
