year,state,population-density
1895,illinois,
1895,indiana,
1895,iowa,
1895,minnesota,
1895,missouri,
1895,nebraska,
1896,illinois,
1896,indiana,
1896,iowa,
1896,minnesota,
1896,missouri,
1896,nebraska,
1897,illinois,
1897,indiana,
1897,iowa,
1897,minnesota,
1897,missouri,
1897,nebraska,
1898,illinois,
1898,indiana,
1898,iowa,
1898,minnesota,
1898,missouri,
1898,nebraska,
1899,illinois,
1899,indiana,
1899,iowa,
1899,minnesota,
1899,missouri,
1899,nebraska,
1900,illinois,83.36563722997468
1900,indiana,69.13869062083414
1900,iowa,39.646145269802595
1900,minnesota,20.175800932710942
1900,missouri,44.58663327738007
1900,nebraska,13.794831424444984
1901,illinois,84.8506092270289
1901,indiana,69.77021956613962
1901,iowa,39.575062983348445
1901,minnesota,20.762440526535492
1901,missouri,44.873548549435284
1901,nebraska,13.937046181398026
1902,illinois,86.1974442941246
1902,indiana,70.48412185213711
1902,iowa,39.486210125280756
1902,minnesota,21.418096543162928
1902,missouri,45.14611805788773
1902,nebraska,14.079260938351068
1903,illinois,87.56154647746511
1903,indiana,71.22548191836526
1903,iowa,39.39735726721307
1903,minnesota,21.8667032913817
1903,missouri,45.41868756634019
1903,nebraska,14.273190152377941
1904,illinois,89.11558693949861
1904,indiana,71.77463752297872
1904,iowa,39.30850440914538
1904,minnesota,22.372823725269544
1904,missouri,45.69125707479264
1904,nebraska,14.467119366404816
1905,illinois,90.49695623908394
1905,indiana,72.35125090782286
1905,iowa,39.29073383753184
1905,minnesota,22.786922262086875
1905,missouri,45.963826583245094
1905,nebraska,14.596405509089399
1906,illinois,91.67112014373147
1906,indiana,73.12006875428169
1906,iowa,39.34404555237245
1906,minnesota,22.85593868488976
1906,missouri,46.23639609169754
1906,nebraska,14.712763037505523
1907,illinois,92.96615386209272
1907,indiana,73.55939323797246
1907,iowa,39.39735726721307
1907,minnesota,22.94796058196028
1907,missouri,46.50896560015
1907,nebraska,14.854977794458563
1908,illinois,94.52019432412621
1908,indiana,73.5044776775111
1908,iowa,39.45066898205368
1908,minnesota,23.235529010305648
1908,missouri,46.767189344999686
1908,nebraska,15.010121165680063
1909,illinois,96.12603613489416
1909,indiana,73.53193545774178
1909,iowa,39.503980696894295
1909,minnesota,23.592113861453903
1909,missouri,47.03975885345214
1909,nebraska,15.216978993975395
1910,illinois,97.87001487562064
1910,indiana,74.49295776581533
1910,iowa,39.59283355496198
1910,minnesota,23.994709661137417
1910,missouri,47.35536565271288
1910,nebraska,15.48847989361302
1911,illinois,99.40678822140931
1911,indiana,75.5363534145809
1911,iowa,39.96601555884627
1911,minnesota,24.3742999865533
1911,missouri,47.58489787035705
1911,nebraska,15.721194950445268
1912,illinois,100.6327534747913
1912,indiana,76.46991794242378
1912,iowa,40.4991327072524
1912,minnesota,24.69637662630011
1912,missouri,47.972233487631584
1912,nebraska,15.9280527787406
1913,illinois,102.92927993535191
1913,indiana,77.54077137142
1913,iowa,40.961167569204385
1913,minnesota,25.19099432305414
1913,missouri,48.90470812181102
1913,nebraska,16.109053378499016
1914,illinois,105.48481313958477
1914,indiana,78.44687811903222
1914,iowa,41.54759643245113
1914,minnesota,25.69711475694199
1914,missouri,49.73676241077114
1914,nebraska,16.341768435331264
1915,illinois,106.95251802039418
1915,indiana,78.88620260272299
1915,iowa,42.045172437630185
1915,minnesota,26.14572150516076
1915,missouri,50.095406500840156
1915,nebraska,16.44519734947893
1916,illinois,108.33388731997951
1916,indiana,79.54518932825913
1916,iowa,42.222878153765556
1916,minnesota,26.548317304844275
1916,missouri,50.59750822693678
1916,nebraska,16.483983192284306
1917,illinois,109.00730485352736
1917,indiana,79.90214047125788
1917,iowa,42.329501583446785
1917,minnesota,26.789874784654383
1917,missouri,49.77979970157942
1917,nebraska,16.61326933496889
1918,illinois,108.35115443622433
1918,indiana,79.0784070643377
1918,iowa,41.77861386342712
1918,minnesota,26.352770773569425
1918,missouri,47.69966397917913
1918,nebraska,16.367625663868182
1919,illinois,110.37140703686788
1919,indiana,79.79230935033519
1919,iowa,42.276189868606174
1919,minnesota,26.98542131592923
1919,missouri,48.35956910490612
1919,nebraska,16.67791240631118
1920,illinois,115.05079553921318
1920,indiana,80.91807833979277
1920,iowa,42.64937187249046
1920,minnesota,27.64107733255667
1920,missouri,48.83297930379722
1920,nebraska,16.807198548995764
1921,illinois,118.41788320695242
1921,indiana,81.71435396648228
1921,iowa,42.77376587378523
1921,minnesota,27.99766218370492
1921,missouri,49.19162339386624
1921,nebraska,16.923556077411888
1922,illinois,120.14459483143409
1922,indiana,81.41231838394488
1922,iowa,43.14694787766952
1922,minnesota,28.19320871497977
1922,missouri,49.30638950268832
1922,nebraska,16.962341920217263
1923,illinois,122.04397761836391
1923,indiana,83.52656746170669
1923,iowa,43.09363616282891
1923,minnesota,28.6073072517971
1923,missouri,49.55026748393525
1923,nebraska,17.078699448633387
1924,illinois,124.58224370635196
1924,indiana,84.73470979185629
1924,iowa,43.00478330476122
1924,minnesota,28.9984003143468
1924,missouri,50.324938718484326
1924,nebraska,17.233842819854885
1925,illinois,126.15355128463027
1925,indiana,85.64081653946849
1925,iowa,43.12917730605598
1925,minnesota,29.21695231988928
1925,missouri,50.58316246333402
1925,nebraska,17.36312896253947
1926,illinois,127.69032463041896
1926,indiana,86.43709216615801
1926,iowa,43.21803016412367
1926,minnesota,29.44700706256557
1926,missouri,51.013535371416836
1926,nebraska,17.49241510522405
1927,illinois,129.8314470447762
1927,indiana,87.61777671607693
1927,iowa,43.37796530864551
1927,minnesota,29.769083702312383
1927,missouri,51.30045064347205
1927,nebraska,17.647558476445553
1928,illinois,130.81567267073078
1928,indiana,88.19439010092107
1928,iowa,43.537900453167346
1928,minnesota,29.81509465084764
1928,missouri,51.65909473354107
1928,nebraska,17.725130162056303
1929,illinois,131.33368615807527
1929,indiana,88.57879902415048
1929,iowa,43.715606169302724
1929,minnesota,29.58503990817135
1929,missouri,51.96035576919904
1929,nebraska,17.776844619130134
1930,illinois,131.9898365753783
1930,indiana,89.01812350784125
1930,iowa,43.98216474350579
1930,minnesota,29.631050856706608
