year,state,price-received
1895,illinois,
1895,indiana,
1895,iowa,0.18
1895,minnesota,
1895,missouri,
1895,nebraska,
1896,illinois,
1896,indiana,
1896,iowa,0.14
1896,minnesota,
1896,missouri,
1896,nebraska,
1897,illinois,
1897,indiana,
1897,iowa,0.17
1897,minnesota,
1897,missouri,
1897,nebraska,
1898,illinois,
1898,indiana,
1898,iowa,0.23
1898,minnesota,
1898,missouri,
1898,nebraska,
1899,illinois,
1899,indiana,
1899,iowa,0.23
1899,minnesota,
1899,missouri,
1899,nebraska,
1900,illinois,
1900,indiana,
1900,iowa,0.27
1900,minnesota,
1900,missouri,
1900,nebraska,
1901,illinois,
1901,indiana,
1901,iowa,0.52
1901,minnesota,
1901,missouri,
1901,nebraska,
1902,illinois,
1902,indiana,
1902,iowa,0.33
1902,minnesota,
1902,missouri,
1902,nebraska,
1903,illinois,
1903,indiana,
1903,iowa,0.38
1903,minnesota,
1903,missouri,
1903,nebraska,
1904,illinois,
1904,indiana,
1904,iowa,0.33
1904,minnesota,
1904,missouri,
1904,nebraska,
1905,illinois,
1905,indiana,
1905,iowa,0.34
1905,minnesota,
1905,missouri,
1905,nebraska,
1906,illinois,
1906,indiana,
1906,iowa,0.32
1906,minnesota,
1906,missouri,
1906,nebraska,
1907,illinois,
1907,indiana,
1907,iowa,0.43
1907,minnesota,
1907,missouri,
1907,nebraska,
1908,illinois,
1908,indiana,
1908,iowa,0.57
1908,minnesota,
1908,missouri,
1908,nebraska,0.51
1909,illinois,0.56
1909,indiana,0.55
1909,iowa,0.52
1909,minnesota,0.5
1909,missouri,
1909,nebraska,0.5
1910,illinois,0.45
1910,indiana,0.45
1910,iowa,0.42
1910,minnesota,0.46
1910,missouri,
1910,nebraska,0.44
1911,illinois,0.64
1911,indiana,0.62
1911,iowa,0.6
1911,minnesota,0.53
1911,missouri,
1911,nebraska,0.62
1912,illinois,0.52
1912,indiana,0.51
1912,iowa,0.44
1912,minnesota,0.4
1912,missouri,
1912,nebraska,0.49
1913,illinois,0.66
1913,indiana,0.64
1913,iowa,0.61
1913,minnesota,0.54
1913,missouri,
1913,nebraska,0.64
1914,illinois,0.68
1914,indiana,0.67
1914,iowa,0.64
1914,minnesota,0.59
1914,missouri,
1914,nebraska,0.61
1915,illinois,0.66
1915,indiana,0.65
1915,iowa,0.63
1915,minnesota,0.64
1915,missouri,
1915,nebraska,0.58
1916,illinois,1.11
1916,indiana,1.08
1916,iowa,1.15
1916,minnesota,0.99
1916,missouri,
1916,nebraska,1.15
1917,illinois,1.3
1917,indiana,1.35
1917,iowa,1.3
1917,minnesota,1.27
1917,missouri,
1917,nebraska,1.37
1918,illinois,1.42
1918,indiana,1.44
1918,iowa,1.4
1918,minnesota,1.25
1918,missouri,
1918,nebraska,1.45
1919,illinois,1.47
1919,indiana,1.44
1919,iowa,1.34
1919,minnesota,1.3
1919,missouri,
1919,nebraska,1.32
1920,illinois,0.58
1920,indiana,0.57
1920,iowa,0.47
1920,minnesota,0.47
1920,missouri,
1920,nebraska,0.38
1921,illinois,0.47
1921,indiana,0.48
1921,iowa,0.41
1921,minnesota,0.41
1921,missouri,
1921,nebraska,0.37
1922,illinois,0.69
1922,indiana,0.69
1922,iowa,0.64
1922,minnesota,0.6
1922,missouri,
1922,nebraska,0.62
1923,illinois,0.78
1923,indiana,0.73
1923,iowa,0.75
1923,minnesota,0.67
1923,missouri,
1923,nebraska,0.67
1924,illinois,1.02
1924,indiana,1.03
1924,iowa,1.01
1924,minnesota,0.91
1924,missouri,
1924,nebraska,0.97
1925,illinois,0.64
1925,indiana,0.59
1925,iowa,0.6
1925,minnesota,0.58
1925,missouri,
1925,nebraska,0.63
1926,illinois,0.69
1926,indiana,0.66
1926,iowa,0.69
1926,minnesota,0.67
1926,missouri,
1926,nebraska,0.73
1927,illinois,0.85
1927,indiana,0.86
1927,iowa,0.83
1927,minnesota,0.75
1927,missouri,
1927,nebraska,0.74
1928,illinois,0.8
1928,indiana,0.83
1928,iowa,0.76
1928,minnesota,0.7
1928,missouri,
1928,nebraska,0.77
1929,illinois,0.76
1929,indiana,0.77
1929,iowa,0.73
1929,minnesota,0.67
1929,missouri,
1929,nebraska,0.67
1930,illinois,0.54
1930,indiana,0.56
1930,iowa,0.52
1930,minnesota,0.49
1930,missouri,
1930,nebraska,0.46
1931,illinois,0.25
1931,indiana,0.25
1931,iowa,0.28
1931,minnesota,0.33
1931,missouri,
1931,nebraska,0.3
1932,illinois,0.27
1932,indiana,0.26
1932,iowa,0.3
1932,minnesota,0.28
1932,missouri,
1932,nebraska,0.27
1933,illinois,0.5
1933,indiana,0.47
1933,iowa,0.5
1933,minnesota,0.44
1933,missouri,
1933,nebraska,0.41
1934,illinois,0.79
1934,indiana,0.78
1934,iowa,0.79
1934,minnesota,0.76
1934,missouri,
1934,nebraska,0.87
1935,illinois,0.64
1935,indiana,0.57
1935,iowa,0.62
1935,minnesota,0.54
1935,missouri,
1935,nebraska,0.61
1936,illinois,1.05
1936,indiana,1.0
1936,iowa,1.07
1936,minnesota,1.03
1936,missouri,
1936,nebraska,1.16
1937,illinois,0.47
1937,indiana,0.45
1937,iowa,0.44
1937,minnesota,0.43
1937,missouri,
1937,nebraska,0.51
1938,illinois,0.45
1938,indiana,0.45
1938,iowa,0.46
1938,minnesota,0.43
1938,missouri,
1938,nebraska,0.47
1939,illinois,0.52
1939,indiana,0.52
1939,iowa,0.53
1939,minnesota,0.5
1939,missouri,
1939,nebraska,0.56
1940,illinois,0.61
1940,indiana,0.63
1940,iowa,0.57
1940,minnesota,0.53
1940,missouri,
1940,nebraska,0.58
1941,illinois,0.74
1941,indiana,0.76
1941,iowa,0.72
1941,minnesota,0.65
1941,missouri,
1941,nebraska,0.67
1942,illinois,0.9
1942,indiana,0.91
1942,iowa,0.86
1942,minnesota,0.79
1942,missouri,
1942,nebraska,0.82
1943,illinois,1.06
1943,indiana,1.07
1943,iowa,0.99
1943,minnesota,0.99
1943,missouri,
1943,nebraska,1.03
1944,illinois,1.05
1944,indiana,1.08
1944,iowa,0.98
1944,minnesota,0.9
1944,missouri,
