year,state,grain-yield,silage-yield
1895,illinois,41.0,
1895,indiana,36.0,
1895,iowa,39.0,
1895,minnesota,30.5,
1895,missouri,37.0,
1895,nebraska,16.5,
1896,illinois,42.0,
1896,indiana,39.5,
1896,iowa,43.0,
1896,minnesota,30.5,
1896,missouri,29.5,
1896,nebraska,37.5,
1897,illinois,34.0,
1897,indiana,30.5,
1897,iowa,33.5,
1897,minnesota,28.0,
1897,missouri,26.0,
1897,nebraska,30.0,
1898,illinois,31.0,
1898,indiana,38.5,
1898,iowa,36.0,
1898,minnesota,30.5,
1898,missouri,30.0,
1898,nebraska,21.0,
1899,illinois,38.8,
1899,indiana,39.8,
1899,iowa,39.1,
1899,minnesota,32.8,
1899,missouri,28.1,
1899,nebraska,28.8,
1900,illinois,40.0,
1900,indiana,41.5,
1900,iowa,45.0,
1900,minnesota,33.0,
1900,missouri,29.5,
1900,nebraska,26.0,
1901,illinois,24.0,
1901,indiana,22.0,
1901,iowa,28.5,
1901,minnesota,27.0,
1901,missouri,10.0,
1901,nebraska,14.0,
1902,illinois,41.0,
1902,indiana,39.0,
1902,iowa,38.0,
1902,minnesota,23.0,
1902,missouri,39.0,
1902,nebraska,32.5,
1903,illinois,35.5,
1903,indiana,35.0,
1903,iowa,32.5,
1903,minnesota,27.5,
1903,missouri,29.5,
1903,nebraska,27.5,
1904,illinois,39.0,
1904,indiana,33.0,
1904,iowa,39.0,
1904,minnesota,25.5,
1904,missouri,26.0,
1904,nebraska,33.0,
1905,illinois,42.0,
1905,indiana,42.0,
1905,iowa,41.5,
1905,minnesota,34.0,
1905,missouri,34.0,
1905,nebraska,34.0,
1906,illinois,39.0,
1906,indiana,41.0,
1906,iowa,45.5,
1906,minnesota,34.0,
1906,missouri,32.5,
1906,nebraska,34.0,
1907,illinois,39.0,
1907,indiana,36.5,
1907,iowa,35.0,
1907,minnesota,27.0,
1907,missouri,31.0,
1907,nebraska,24.0,
1908,illinois,35.0,
1908,indiana,30.5,
1908,iowa,38.0,
1908,minnesota,29.0,
1908,missouri,27.0,
1908,nebraska,27.0,
1909,illinois,38.8,
1909,indiana,39.9,
1909,iowa,37.1,
1909,minnesota,33.9,
1909,missouri,26.9,
1909,nebraska,24.8,
1910,illinois,41.0,
1910,indiana,39.0,
1910,iowa,41.5,
1910,minnesota,32.0,
1910,missouri,33.0,
1910,nebraska,26.0,
1911,illinois,36.0,
1911,indiana,34.5,
1911,iowa,35.5,
1911,minnesota,33.0,
1911,missouri,26.0,
1911,nebraska,21.5,
1912,illinois,40.0,
1912,indiana,39.5,
1912,iowa,46.0,
1912,minnesota,34.0,
1912,missouri,32.0,
1912,nebraska,27.0,
1913,illinois,28.0,
1913,indiana,35.5,
1913,iowa,37.5,
1913,minnesota,38.0,
1913,missouri,17.5,
1913,nebraska,15.0,
1914,illinois,31.0,
1914,indiana,33.0,
1914,iowa,40.5,
1914,minnesota,35.0,
1914,missouri,22.0,
1914,nebraska,24.5,
1915,illinois,38.0,
1915,indiana,38.5,
1915,iowa,32.5,
1915,minnesota,23.0,
1915,missouri,29.5,
1915,nebraska,31.0,
1916,illinois,31.0,
1916,indiana,32.5,
1916,iowa,38.0,
1916,minnesota,33.0,
1916,missouri,19.5,
1916,nebraska,27.0,
1917,illinois,40.0,
1917,indiana,35.5,
1917,iowa,38.5,
1917,minnesota,27.0,
1917,missouri,33.5,
1917,nebraska,27.0,
1918,illinois,36.5,
1918,indiana,35.0,
1918,iowa,37.0,
1918,minnesota,37.0,
1918,missouri,20.0,
1918,nebraska,18.0,
1919,illinois,36.0,7.2
1919,indiana,35.6,6.9
1919,iowa,41.6,7.8
1919,minnesota,35.5,7.8
1919,missouri,26.5,5.0
1919,nebraska,24.0,4.9
