Year,grain-yield,silage-yield
1866,29.0,
1867,27.0,
1868,34.2,
1869,23.5,
1870,40.0,
1871,33.0,
1872,39.8,
1873,21.0,
1874,24.0,
1875,34.3,
1876,30.0,
1877,27.0,
1878,29.0,
1879,36.1,
1880,31.0,
1881,21.0,
1882,25.0,
1883,27.3,
1884,33.0,
1885,34.5,
1886,27.8,
1887,21.0,
1888,40.0,
1889,36.8,
1890,28.0,
1891,38.0,
1892,27.0,
1893,26.0,
1894,31.0,
1895,41.0,
1896,42.0,
1897,34.0,
1898,31.0,
1899,38.8,
1900,40.0,
1901,24.0,
1902,41.0,
1903,35.5,
1904,39.0,
1905,42.0,
1906,39.0,
1907,39.0,
1908,35.0,
1909,38.8,
1910,41.0,
1911,36.0,
1912,40.0,
1913,28.0,
1914,31.0,
1915,38.0,
1916,31.0,
1917,40.0,
1918,36.5,
1919,36.0,7.2
1920,35.0,6.8
1921,35.0,7.3
1922,35.5,7.2
1923,37.5,7.0
1924,33.0,6.5
1925,41.0,7.5
1926,36.0,6.5
1927,32.0,6.3
1928,38.0,7.0
1929,35.5,7.1
1930,27.0,6.5
1931,37.0,7.5
1932,43.0,8.0
1933,27.5,5.5
1934,22.1,4.8
1935,38.5,8.0
1936,24.0,5.4
1937,48.0,7.5
1938,44.0,9.0
1939,51.0,9.6
1940,43.0,8.5
1941,53.0,10.5
1942,54.0,10.0
1943,50.0,9.5
1944,45.4,8.5
1945,46.5,8.0
1946,56.0,9.0
1947,39.5,7.4
1948,61.0,9.5
1949,54.0,10.0
1950,51.0,9.5
1951,55.0,9.5
1952,58.0,10.0
1953,54.0,10.0
1954,50.5,9.5
1955,56.0,10.5
1956,68.0,11.5
1957,64.0,11.5
1958,69.0,11.5
1959,67.0,12.0
1960,68.0,11.0
1961,79.0,14.0
1962,85.0,14.0
1963,87.0,14.5
1964,80.0,13.0
1965,94.0,15.0
1966,82.0,13.0
1967,104.0,15.5
1968,90.0,15.0
1969,102.0,14.5
1970,74.0,12.0
1971,106.0,15.0
1972,110.0,15.5
1973,103.0,14.5
1974,82.0,11.5
1975,116.0,16.5
1976,107.0,13.5
1977,105.0,14.5
1978,111.0,15.5
1979,127.0,16.0
1980,93.0,14.0
1981,126.0,16.0
1982,131.0,16.5
1983,79.0,11.5
1984,114.0,14.0
1985,135.0,16.0
1986,135.0,16.0
1987,132.0,15.5
1988,73.0,7.5
1989,123.0,14.0
1990,127.0,14.0
1991,107.0,13.0
1992,149.0,15.0
1993,130.0,12.0
1994,156.0,15.0
1995,113.0,15.0
1996,136.0,14.0
1997,129.0,16.5
1998,141.0,15.0
1999,140.0,17.0
2000,151.0,16.0
2001,152.0,16.0
2002,135.0,15.0
2003,164.0,15.0
2004,180.0,20.0
2005,143.0,15.0
2006,163.0,18.0
2007,175.0,18.0
2008,179.0,17.0
2009,174.0,19.0
2010,157.0,18.0
2011,157.0,21.0
2012,105.0,11.0
2013,178.0,19.0
2014,200.0,22.0
2015,175.0,20.0
2016,197.0,21.0
2017,201.0,17.0
2018,210.0,20.0
2019,181.0,20.0
2020,191.0,20.0
2021,202.0,20.0
2022,214.0,23.0
2023,206.0,20.0
2024,222.0,
