year,price-received
2023,4.75
2022,6.4
2021,5.96
2020,4.46
2019,3.55
2018,3.62
2017,3.41
2016,3.43
2015,3.69
2014,3.71
2013,4.52
2012,6.87
2011,6.25
2010,5.24
2009,3.53
2008,4.01
2007,4.09
2006,3.07
2005,2.08
2004,2.14
2003,2.42
2002,2.35
2001,2.04
2000,1.91
1999,1.91
1998,2.04
1997,2.53
1996,2.79
1995,3.3
1994,2.27
1993,2.57
1992,2.11
1991,2.46
1990,2.36
1989,2.4
1988,2.59
1987,1.96
1986,1.54
1985,2.27
1984,2.66
1983,3.26
1982,2.61
1981,2.53
1980,3.14
1979,2.57
1978,2.3
1977,2.09
1976,2.14
1975,2.56
1974,3.02
1973,2.64
1972,1.59
1971,1.09
1970,1.37
1969,1.18
1968,1.1
1967,1.02
1966,1.25
1965,1.16
1964,1.17
1963,1.12
1962,1.12
1961,1.1
1960,1.0
1959,1.06
1958,1.13
1957,1.15
1956,1.31
1955,1.38
1954,1.44
1953,1.49
1952,1.52
1951,1.7
1950,1.59
1949,1.25
1948,1.27
1947,2.22
1946,1.51
1945,1.21
1944,1.05
1943,1.06
1942,0.9
1941,0.74
1940,0.61
1939,0.52
1938,0.45
1937,0.47
1936,1.05
1935,0.64
1934,0.79
1933,0.5
1932,0.27
1931,0.25
1930,0.54
1929,0.76
1928,0.8
1927,0.85
1926,0.69
1925,0.64
1924,1.02
1923,0.78
1922,0.69
1921,0.47
1920,0.58
1919,1.47
1918,1.42
1917,1.3
1916,1.11
1915,0.66
1914,0.68
1913,0.66
1912,0.52
1911,0.64
1910,0.45
1909,0.56
