#  Illinois April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,61.5,-0.5
189611,62.4,0.4
189711,62.2,0.2
189811,61.0,-1.0
189911,63.3,1.3
190011,63.5,1.5
190111,62.2,0.2
190211,61.8,-0.2
190311,60.5,-1.5
190411,59.9,-2.1
190511,61.6,-0.4
190611,62.2,0.2
190711,58.6,-3.4
190811,62.1,0.1
190911,61.5,-0.5
191011,60.6,-1.4
191111,62.1,0.1
191211,61.9,-0.1
191311,63.4,1.4
191411,63.8,1.8
191511,61.4,-0.6
191611,62.0,0.0
191711,58.7,-3.3
191811,61.5,-0.5
191911,62.5,0.5
192011,61.1,-0.9
192111,64.0,2.0
192211,63.6,1.6
192311,61.2,-0.8
192411,60.4,-1.6
192511,61.7,-0.3
192611,60.4,-1.6
192711,61.6,-0.4
192811,60.7,-1.3
192911,60.3,-1.7
193011,63.1,1.1
193111,64.6,2.6
193211,61.6,-0.4
193311,63.2,1.2
193411,64.9,2.9
193511,60.7,-1.3
193611,63.7,1.7
193711,61.2,-0.8
193811,63.4,1.4
193911,62.7,0.7
194011,61.7,-0.3
194111,64.3,2.3
194211,62.4,0.4
194311,61.3,-0.7
194411,63.1,1.1
194511,60.3,-1.7
194611,62.2,0.2
194711,62.1,0.1
194811,62.4,0.4
194911,62.5,0.5
195011,59.9,-2.1
195111,59.9,-2.1
195211,62.2,0.2
195311,63.4,1.4
195411,63.7,1.7
195511,63.3,1.3
195611,62.6,0.6
195711,61.5,-0.5
195811,61.7,-0.3
195911,62.2,0.2
196011,62.3,0.3
196111,60.8,-1.2
196211,62.4,0.4
196311,63.6,1.6
196411,63.0,1.0
196511,62.5,0.5
196611,60.7,-1.3
196711,59.7,-2.3
196811,61.6,-0.4
196911,61.2,-0.8
197011,62.5,0.5
197111,62.9,0.9
197211,60.8,-1.2
197311,62.7,0.7
197411,60.9,-1.1
197511,62.3,0.3
197611,59.4,-2.6
197711,63.5,1.5
197811,62.4,0.4
197911,61.1,-0.9
198011,62.5,0.5
198111,62.0,0.0
198211,61.2,-0.8
198311,62.8,0.8
198411,61.9,-0.1
198511,62.5,0.5
198611,62.8,0.8
198711,63.6,1.6
198811,63.1,1.1
198911,61.2,-0.8
199011,62.0,0.0
199111,63.7,1.7
199211,60.1,-1.9
199311,60.9,-1.1
199411,62.5,0.5
199511,61.5,-0.5
199611,60.2,-1.8
199711,60.2,-1.8
199811,64.4,2.4
199911,63.6,1.6
200011,62.2,0.2
200111,63.9,1.9
200211,62.6,0.6
200311,62.0,0.0
200411,62.5,0.5
200511,64.3,2.3
200611,62.7,0.7
200711,64.2,2.2
200811,61.5,-0.5
200911,61.4,-0.6
201011,65.0,3.0
201111,63.4,1.4
201211,63.7,1.7
201311,61.7,-0.3
201411,60.9,-1.1
201511,63.7,1.7
201611,65.0,3.0
201711,63.3,1.3
201811,62.5,0.5
201911,62.2,0.2
202011,62.3,0.3
202111,63.6,1.6
202211,62.6,0.6
202311,63.3,1.3
