#  Illinois April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,22.17,-5.89
189611,30.64,2.58
189711,20.87,-7.19
189811,32.05,3.99
189911,23.42,-4.64
190011,27.26,-0.80
190111,16.19,-11.87
190211,33.88,5.82
190311,25.77,-2.29
190411,24.93,-3.13
190511,29.65,1.59
190611,24.60,-3.46
190711,29.04,0.98
190811,25.38,-2.68
190911,31.44,3.38
191011,26.19,-1.87
191111,30.59,2.53
191211,27.87,-0.19
191311,22.71,-5.35
191411,19.65,-8.41
191511,33.48,5.42
191611,25.01,-3.05
191711,25.90,-2.16
191811,29.72,1.66
191911,30.83,2.77
192011,22.70,-5.36
192111,30.33,2.27
192211,22.54,-5.52
192311,26.67,-1.39
192411,26.24,-1.82
192511,26.02,-2.04
192611,34.70,6.64
192711,37.88,9.82
192811,29.84,1.78
192911,31.13,3.07
193011,18.92,-9.14
193111,29.99,1.93
193211,25.47,-2.59
193311,25.20,-2.86
193411,26.66,-1.40
193511,31.82,3.76
193611,22.22,-5.84
193711,26.13,-1.93
193811,28.30,0.24
193911,25.06,-3.00
194011,21.85,-6.21
194111,33.73,5.67
194211,30.69,2.63
194311,28.44,0.38
194411,24.74,-3.32
194511,33.97,5.91
194611,30.20,2.14
194711,30.42,2.36
194811,25.32,-2.74
194911,24.53,-3.53
195011,27.85,-0.21
195111,31.02,2.96
195211,23.95,-4.11
195311,17.91,-10.15
195411,26.74,-1.32
195511,27.04,-1.02
195611,23.03,-5.03
195711,34.68,6.62
195811,30.87,2.81
195911,27.06,-1.00
196011,26.33,-1.73
196111,34.01,5.95
196211,23.86,-4.20
196311,20.43,-7.63
196411,22.87,-5.19
196511,30.37,2.31
196611,26.08,-1.98
196711,29.99,1.93
196811,27.88,-0.18
196911,32.15,4.09
197011,36.27,8.21
197111,20.90,-7.16
197211,33.07,5.01
197311,34.39,6.33
197411,30.49,2.43
197511,28.34,0.28
197611,20.42,-7.64
197711,31.02,2.96
197811,27.65,-0.41
197911,27.12,-0.94
198011,26.35,-1.71
198111,36.23,8.17
198211,30.29,2.23
198311,32.84,4.78
198411,30.72,2.66
198511,33.06,5.00
198611,31.37,3.31
198711,25.26,-2.80
198811,19.70,-8.36
198911,24.89,-3.17
199011,35.22,7.16
199111,27.49,-0.57
199211,27.95,-0.11
199311,41.14,13.08
199411,28.69,0.63
199511,30.87,2.81
199611,31.91,3.85
199711,23.80,-4.26
199811,33.08,5.02
199911,24.61,-3.45
200011,31.74,3.68
200111,30.92,2.86
200211,29.48,1.42
200311,30.75,2.69
200411,31.29,3.23
200511,21.49,-6.57
200611,29.03,0.97
200711,24.36,-3.70
200811,34.56,6.50
200911,39.49,11.43
201011,33.20,5.14
201111,35.60,7.54
201211,22.41,-5.65
201311,30.94,2.88
201411,33.99,5.93
201511,36.85,8.79
201611,32.82,4.76
201711,30.54,2.48
201811,32.45,4.39
201911,37.40,9.34
202011,29.91,1.85
202111,30.39,2.33
202211,26.31,-1.75
202311,22.08,-5.98
