#  Illinois April Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189504,-1.68,-1.67
189604,-1.94,-1.93
189704,3.31,3.32
189804,2.22,2.23
189904,-0.88,-0.87
190004,-2.22,-2.21
190104,-1.41,-1.40
190204,-5.19,-5.18
190304,2.66,2.67
190404,2.25,2.26
190504,0.02,0.03
190604,-0.75,-0.74
190704,0.88,0.89
190804,2.94,2.95
190904,1.58,1.59
191004,-1.92,-1.91
191104,-0.63,-0.62
191204,2.16,2.17
191304,-0.32,-0.31
191404,-2.74,-2.73
191504,-5.21,-5.20
191604,-1.32,-1.31
191704,0.51,0.52
191804,0.86,0.87
191904,-0.74,-0.73
192004,1.35,1.36
192104,-2.18,-2.17
192204,2.60,2.61
192304,-2.59,-2.58
192404,-0.68,-0.67
192504,-1.74,-1.73
192604,0.05,0.06
192704,4.10,4.11
192804,2.57,2.58
192904,2.63,2.64
193004,-1.08,-1.07
193104,-6.37,-6.36
193204,-2.11,-2.10
193304,1.38,1.39
193404,-5.65,-5.64
193504,0.89,0.90
193604,-1.32,-1.31
193704,1.38,1.39
193804,0.90,0.91
193904,1.65,1.66
194004,-3.16,-3.15
194104,-3.91,-3.90
194204,1.37,1.38
194304,1.42,1.43
194404,1.82,1.83
194504,1.40,1.41
194604,0.70,0.71
194704,1.72,1.73
194804,-0.84,-0.83
194904,-0.70,-0.69
195004,3.50,3.51
195104,2.23,2.24
195204,-0.01,0.00
195304,-1.08,-1.07
195404,-5.70,-5.69
195504,-2.02,-2.01
195604,-2.14,-2.13
195704,1.28,1.29
195804,-1.19,-1.18
195904,-0.20,-0.19
196004,-0.31,-0.30
196104,0.51,0.52
196204,-0.65,-0.64
196304,-2.20,-2.19
196404,-3.08,-3.07
196504,0.95,0.96
196604,1.47,1.48
196704,0.20,0.21
196804,-0.95,-0.94
196904,-0.37,-0.36
197004,1.56,1.57
197104,-1.47,-1.46
197204,0.80,0.81
197304,3.71,3.72
197404,3.12,3.13
197504,2.88,2.89
197604,-0.51,-0.50
197704,-2.85,-2.84
197804,0.13,0.14
197904,2.24,2.25
198004,-1.46,-1.45
198104,0.27,0.28
198204,2.81,2.82
198304,3.79,3.80
198404,2.47,2.48
198504,1.90,1.91
198604,0.74,0.75
198704,-1.57,-1.56
198804,-0.73,-0.72
198904,-2.17,-2.16
199004,0.56,0.57
199104,-0.43,-0.42
199204,-1.26,-1.25
199304,3.06,3.07
199404,0.91,0.92
199504,0.48,0.49
199604,0.69,0.70
199704,-0.48,-0.47
199804,1.46,1.47
199904,1.66,1.67
200004,-2.98,-2.97
200104,-1.24,-1.23
200204,2.09,2.10
200304,-2.60,-2.59
200404,-0.97,-0.96
200504,-1.16,-1.15
200604,-0.21,-0.20
200704,-0.22,-0.21
200804,2.29,2.30
200904,4.22,4.23
201004,3.23,3.24
201104,3.18,3.19
201204,-1.51,-1.50
201304,2.26,2.27
201404,0.56,0.57
201504,1.19,1.20
201604,2.18,2.19
201704,2.25,2.26
201804,1.46,1.47
201904,3.97,3.98
202004,4.32,4.33
202104,1.23,1.24
202204,1.99,2.00
202304,-0.52,-0.51
202404,0.77,0.78
