#  Illinois August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,-2.01,-2.04
189608,1.11,1.08
189708,-1.27,-1.30
189808,2.30,2.27
189908,-1.18,-1.21
190008,-0.79,-0.82
190108,-3.72,-3.75
190208,2.99,2.96
190308,1.86,1.83
190408,2.18,2.15
190508,0.79,0.76
190608,0.03,0.00
190708,3.17,3.14
190808,-0.85,-0.88
190908,1.16,1.13
191008,-1.44,-1.47
191108,0.06,0.03
191208,1.69,1.66
191308,-2.72,-2.75
191408,-4.52,-4.55
191508,4.12,4.09
191608,-1.06,-1.09
191708,-0.30,-0.33
191808,0.19,0.16
191908,-1.04,-1.07
192008,-1.28,-1.31
192108,0.52,0.49
192208,-2.16,-2.19
192308,0.46,0.43
192408,2.08,2.05
192508,-2.38,-2.41
192608,0.49,0.46
192708,3.87,3.84
192808,2.59,2.56
192908,2.99,2.96
193008,-3.84,-3.87
193108,-4.72,-4.75
193208,0.82,0.79
193308,-2.40,-2.43
193408,-6.52,-6.55
193508,-0.53,-0.56
193608,-5.06,-5.09
193708,-0.62,-0.65
193808,0.04,0.01
193908,0.82,0.79
194008,-3.13,-3.16
194108,-3.69,-3.72
194208,2.18,2.15
194308,-0.84,-0.87
194408,-1.66,-1.69
194508,1.79,1.76
194608,1.88,1.85
194708,-1.25,-1.28
194808,-0.53,-0.56
194908,-0.25,-0.28
195008,2.84,2.81
195108,2.87,2.84
195208,-0.38,-0.41
195308,-2.75,-2.78
195408,-4.13,-4.16
195508,-2.05,-2.08
195608,-1.34,-1.37
195708,2.14,2.11
195808,2.80,2.77
195908,0.08,0.05
196008,-0.23,-0.26
196108,1.54,1.51
196208,-0.59,-0.62
196308,-2.10,-2.13
196408,-3.85,-3.88
196508,1.17,1.14
196608,-1.53,-1.56
196708,0.86,0.83
196808,-0.45,-0.48
196908,1.33,1.30
197008,1.91,1.88
197108,-1.63,-1.66
197208,1.04,1.01
197308,3.30,3.27
197408,3.25,3.22
197508,2.39,2.36
197608,-1.34,-1.37
197708,1.45,1.42
197808,-0.02,-0.05
197908,1.99,1.96
198008,0.55,0.52
198108,3.71,3.68
198208,3.04,3.01
198308,1.29,1.26
198408,-1.74,-1.77
198508,1.99,1.96
198608,0.94,0.91
198708,-1.38,-1.41
198808,-4.13,-4.16
198908,-1.51,-1.54
199008,2.92,2.89
199108,-2.59,-2.62
199208,0.99,0.96
199308,4.69,4.66
199408,-0.74,-0.77
199508,-0.47,-0.50
199608,1.48,1.45
199708,-0.04,-0.07
199808,2.09,2.06
199908,-0.51,-0.54
200008,1.75,1.72
200108,0.37,0.34
200208,-0.42,-0.45
200308,0.81,0.78
200408,1.66,1.63
200508,-2.90,-2.93
200608,0.26,0.23
200708,-1.00,-1.03
200808,2.95,2.92
200908,4.95,4.92
201008,4.00,3.97
201108,-0.80,-0.83
201208,-4.28,-4.31
201308,-0.74,-0.77
201408,1.96,1.93
201508,3.56,3.53
201608,3.71,3.68
201708,-0.27,-0.30
201808,1.76,1.73
201908,4.15,4.12
202008,3.09,3.06
202108,2.01,1.98
202208,0.82,0.79
202308,-1.21,-1.24
202408,0.96,0.93
