#  Illinois July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,-1.75,-1.61
189607,1.30,1.44
189707,-0.39,-0.25
189807,2.15,2.29
189907,-0.80,-0.66
190007,-1.11,-0.97
190107,-3.01,-2.87
190207,2.32,2.46
190307,1.48,1.62
190407,1.81,1.95
190507,0.70,0.84
190607,-1.79,-1.65
190707,2.19,2.33
190807,-0.42,-0.28
190907,1.91,2.05
191007,-1.30,-1.16
191107,-2.91,-2.77
191207,1.58,1.72
191307,-2.00,-1.86
191407,-4.55,-4.41
191507,2.74,2.88
191607,-1.25,-1.11
191707,-0.16,-0.02
191807,0.32,0.46
191907,-0.77,-0.63
192007,-1.13,-0.99
192107,-3.63,-3.49
192207,-1.39,-1.25
192307,-2.54,-2.40
192407,1.31,1.45
192507,-2.14,-2.00
192607,0.09,0.23
192707,4.04,4.18
192807,2.78,2.92
192907,3.47,3.61
193007,-3.10,-2.96
193107,-5.37,-5.23
193207,-2.51,-2.37
193307,-2.03,-1.89
193407,-7.05,-6.91
193507,-0.11,0.03
193607,-4.40,-4.26
193707,-0.11,0.03
193807,1.96,2.10
193907,0.23,0.37
194007,-3.63,-3.49
194107,-3.57,-3.43
194207,2.13,2.27
194307,-0.50,-0.36
194407,-1.69,-1.55
194507,2.00,2.14
194607,0.93,1.07
194707,-0.47,-0.33
194807,0.92,1.06
194907,0.13,0.27
195007,2.86,3.00
195107,2.75,2.89
195207,-0.28,-0.14
195307,-1.78,-1.64
195407,-5.17,-5.03
195507,-1.67,-1.53
195607,-1.82,-1.68
195707,2.57,2.71
195807,2.96,3.10
195907,-1.43,-1.29
196007,-0.10,0.04
196107,1.64,1.78
196207,-0.29,-0.15
196307,-2.17,-2.03
196407,-3.65,-3.51
196507,-0.73,-0.59
196607,-1.30,-1.16
196707,0.94,1.08
196807,-0.29,-0.15
196907,1.92,2.06
197007,1.95,2.09
197107,-1.12,-0.98
197207,0.22,0.36
197307,4.17,4.31
197407,3.19,3.33
197507,1.92,2.06
197607,-0.85,-0.71
197707,-2.96,-2.82
197807,0.46,0.60
197907,1.46,1.60
198007,-1.57,-1.43
198107,2.71,2.85
198207,3.06,3.20
198307,2.46,2.60
198407,-0.89,-0.75
198507,1.24,1.38
198607,1.30,1.44
198707,-2.27,-2.13
198807,-3.50,-3.36
198907,-1.90,-1.76
199007,2.83,2.97
199107,-2.17,-2.03
199207,1.50,1.64
199307,4.23,4.37
199407,-0.94,-0.80
199507,-0.50,-0.36
199607,2.17,2.31
199707,-0.73,-0.59
199807,2.34,2.48
199907,-0.35,-0.21
200007,1.71,1.85
200107,0.12,0.26
200207,-0.61,-0.47
200307,1.21,1.35
200407,0.74,0.88
200507,-2.94,-2.80
200607,0.08,0.22
200707,-1.18,-1.04
200807,3.66,3.80
200907,4.52,4.66
201007,4.49,4.63
201107,-0.13,0.01
201207,-4.36,-4.22
201307,-0.02,0.12
201407,1.17,1.31
201507,3.82,3.96
201607,2.48,2.62
201707,0.42,0.56
201807,1.24,1.38
201907,4.25,4.39
202007,4.03,4.17
202107,1.96,2.10
202207,0.58,0.72
202307,-1.47,-1.33
202407,1.23,1.37
