#  Illinois June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,-2.70,-2.66
189606,0.24,0.28
189706,-0.34,-0.30
189806,2.60,2.64
189906,-0.80,-0.76
190006,-1.68,-1.64
190106,-2.23,-2.19
190206,1.82,1.86
190306,1.62,1.66
190406,1.43,1.47
190506,-0.25,-0.21
190606,-1.44,-1.40
190706,1.30,1.34
190806,-0.36,-0.32
190906,1.44,1.48
191006,-1.60,-1.56
191106,-2.32,-2.28
191206,1.42,1.46
191306,-1.26,-1.22
191406,-3.69,-3.65
191506,1.40,1.44
191606,-0.08,-0.04
191706,1.46,1.50
191806,0.71,0.75
191906,0.64,0.68
192006,-0.73,-0.69
192106,-2.85,-2.81
192206,-1.40,-1.36
192306,-2.14,-2.10
192406,1.32,1.36
192506,-2.07,-2.03
192606,0.15,0.19
192706,4.44,4.48
192806,2.95,2.99
192906,3.29,3.33
193006,-1.94,-1.90
193106,-5.37,-5.33
193206,-2.49,-2.45
193306,-1.31,-1.27
193406,-6.85,-6.81
193506,3.04,3.08
193606,-2.94,-2.90
193706,1.27,1.31
193806,1.64,1.68
193906,0.32,0.36
194006,-3.03,-2.99
194106,-3.56,-3.52
194206,1.79,1.83
194306,-0.17,-0.13
194406,-0.93,-0.89
194506,3.02,3.06
194606,1.52,1.56
194706,2.69,2.73
194806,0.02,0.06
194906,-0.03,0.01
195006,2.85,2.89
195106,2.35,2.39
195206,-0.12,-0.08
195306,-1.77,-1.73
195406,-5.13,-5.09
195506,-1.58,-1.54
195606,-2.44,-2.40
195706,2.65,2.69
195806,1.06,1.10
195906,-1.30,-1.26
196006,1.06,1.10
196106,0.79,0.83
196206,-0.96,-0.92
196306,-2.91,-2.87
196406,-3.69,-3.65
196506,-0.75,-0.71
196606,-0.55,-0.51
196706,0.35,0.39
196806,-0.34,-0.30
196906,0.87,0.91
197006,2.31,2.35
197106,-1.91,-1.87
197206,0.08,0.12
197306,4.20,4.24
197406,4.43,4.47
197506,2.16,2.20
197606,-0.80,-0.76
197706,-3.13,-3.09
197806,0.05,0.09
197906,0.75,0.79
198006,-1.37,-1.33
198106,1.62,1.66
198206,2.33,2.37
198306,3.61,3.65
198406,-0.73,-0.69
198506,1.44,1.48
198606,0.57,0.61
198706,-2.55,-2.51
198806,-2.88,-2.84
198906,-2.13,-2.09
199006,2.79,2.83
199106,-1.44,-1.40
199206,-2.75,-2.71
199306,3.33,3.37
199406,-0.65,-0.61
199506,-0.21,-0.17
199606,1.89,1.93
199706,-0.23,-0.19
199806,2.60,2.64
199906,1.60,1.64
200006,1.38,1.42
200106,0.02,0.06
200206,-0.10,-0.06
200306,0.62,0.66
200406,0.47,0.51
200506,-2.72,-2.68
200606,-0.71,-0.67
200706,-1.15,-1.11
200806,2.92,2.96
200906,4.28,4.32
201006,4.24,4.28
201106,3.96,4.00
201206,-3.06,-3.02
201306,3.10,3.14
201406,1.13,1.17
201506,3.40,3.44
201606,1.36,1.40
201706,-0.36,-0.32
201806,1.38,1.42
201906,5.01,5.05
202006,3.69,3.73
202106,1.46,1.50
202206,-0.71,-0.67
202306,-1.91,-1.87
202406,0.05,0.09
