#  Illinois November Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,-2.36,-2.47
189611,1.95,1.84
189711,-3.28,-3.39
189811,3.04,2.93
189911,-2.16,-2.27
190011,-0.78,-0.89
190111,-5.05,-5.16
190211,3.35,3.24
190311,1.08,0.97
190411,-1.23,-1.34
190511,1.30,1.19
190611,0.26,0.15
190711,2.63,2.52
190811,-2.98,-3.09
190911,1.52,1.41
191011,-1.02,-1.13
191111,2.51,2.40
191211,-0.23,-0.34
191311,-2.37,-2.48
191411,-4.69,-4.80
191511,3.26,3.15
191611,-1.52,-1.63
191711,-0.75,-0.86
191811,0.52,0.41
191911,1.84,1.73
192011,-2.88,-2.99
192111,1.41,1.30
192211,-3.39,-3.50
192311,0.83,0.72
192411,-1.03,-1.14
192511,1.15,1.04
192611,4.12,4.01
192711,4.83,4.72
192811,2.69,2.58
192911,2.43,2.32
193011,-4.17,-4.28
193111,-2.71,-2.82
193211,0.77,0.66
193311,-3.32,-3.43
193411,1.24,1.13
193511,-0.19,-0.30
193611,0.49,0.38
193711,-0.91,-1.02
193811,-1.03,-1.14
193911,-2.24,-2.35
194011,-4.19,-4.30
194111,2.93,2.82
194211,2.49,2.38
194311,-1.80,-1.91
194411,-3.10,-3.21
194511,2.96,2.85
194611,1.76,1.65
194711,-1.63,-1.74
194811,-0.81,-0.92
194911,-0.69,-0.80
195011,1.75,1.64
195111,3.49,3.38
195211,-1.72,-1.83
195311,-4.98,-5.09
195411,-3.44,-3.55
195511,-1.52,-1.63
195611,-3.21,-3.32
195711,1.72,1.61
195811,-0.04,-0.15
195911,0.62,0.51
196011,-1.35,-1.46
196111,3.44,3.33
196211,-1.23,-1.34
196311,-4.04,-4.15
196411,-4.63,-4.74
196511,1.70,1.59
196611,-1.52,-1.63
196711,2.03,1.92
196811,0.38,0.27
196911,2.53,2.42
197011,3.36,3.25
197111,-2.93,-3.04
197211,2.69,2.58
197311,3.07,2.96
197411,2.04,1.93
197511,-0.43,-0.54
197611,-1.82,-1.93
197711,2.78,2.67
197811,-0.57,-0.68
197911,-1.25,-1.36
198011,-0.54,-0.65
198111,3.26,3.15
198211,3.10,2.99
198311,1.79,1.68
198411,1.55,1.44
198511,3.95,3.84
198611,2.75,2.64
198711,-1.93,-2.04
198811,-3.38,-3.49
198911,-1.37,-1.48
199011,2.93,2.82
199111,-0.78,-0.89
199211,2.37,2.26
199311,6.55,6.44
199411,0.58,0.47
199511,-1.22,-1.33
199611,1.08,0.97
199711,-0.96,-1.07
199811,1.28,1.17
199911,-2.56,-2.67
200011,1.66,1.55
200111,1.82,1.71
200211,-1.61,-1.72
200311,1.49,1.38
200411,2.08,1.97
200511,-3.47,-3.58
200611,1.12,1.01
200711,-2.29,-2.40
200811,3.83,3.72
200911,6.07,5.96
201011,2.61,2.50
201111,0.52,0.41
201211,-3.07,-3.18
201311,-1.31,-1.42
201411,3.04,2.93
201511,3.14,3.03
201611,2.81,2.70
201711,-0.78,-0.89
201811,2.89,2.78
201911,4.83,4.72
202011,2.23,2.12
202111,1.81,1.70
202211,-0.90,-1.01
202311,-2.37,-2.48
