#  Illinois October Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189510,-2.61,-2.74
189610,1.75,1.62
189710,-3.51,-3.64
189810,3.04,2.91
189910,-1.54,-1.67
190010,-0.89,-1.02
190110,-4.36,-4.49
190210,3.21,3.08
190310,1.71,1.58
190410,-0.50,-0.63
190510,1.34,1.21
190610,-0.40,-0.53
190710,2.63,2.50
190810,-2.64,-2.77
190910,1.32,1.19
191010,-0.61,-0.74
191110,2.10,1.97
191210,0.24,0.11
191310,-2.28,-2.41
191410,-3.79,-3.92
191510,3.50,3.37
191610,-1.04,-1.17
191710,-0.02,-0.15
191810,0.72,0.59
191910,1.39,1.26
192010,-2.05,-2.18
192110,1.19,1.06
192210,-3.05,-3.18
192310,1.17,1.04
192410,-0.61,-0.74
192510,0.93,0.80
192610,3.47,3.34
192710,4.20,4.07
192810,2.43,2.30
192910,2.75,2.62
193010,-3.72,-3.85
193110,-3.48,-3.61
193210,1.04,0.91
193310,-2.36,-2.49
193410,0.55,0.42
193510,-0.81,-0.94
193610,0.85,0.72
193710,-0.53,-0.66
193810,-0.72,-0.85
193910,-1.50,-1.63
194010,-4.16,-4.29
194110,2.79,2.66
194210,1.72,1.59
194310,-1.31,-1.44
194410,-2.43,-2.56
194510,2.91,2.78
194610,1.22,1.09
194710,-1.38,-1.51
194810,-0.89,-1.02
194910,0.70,0.57
195010,1.86,1.73
195110,2.99,2.86
195210,-1.56,-1.69
195310,-3.95,-4.08
195410,-3.23,-3.36
195510,-1.43,-1.56
195610,-2.93,-3.06
195710,1.51,1.38
195810,-0.40,-0.53
195910,0.73,0.60
196010,-1.00,-1.13
196110,2.93,2.80
196210,-0.64,-0.77
196310,-3.65,-3.78
196410,-4.51,-4.64
196510,2.17,2.04
196610,-1.50,-1.63
196710,1.79,1.66
196810,-0.80,-0.93
196910,2.72,2.59
197010,3.65,3.52
197110,-2.30,-2.43
197210,1.79,1.66
197310,3.12,2.99
197410,2.22,2.09
197510,-0.36,-0.49
197610,-1.18,-1.31
197710,2.63,2.50
197810,-0.61,-0.74
197910,-1.32,-1.45
198010,-0.02,-0.15
198110,3.47,3.34
198210,2.59,2.46
198310,1.11,0.98
198410,0.97,0.84
198510,1.55,1.42
198610,2.81,2.68
198710,-2.03,-2.16
198810,-4.13,-4.26
198910,-0.96,-1.09
199010,2.57,2.44
199110,-1.36,-1.49
199210,1.00,0.87
199310,6.07,5.94
199410,-1.39,-1.52
199510,-1.11,-1.24
199610,0.98,0.85
199710,-0.74,-0.87
199810,1.62,1.49
199910,-1.29,-1.42
200010,1.48,1.35
200110,1.82,1.69
200210,-0.87,-1.00
200310,0.94,0.81
200410,1.30,1.17
200510,-3.43,-3.56
200610,0.89,0.76
200710,-1.72,-1.85
200810,4.25,4.12
200910,6.52,6.39
201010,2.89,2.76
201110,-0.96,-1.09
201210,-2.62,-2.75
201310,-1.20,-1.33
201410,3.04,2.91
201510,2.47,2.34
201610,3.07,2.94
201710,-0.62,-0.75
201810,2.48,2.35
201910,4.83,4.70
202010,2.62,2.49
202110,2.35,2.22
202210,-0.43,-0.56
202310,-1.45,-1.58
