Macrotrends Data Download

Illinois Population 1900-2023
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,4828000
1901-12-01,4914000,1.78
1902-12-01,4992000,1.59
1903-12-01,5071000,1.58
1904-12-01,5161000,1.77
1905-12-01,5241000,1.55
1906-12-01,5309000,1.3
1907-12-01,5384000,1.41
1908-12-01,5474000,1.67
1909-12-01,5567000,1.7
1910-12-01,5668000,1.81
1911-12-01,5757000,1.57
1912-12-01,5828000,1.23
1913-12-01,5961000,2.28
1914-12-01,6109000,2.48
1915-12-01,6194000,1.39
1916-12-01,6274000,1.29
1917-12-01,6313000,0.62
1918-12-01,6275000,-0.6
1919-12-01,6392000,1.86
1920-12-01,6663000,4.24
1921-12-01,6858000,2.93
1922-12-01,6958000,1.46
1923-12-01,7068000,1.58
1924-12-01,7215000,2.08
1925-12-01,7306000,1.26
1926-12-01,7395000,1.22
1927-12-01,7519000,1.68
1928-12-01,7576000,0.76
1929-12-01,7606000,0.4
1930-12-01,7644000,0.5
1931-12-01,7687000,0.56
1932-12-01,7736000,0.64
1933-12-01,7768000,0.41
1934-12-01,7772000,0.05
1935-12-01,7797000,0.32
1936-12-01,7840000,0.55
1937-12-01,7857000,0.22
1938-12-01,7866000,0.11
1939-12-01,7890000,0.31
1940-12-01,7905000,0.19
1941-12-01,7995000,1.14
1942-12-01,8057000,0.78
1943-12-01,7761000,-3.67
1944-12-01,7719000,-0.54
1945-12-01,7601000,-1.53
1946-12-01,8155000,7.29
1947-12-01,8341000,2.28
1948-12-01,8552000,2.53
1949-12-01,8670000,1.38
1950-12-01,8738000,0.78
1951-12-01,8790000,0.6
1952-12-01,8956000,1.89
1953-12-01,9065000,1.22
1954-12-01,9252000,2.06
1955-12-01,9435000,1.98
1956-12-01,9530000,1.01
1957-12-01,9668000,1.45
1958-12-01,9886000,2.25
1959-12-01,9986000,1.01
1960-12-01,10086000,1
1961-12-01,10130000,0.44
1962-12-01,10280000,1.48
1963-12-01,10402000,1.19
1964-12-01,10580000,1.71
1965-12-01,10693000,1.07
1966-12-01,10836000,1.34
1967-12-01,10947000,1.02
1968-12-01,10995000,0.44
1969-12-01,11039000,0.4
1970-12-01,11110285,0.65
1971-12-01,11202397,0.83
1972-12-01,11251948,0.44
1973-12-01,11251367,-0.01
1974-12-01,11262145,0.1
1975-12-01,11291743,0.26
1976-12-01,11342853,0.45
1977-12-01,11386316,0.38
1978-12-01,11412561,0.23
1979-12-01,11396837,-0.14
1980-12-01,11434702,0.33
1981-12-01,11443458,0.08
1982-12-01,11423412,-0.18
1983-12-01,11408818,-0.13
1984-12-01,11412132,0.03
1985-12-01,11399806,-0.11
1986-12-01,11387257,-0.11
1987-12-01,11391178,0.03
1988-12-01,11390183,-0.01
1989-12-01,11409782,0.17
1990-12-01,11446979,0.33
1991-12-01,11535973,0.78
1992-12-01,11635197,0.86
1993-12-01,11725984,0.78
1994-12-01,11804986,0.67
1995-12-01,11884935,0.68
1996-12-01,11953003,0.57
1997-12-01,12011509,0.49
1998-12-01,12069774,0.49
1999-12-01,12128370,0.49
2000-12-01,12434161,2.52
2001-12-01,12488445,0.44
2002-12-01,12525556,0.3
2003-12-01,12556006,0.24
2004-12-01,12589773,0.27
2005-12-01,12609903,0.16
2006-12-01,12643955,0.27
2007-12-01,12695866,0.41
2008-12-01,12747038,0.4
2009-12-01,12796778,0.39
2010-12-01,12840545,0.34
2011-12-01,12867783,0.21
2012-12-01,12883029,0.12
2013-12-01,12895778,0.1
2014-12-01,12885092,-0.08
2015-12-01,12859585,-0.2
2016-12-01,12821709,-0.29
2017-12-01,12779893,-0.33
2018-12-01,12724685,-0.43
2019-12-01,12667017,-0.45
2020-12-01,12790357,0.97
2021-12-01,12690341,-0.78
2022-12-01,12582515,-0.85
2023-12-01,12549689,-0.26
