#  Illinois September Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189509,-2.12,-2.31
189609,2.08,1.89
189709,-2.41,-2.60
189809,2.59,2.40
189909,-1.58,-1.77
190009,-0.68,-0.87
190109,-4.15,-4.34
190209,3.45,3.26
190309,1.94,1.75
190409,2.79,2.60
190509,0.71,0.52
190609,0.44,0.25
190709,2.95,2.76
190809,-1.78,-1.97
190909,1.31,1.12
191009,-0.84,-1.03
191109,2.00,1.81
191209,-0.19,-0.38
191309,-2.79,-2.98
191409,-4.02,-4.21
191509,4.38,4.19
191609,-1.12,-1.31
191709,-0.43,-0.62
191809,0.65,0.46
191909,-1.05,-1.24
192009,-1.59,-1.78
192109,1.44,1.25
192209,-2.80,-2.99
192309,0.70,0.51
192409,2.19,2.00
192509,0.23,0.04
192609,2.96,2.77
192709,4.14,3.95
192809,2.17,1.98
192909,2.60,2.41
193009,-3.69,-3.88
193109,-4.00,-4.19
193209,0.65,0.46
193309,-2.49,-2.68
193409,1.16,0.97
193509,-0.52,-0.71
193609,0.85,0.66
193709,-0.94,-1.13
193809,-0.04,-0.23
193909,-1.19,-1.38
194009,-3.97,-4.16
194109,0.49,0.30
194209,2.11,1.92
194309,-1.07,-1.26
194409,-1.81,-2.00
194509,3.29,3.10
194609,1.35,1.16
194709,-1.18,-1.37
194809,-0.72,-0.91
194909,0.01,-0.18
195009,2.79,2.60
195109,2.92,2.73
195209,-0.92,-1.11
195309,-3.41,-3.60
195409,-4.44,-4.63
195509,-2.21,-2.40
195609,-2.02,-2.21
195709,1.34,1.15
195809,0.00,-0.19
195909,0.21,0.02
196009,-0.91,-1.10
196109,2.94,2.75
196209,-0.78,-0.97
196309,-2.70,-2.89
196409,-3.81,-4.00
196509,2.58,2.39
196609,-1.27,-1.46
196709,0.83,0.64
196809,-0.19,-0.38
196909,1.51,1.32
197009,3.41,3.22
197109,-1.67,-1.86
197209,1.69,1.50
197309,3.17,2.98
197409,2.90,2.71
197509,0.03,-0.16
197609,-1.61,-1.80
197709,2.00,1.81
197809,-0.35,-0.54
197909,-1.01,-1.20
198009,0.99,0.80
198109,3.51,3.32
198209,2.75,2.56
198309,0.64,0.45
198409,0.38,0.19
198509,1.26,1.07
198609,1.95,1.76
198709,-1.76,-1.95
198809,-4.42,-4.61
198909,-0.64,-0.83
199009,2.13,1.94
199109,-2.61,-2.80
199209,1.54,1.35
199309,6.37,6.18
199409,-1.03,-1.22
199509,-1.16,-1.35
199609,1.28,1.09
199709,-0.40,-0.59
199809,1.31,1.12
199909,-0.88,-1.07
200009,1.91,1.72
200109,0.49,0.30
200209,-1.05,-1.24
200309,1.24,1.05
200409,0.58,0.39
200509,-2.87,-3.06
200609,0.38,0.19
200709,-1.81,-2.00
200809,4.47,4.28
200909,4.34,4.15
201009,3.82,3.63
201109,-0.57,-0.76
201209,-3.37,-3.56
201309,-1.44,-1.63
201409,2.36,2.17
201509,3.24,3.05
201609,3.50,3.31
201709,-1.35,-1.54
201809,2.15,1.96
201909,4.23,4.04
202009,2.76,2.57
202109,1.40,1.21
202209,-0.28,-0.47
202309,-1.61,-1.80
