year,price-received
2023,4.7
2022,6.48
2021,6.07
2020,4.65
2019,3.84
2018,3.78
2017,3.56
2016,3.63
2015,3.92
2014,3.75
2013,4.47
2012,7.23
2011,6.31
2010,5.38
2009,3.66
2008,4.1
2007,4.39
2006,3.17
2005,2.0
2004,1.99
2003,2.53
2002,2.41
2001,1.98
2000,1.9
1999,1.88
1998,2.11
1997,2.53
1996,2.78
1995,3.38
1994,2.25
1993,2.51
1992,2.09
1991,2.45
1990,2.31
1989,2.47
1988,2.65
1987,2.08
1986,1.53
1985,2.2
1984,2.6
1983,3.3
1982,2.41
1981,2.47
1980,3.16
1979,2.55
1978,2.23
1977,1.97
1976,2.1
1975,2.48
1974,3.03
1973,2.51
1972,1.56
1971,1.01
1970,1.36
1969,1.15
1968,1.05
1967,0.99
1966,1.23
1965,1.12
1964,1.15
1963,1.1
1962,1.08
1961,1.05
1960,0.98
1959,1.03
1958,1.11
1957,1.11
1956,1.27
1955,1.32
1954,1.37
1953,1.45
1952,1.5
1951,1.68
1950,1.59
1949,1.2
1948,1.25
1947,2.16
1946,1.49
1945,1.22
1944,1.08
1943,1.07
1942,0.91
1941,0.76
1940,0.63
1939,0.52
1938,0.45
1937,0.45
1936,1.0
1935,0.57
1934,0.78
1933,0.47
1932,0.26
1931,0.25
1930,0.56
1929,0.77
1928,0.83
1927,0.86
1926,0.66
1925,0.59
1924,1.03
1923,0.73
1922,0.69
1921,0.48
1920,0.57
1919,1.44
1918,1.44
1917,1.35
1916,1.08
1915,0.65
1914,0.67
1913,0.64
1912,0.51
1911,0.62
1910,0.45
1909,0.55
