,year,grain-yield,silage-yield
0,1866,36.5,
1,1867,29.0,
2,1868,34.0,
3,1869,25.5,
4,1870,39.5,
5,1871,35.5,
6,1872,38.5,
7,1873,30.0,
8,1874,34.0,
9,1875,32.0,
10,1876,35.0,
11,1877,35.0,
12,1878,32.0,
13,1879,31.4,
14,1880,25.5,
15,1881,22.0,
16,1882,34.0,
17,1883,29.0,
18,1884,31.0,
19,1885,36.0,
20,1886,34.0,
21,1887,22.0,
22,1888,37.0,
23,1889,30.4,
24,1890,25.0,
25,1891,36.0,
26,1892,31.0,
27,1893,24.0,
28,1894,30.0,
29,1895,36.0,
30,1896,39.5,
31,1897,30.5,
32,1898,38.5,
33,1899,39.8,
34,1900,41.5,
35,1901,22.0,
36,1902,39.0,
37,1903,35.0,
38,1904,33.0,
39,1905,42.0,
40,1906,41.0,
41,1907,36.5,
42,1908,30.5,
43,1909,39.9,
44,1910,39.0,
45,1911,34.5,
46,1912,39.5,
47,1913,35.5,
48,1914,33.0,
49,1915,38.5,
50,1916,32.5,
51,1917,35.5,
52,1918,35.0,
53,1919,35.6,6.9
54,1920,39.5,7.4
55,1921,36.0,7.0
56,1922,36.0,6.4
57,1923,38.0,6.9
58,1924,28.0,5.6
59,1925,42.0,7.3
60,1926,38.0,6.9
61,1927,31.5,6.2
62,1928,35.2,6.9
63,1929,31.3,6.8
64,1930,28.0,5.8
65,1931,39.0,8.5
66,1932,37.5,9.0
67,1933,29.5,7.0
68,1934,27.6,6.5
69,1935,38.0,8.5
70,1936,25.6,5.5
71,1937,45.0,8.5
72,1938,41.0,8.0
73,1939,50.0,9.4
74,1940,37.0,7.0
75,1941,45.0,8.5
76,1942,54.0,9.5
77,1943,49.0,8.0
78,1944,40.1,6.5
79,1945,53.0,9.0
80,1946,51.0,8.5
81,1947,43.0,7.0
82,1948,57.0,9.0
83,1949,50.0,9.2
84,1950,48.5,9.0
85,1951,53.0,9.0
86,1952,50.0,9.0
87,1953,51.5,9.5
88,1954,55.5,10.0
89,1955,56.0,11.0
90,1956,62.0,10.5
91,1957,59.0,9.5
92,1958,63.0,10.0
93,1959,62.5,12.0
94,1960,68.0,12.0
95,1961,74.0,14.0
96,1962,82.0,15.0
97,1963,87.0,15.0
98,1964,72.0,13.7
99,1965,94.0,14.5
100,1966,80.0,13.5
101,1967,86.0,13.0
102,1968,88.0,15.0
103,1969,100.0,16.0
104,1970,76.0,13.0
105,1971,101.0,15.5
106,1972,104.0,16.0
107,1973,102.0,15.2
108,1974,73.0,11.5
109,1975,98.0,15.5
110,1976,110.0,17.5
111,1977,102.0,15.0
112,1978,108.0,15.0
113,1979,112.0,16.5
114,1980,96.0,14.5
115,1981,108.0,15.0
116,1982,126.0,17.0
117,1983,73.0,11.0
118,1984,117.0,16.0
119,1985,123.0,16.0
120,1986,122.0,17.0
121,1987,135.0,18.0
122,1988,83.0,11.5
123,1989,133.0,16.5
124,1990,129.0,17.0
125,1991,92.0,13.0
126,1992,147.0,19.0
127,1993,132.0,16.0
128,1994,144.0,17.0
129,1995,113.0,15.0
130,1996,123.0,18.0
131,1997,122.0,16.0
132,1998,137.0,17.0
133,1999,132.0,16.0
134,2000,146.0,19.0
135,2001,156.0,19.0
136,2002,121.0,16.0
137,2003,146.0,19.0
138,2004,168.0,20.5
139,2005,154.0,20.0
140,2006,157.0,21.0
141,2007,154.0,18.5
142,2008,160.0,20.0
143,2009,171.0,20.0
144,2010,157.0,21.0
145,2011,146.0,20.0
146,2012,99.0,13.0
147,2013,177.0,23.0
148,2014,188.0,22.0
149,2015,150.0,17.0
150,2016,173.0,22.0
151,2017,180.0,21.0
152,2018,189.0,21.0
153,2019,169.0,20.0
154,2020,187.0,21.0
155,2021,195.0,22.0
156,2022,190.0,22.0
157,2023,203.0,22.0
158,2024,202.0,
