#  Indiana April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,61.3,0.1
189611,62.2,1.0
189711,61.2,0.0
189811,61.2,0.0
189911,63.2,2.0
190011,63.5,2.3
190111,61.4,0.2
190211,61.8,0.6
190311,60.1,-1.1
190411,59.4,-1.8
190511,61.1,-0.1
190611,61.8,0.6
190711,57.4,-3.8
190811,61.9,0.7
190911,60.5,-0.7
191011,59.6,-1.6
191111,61.3,0.1
191211,61.1,-0.1
191311,62.4,1.2
191411,62.6,1.4
191511,60.8,-0.4
191611,61.4,0.2
191711,58.0,-3.2
191811,61.1,-0.1
191911,62.4,1.2
192011,60.4,-0.8
192111,63.8,2.6
192211,63.0,1.8
192311,60.4,-0.8
192411,59.6,-1.6
192511,61.1,-0.1
192611,60.0,-1.2
192711,61.1,-0.1
192811,59.8,-1.4
192911,59.7,-1.5
193011,61.8,0.6
193111,63.7,2.5
193211,60.8,-0.4
193311,62.5,1.3
193411,63.8,2.6
193511,60.2,-1.0
193611,62.5,1.3
193711,60.2,-1.0
193811,62.4,1.2
193911,61.9,0.7
194011,60.7,-0.5
194111,63.6,2.4
194211,62.1,0.9
194311,60.7,-0.5
194411,62.7,1.5
194511,60.2,-1.0
194611,61.5,0.3
194711,61.2,0.0
194811,61.8,0.6
194911,61.9,0.7
195011,59.4,-1.8
195111,59.8,-1.4
195211,61.5,0.3
195311,62.5,1.3
195411,62.7,1.5
195511,62.6,1.4
195611,61.3,0.1
195711,60.9,-0.3
195811,60.7,-0.5
195911,62.0,0.8
196011,61.6,0.4
196111,60.1,-1.1
196211,61.5,0.3
196311,61.8,0.6
196411,62.0,0.8
196511,61.7,0.5
196611,59.8,-1.4
196711,59.3,-1.9
196811,61.2,0.0
196911,60.6,-0.6
197011,62.0,0.8
197111,61.7,0.5
197211,60.1,-1.1
197311,62.2,1.0
197411,60.2,-1.0
197511,61.7,0.5
197611,58.5,-2.7
197711,62.9,1.7
197811,61.5,0.3
197911,60.2,-1.0
198011,61.2,0.0
198111,61.1,-0.1
198211,60.7,-0.5
198311,62.0,0.8
198411,61.1,-0.1
198511,62.6,1.4
198611,62.0,0.8
198711,62.5,1.3
198811,61.7,0.5
198911,60.3,-0.9
199011,61.1,-0.1
199111,63.3,2.1
199211,59.4,-1.8
199311,60.5,-0.7
199411,61.7,0.5
199511,61.2,0.0
199611,59.7,-1.5
199711,59.1,-2.1
199811,63.4,2.2
199911,63.2,2.0
200011,61.3,0.1
200111,62.9,1.7
200211,62.3,1.1
200311,61.2,0.0
200411,62.1,0.9
200511,63.2,2.0
200611,61.5,0.3
200711,63.4,2.2
200811,61.1,-0.1
200911,60.9,-0.3
201011,64.2,3.0
201111,63.0,1.8
201211,62.6,1.4
201311,61.3,0.1
201411,60.4,-0.8
201511,62.9,1.7
201611,64.0,2.8
201711,62.6,1.4
201811,62.2,1.0
201911,62.0,0.8
202011,61.8,0.6
202111,62.7,1.5
202211,62.1,0.9
202311,62.1,0.9
