#  Indiana April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,20.54,-7.86
189611,33.66,5.26
189711,24.24,-4.16
189811,28.82,0.42
189911,21.83,-6.57
190011,28.12,-0.28
190111,20.13,-8.27
190211,31.47,3.07
190311,25.77,-2.63
190411,20.50,-7.90
190511,33.30,4.90
190611,25.92,-2.48
190711,28.41,0.01
190811,20.35,-8.05
190911,33.29,4.89
191011,29.55,1.15
191111,30.08,1.68
191211,30.01,1.61
191311,24.64,-3.76
191411,20.54,-7.86
191511,31.21,2.81
191611,25.92,-2.48
191711,27.24,-1.16
191811,27.96,-0.44
191911,30.04,1.64
192011,26.20,-2.20
192111,31.55,3.15
192211,23.82,-4.58
192311,27.92,-0.48
192411,24.56,-3.84
192511,27.48,-0.92
192611,33.33,4.93
192711,35.63,7.23
192811,27.69,-0.71
192911,32.80,4.40
193011,18.05,-10.35
193111,29.25,0.85
193211,27.55,-0.85
193311,27.69,-0.71
193411,22.54,-5.86
193511,28.50,0.10
193611,23.96,-4.44
193711,30.04,1.64
193811,28.23,-0.17
193911,25.11,-3.29
194011,24.08,-4.32
194111,26.77,-1.63
194211,29.72,1.32
194311,28.90,0.50
194411,23.72,-4.68
194511,34.36,5.96
194611,25.50,-2.90
194711,31.82,3.42
194811,28.85,0.45
194911,26.39,-2.01
195011,32.80,4.40
195111,27.43,-0.97
195211,25.52,-2.88
195311,20.14,-8.26
195411,26.72,-1.68
195511,30.84,2.44
195611,23.99,-4.41
195711,36.97,8.57
195811,35.84,7.44
195911,27.87,-0.53
196011,25.00,-3.40
196111,31.24,2.84
196211,24.61,-3.79
196311,19.79,-8.61
196411,22.77,-5.63
196511,27.71,-0.69
196611,26.21,-2.19
196711,26.09,-2.31
196811,31.34,2.94
196911,31.30,2.90
197011,31.00,2.60
197111,25.04,-3.36
197211,34.29,5.89
197311,31.71,3.31
197411,29.69,1.29
197511,29.73,1.33
197611,23.05,-5.35
197711,30.38,1.98
197811,28.97,0.57
197911,35.32,6.92
198011,27.36,-1.04
198111,34.18,5.78
198211,27.77,-0.63
198311,32.31,3.91
198411,30.27,1.87
198511,32.28,3.88
198611,31.19,2.79
198711,25.66,-2.74
198811,23.76,-4.64
198911,32.55,4.15
199011,36.09,7.69
199111,25.53,-2.87
199211,32.37,3.97
199311,37.84,9.44
199411,27.68,-0.72
199511,29.63,1.23
199611,37.32,8.92
199711,26.67,-1.73
199811,33.74,5.34
199911,21.53,-6.87
200011,32.19,3.79
200111,35.49,7.09
200211,30.39,1.99
200311,37.40,9.00
200411,33.06,4.66
200511,27.26,-1.14
200611,36.15,7.75
200711,26.01,-2.39
200811,30.15,1.75
200911,35.31,6.91
201011,29.85,1.45
201111,41.44,13.04
201211,22.94,-5.46
201311,31.53,3.13
201411,34.16,5.76
201511,35.02,6.62
201611,32.44,4.04
201711,35.21,6.81
201811,34.80,6.40
201911,34.13,5.73
202011,28.52,0.12
202111,32.97,4.57
202211,25.67,-2.73
202311,22.62,-5.78
