#  Indiana April Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189504,-2.00,-1.95
189604,-3.47,-3.42
189704,3.40,3.45
189804,1.89,1.94
189904,-1.03,-0.98
190004,-3.05,-3.00
190104,-2.11,-2.06
190204,-4.27,-4.22
190304,-0.16,-0.11
190404,2.27,2.32
190504,0.02,0.07
190604,-0.79,-0.74
190704,1.38,1.43
190804,3.44,3.49
190904,1.43,1.48
191004,-2.10,-2.05
191104,0.68,0.73
191204,2.04,2.09
191304,-0.18,-0.13
191404,-2.03,-1.98
191504,-5.23,-5.18
191604,-1.10,-1.05
191704,0.40,0.45
191804,-1.16,-1.11
191904,-0.39,-0.34
192004,1.12,1.17
192104,-0.75,-0.70
192204,3.08,3.13
192304,-0.45,-0.40
192404,0.97,1.02
192504,-2.36,-2.31
192604,0.49,0.54
192704,3.16,3.21
192804,1.57,1.62
192904,1.08,1.13
193004,-1.12,-1.07
193104,-6.45,-6.40
193204,-0.72,-0.67
193304,2.65,2.70
193404,-4.10,-4.05
193504,-3.57,-3.52
193604,-1.88,-1.83
193704,1.95,2.00
193804,1.50,1.55
193904,2.14,2.19
194004,-2.58,-2.53
194104,-5.21,-5.16
194204,0.30,0.35
194304,0.38,0.43
194404,-0.89,-0.84
194504,1.38,1.43
194604,-1.52,-1.47
194704,1.20,1.25
194804,0.56,0.61
194904,1.76,1.81
195004,4.89,4.94
195104,3.59,3.64
195204,2.48,2.53
195304,-1.24,-1.19
195404,-4.55,-4.50
195504,-0.32,-0.27
195604,0.54,0.59
195704,1.13,1.18
195804,-1.74,-1.69
195904,-0.19,-0.14
196004,-1.38,-1.33
196104,1.31,1.36
196204,-1.02,-0.97
196304,-0.94,-0.89
196404,-2.11,-2.06
196504,-2.14,-2.09
196604,-1.10,-1.05
196704,0.03,0.08
196804,-0.78,-0.73
196904,-0.85,-0.80
197004,0.85,0.90
197104,-1.53,-1.48
197204,1.18,1.23
197304,2.39,2.44
197404,1.64,1.69
197504,2.70,2.75
197604,-1.08,-1.03
197704,-1.32,-1.27
197804,1.25,1.30
197904,1.61,1.66
198004,2.03,2.08
198104,0.54,0.59
198204,2.06,2.11
198304,0.94,0.99
198404,1.23,1.28
198504,-0.92,-0.87
198604,-1.20,-1.15
198704,-1.88,-1.83
198804,-1.07,-1.02
198904,1.04,1.09
199004,1.69,1.74
199104,-0.25,-0.20
199204,-2.19,-2.14
199304,2.77,2.82
199404,-0.40,-0.35
199504,0.32,0.37
199604,1.28,1.33
199704,2.55,2.60
199804,1.09,1.14
199904,-0.16,-0.11
200004,-3.63,-3.58
200104,-1.71,-1.66
200204,3.41,3.46
200304,-2.29,-2.24
200404,1.29,1.34
200504,-0.90,-0.85
200604,0.57,0.62
200704,-0.02,0.03
200804,2.61,2.66
200904,2.08,2.13
201004,-1.33,-1.28
201104,2.92,2.97
201204,-1.90,-1.85
201304,1.44,1.49
201404,1.22,1.27
201504,1.96,2.01
201604,2.10,2.15
201704,1.54,1.59
201804,2.90,2.95
201904,4.76,4.81
202004,2.89,2.94
202104,-0.71,-0.66
202204,-0.12,-0.07
202304,-0.49,-0.44
202404,-1.21,-1.16
