#  Indiana August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,-3.72,-3.70
189608,2.74,2.76
189708,-1.07,-1.05
189808,0.67,0.69
189908,-2.24,-2.22
190008,-1.19,-1.17
190108,-3.58,-3.56
190208,0.98,1.00
190308,0.46,0.48
190408,-0.93,-0.91
190508,1.27,1.29
190608,0.40,0.42
190708,2.52,2.54
190808,-2.08,-2.06
190908,2.44,2.46
191008,0.39,0.41
191108,-2.09,-2.07
191208,2.73,2.75
191308,-2.05,-2.03
191408,-3.41,-3.39
191508,3.22,3.24
191608,-1.00,-0.98
191708,-0.33,-0.31
191808,-1.57,-1.55
191908,-1.74,-1.72
192008,-0.33,-0.31
192108,0.74,0.76
192208,-2.12,-2.10
192308,0.62,0.64
192408,0.15,0.17
192508,-2.90,-2.88
192608,1.06,1.08
192708,2.89,2.91
192808,2.04,2.06
192908,1.94,1.96
193008,-3.97,-3.95
193108,0.32,0.34
193208,-1.68,-1.66
193308,-2.60,-2.58
193408,-5.04,-5.02
193508,-1.41,-1.39
193608,-5.30,-5.28
193708,1.38,1.40
193808,-0.04,-0.02
193908,-0.51,-0.49
194008,-3.42,-3.40
194108,-4.91,-4.89
194208,1.14,1.16
194308,-0.74,-0.72
194408,-2.86,-2.84
194508,2.27,2.29
194608,-0.68,-0.66
194708,-0.21,-0.19
194808,-0.60,-0.58
194908,1.01,1.03
195008,3.89,3.91
195108,2.17,2.19
195208,-0.93,-0.91
195308,-2.27,-2.25
195408,-3.58,-3.56
195508,-0.90,-0.88
195608,-0.59,-0.57
195708,2.21,2.23
195808,3.88,3.90
195908,-1.36,-1.34
196008,-0.11,-0.09
196108,1.96,1.98
196208,-0.03,-0.01
196308,-1.03,-1.01
196408,-3.11,-3.09
196508,-2.22,-2.20
196608,-2.12,-2.10
196708,-1.12,-1.10
196808,1.28,1.30
196908,0.91,0.93
197008,0.20,0.22
197108,0.38,0.40
197208,-0.42,-0.40
197308,2.86,2.88
197408,1.69,1.71
197508,2.24,2.26
197608,0.15,0.17
197708,1.53,1.55
197808,2.09,2.11
197908,4.10,4.12
198008,2.33,2.35
198108,2.41,2.43
198208,1.81,1.83
198308,-1.97,-1.95
198408,-1.54,-1.52
198508,1.02,1.04
198608,0.71,0.73
198708,-1.08,-1.06
198808,-3.81,-3.79
198908,2.21,2.23
199008,3.88,3.90
199108,-2.68,-2.66
199208,2.04,2.06
199308,2.97,2.99
199408,-0.58,-0.56
199508,-0.40,-0.38
199608,2.12,2.14
199708,2.98,3.00
199808,2.60,2.62
199908,-1.75,-1.73
200008,1.57,1.59
200108,1.21,1.23
200208,-1.54,-1.52
200308,2.54,2.56
200408,3.34,3.36
200508,-0.78,-0.76
200608,1.90,1.92
200708,-1.49,-1.47
200808,2.85,2.87
200908,2.84,2.86
201008,-0.78,-0.76
201108,1.78,1.80
201208,-0.04,-0.02
201308,-0.70,-0.68
201408,2.18,2.20
201508,3.69,3.71
201608,3.15,3.17
201708,2.53,2.55
201808,2.79,2.81
201908,4.27,4.29
202008,-0.07,-0.05
202108,1.35,1.37
202208,0.65,0.67
202308,-0.60,-0.58
202408,-1.21,-1.19
