#  Indiana July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,-3.22,-3.08
189607,1.97,2.11
189707,-0.33,-0.19
189807,0.78,0.92
189907,-1.83,-1.69
190007,-1.22,-1.08
190107,-3.33,-3.19
190207,1.47,1.61
190307,0.08,0.22
190407,-0.69,-0.55
190507,0.70,0.84
190607,-1.72,-1.58
190707,2.16,2.30
190807,-1.27,-1.13
190907,2.57,2.71
191007,0.79,0.93
191107,-1.96,-1.82
191207,1.77,1.91
191307,-1.82,-1.68
191407,-4.06,-3.92
191507,1.59,1.73
191607,-0.77,-0.63
191707,-0.11,0.03
191807,-1.33,-1.19
191907,-1.28,-1.14
192007,-0.32,-0.18
192107,-2.92,-2.78
192207,-1.45,-1.31
192307,-0.41,-0.27
192407,-0.63,-0.49
192507,-2.61,-2.47
192607,-0.98,-0.84
192707,3.08,3.22
192807,2.08,2.22
192907,2.27,2.41
193007,-3.32,-3.18
193107,-5.66,-5.52
193207,-1.73,-1.59
193307,-2.28,-2.14
193407,-5.82,-5.68
193507,-1.42,-1.28
193607,-4.91,-4.77
193707,1.51,1.65
193807,2.61,2.75
193907,-0.20,-0.06
194007,-3.04,-2.90
194107,-4.69,-4.55
194207,0.87,1.01
194307,-0.28,-0.14
194407,-3.02,-2.88
194507,2.36,2.50
194607,-0.84,-0.70
194707,-0.03,0.11
194807,0.94,1.08
194907,1.14,1.28
195007,4.02,4.16
195107,2.74,2.88
195207,-0.67,-0.53
195307,-1.60,-1.46
195407,-4.52,-4.38
195507,-0.34,-0.20
195607,-0.35,-0.21
195707,2.65,2.79
195807,3.65,3.79
195907,-0.95,-0.81
196007,-0.05,0.09
196107,2.10,2.24
196207,0.81,0.95
196307,-0.99,-0.85
196407,-2.63,-2.49
196507,-2.81,-2.67
196607,-2.13,-1.99
196707,-0.88,-0.74
196807,1.03,1.17
196907,1.34,1.48
197007,0.56,0.70
197107,0.68,0.82
197207,-0.46,-0.32
197307,3.13,3.27
197407,1.08,1.22
197507,1.54,1.68
197607,0.47,0.61
197707,-2.07,-1.93
197807,1.24,1.38
197907,2.87,3.01
198007,1.74,1.88
198107,2.11,2.25
198207,1.70,1.84
198307,-1.17,-1.03
198407,-0.91,-0.77
198507,-1.14,-1.00
198607,0.94,1.08
198707,-1.16,-1.02
198807,-3.38,-3.24
198907,1.78,1.92
199007,3.13,3.27
199107,-2.51,-2.37
199207,2.05,2.19
199307,2.72,2.86
199407,-0.80,-0.66
199507,-0.49,-0.35
199607,3.09,3.23
199707,2.84,2.98
199807,2.65,2.79
199907,-1.23,-1.09
200007,1.04,1.18
200107,0.88,1.02
200207,-1.07,-0.93
200307,2.59,2.73
200407,2.56,2.70
200507,-1.35,-1.21
200607,1.34,1.48
200707,-1.76,-1.62
200807,3.67,3.81
200907,2.69,2.83
201007,1.57,1.71
201107,2.53,2.67
201207,-4.45,-4.31
201307,-0.11,0.03
201407,1.46,1.60
201507,4.23,4.37
201607,1.94,2.08
201707,3.07,3.21
201807,2.14,2.28
201907,4.63,4.77
202007,-0.05,0.09
202107,1.40,1.54
202207,0.54,0.68
202307,-0.89,-0.75
202407,-0.90,-0.76
