#  Indiana June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,-3.25,-3.19
189606,0.18,0.24
189706,-0.03,0.03
189806,1.39,1.45
189906,-1.66,-1.60
190006,-1.87,-1.81
190106,-2.10,-2.04
190206,1.68,1.74
190306,0.15,0.21
190406,-0.60,-0.54
190506,0.40,0.46
190606,-1.59,-1.53
190706,1.70,1.76
190806,-0.78,-0.72
190906,1.96,2.02
191006,-2.23,-2.17
191106,-1.08,-1.02
191206,1.33,1.39
191306,-1.46,-1.40
191406,-3.16,-3.10
191506,0.37,0.43
191606,1.39,1.45
191706,1.61,1.67
191806,-1.22,-1.16
191906,-0.35,-0.29
192006,-0.44,-0.38
192106,-1.91,-1.85
192206,-1.32,-1.26
192306,-0.35,-0.29
192406,2.12,2.18
192506,-3.00,-2.94
192606,-0.73,-0.67
192706,3.61,3.67
192806,2.39,2.45
192906,2.25,2.31
193006,-2.35,-2.29
193106,-5.74,-5.68
193206,-1.53,-1.47
193306,-1.45,-1.39
193406,-5.16,-5.10
193506,-1.39,-1.33
193606,-3.57,-3.51
193706,1.68,1.74
193806,2.22,2.28
193906,-0.31,-0.25
194006,-2.19,-2.13
194106,-4.54,-4.48
194206,0.75,0.81
194306,-0.46,-0.40
194406,-2.03,-1.97
194506,2.67,2.73
194606,-0.48,-0.42
194706,2.01,2.07
194806,0.60,0.66
194906,1.44,1.50
195006,4.23,4.29
195106,2.87,2.93
195206,2.13,2.19
195306,-1.89,-1.83
195406,-4.51,-4.45
195506,-0.55,-0.49
195606,-0.32,-0.26
195706,2.71,2.77
195806,1.93,1.99
195906,-0.97,-0.91
196006,1.12,1.18
196106,1.79,1.85
196206,-1.46,-1.40
196306,-1.74,-1.68
196406,-2.88,-2.82
196506,-3.01,-2.95
196606,-1.70,-1.64
196706,-0.51,-0.45
196806,1.08,1.14
196906,0.41,0.47
197006,0.30,0.36
197106,-0.20,-0.14
197206,-0.42,-0.36
197306,2.68,2.74
197406,2.37,2.43
197506,2.28,2.34
197606,0.48,0.54
197706,-1.98,-1.92
197806,0.76,0.82
197906,1.03,1.09
198006,1.95,2.01
198106,1.76,1.82
198206,1.89,1.95
198306,-0.32,-0.26
198406,-0.97,-0.91
198506,-1.02,-0.96
198606,0.30,0.36
198706,-1.94,-1.88
198806,-3.37,-3.31
198906,1.23,1.29
199006,2.85,2.91
199106,-1.76,-1.70
199206,-2.52,-2.46
199306,2.81,2.87
199406,-0.72,-0.66
199506,-0.06,0.00
199606,2.63,2.69
199706,3.49,3.55
199806,2.31,2.37
199906,-0.60,-0.54
200006,0.93,0.99
200106,0.12,0.18
200206,-0.41,-0.35
200306,0.72,0.78
200406,2.02,2.08
200506,-1.63,-1.57
200606,1.01,1.07
200706,-1.55,-1.49
200806,3.73,3.79
200906,2.39,2.45
201006,1.64,1.70
201106,3.52,3.58
201206,-3.53,-3.47
201306,1.79,1.85
201406,1.50,1.56
201506,3.43,3.49
201606,1.53,1.59
201706,2.30,2.36
201806,2.55,2.61
201906,5.31,5.37
202006,-0.27,-0.21
202106,0.69,0.75
202206,-0.76,-0.70
202306,-1.51,-1.45
202406,-1.61,-1.55
