#  Indiana November Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,-3.92,-4.15
189611,3.53,3.30
189711,0.53,0.30
189811,1.78,1.55
189911,-3.22,-3.45
190011,-1.68,-1.91
190111,-4.49,-4.72
190211,1.80,1.57
190311,-0.86,-1.09
190411,-2.51,-2.74
190511,2.44,2.21
190611,0.37,0.14
190711,2.76,2.53
190811,-4.96,-5.19
190911,2.84,2.61
191011,2.09,1.86
191111,1.81,1.58
191211,2.02,1.79
191311,-1.95,-2.18
191411,-4.71,-4.94
191511,2.84,2.61
191611,-1.99,-2.22
191711,-0.59,-0.82
191811,0.42,0.19
191911,2.14,1.91
192011,-1.57,-1.80
192111,2.00,1.77
192211,-3.57,-3.80
192311,0.69,0.46
192411,-1.85,-2.08
192511,1.85,1.62
192611,3.75,3.52
192711,3.42,3.19
192811,1.14,0.91
192911,2.21,1.98
193011,-4.84,-5.07
193111,0.79,0.56
193211,1.77,1.54
193311,-2.83,-3.06
193411,-4.49,-4.72
193511,-1.60,-1.83
193611,0.54,0.31
193711,2.02,1.79
193811,-1.09,-1.32
193911,-2.68,-2.91
194011,-4.27,-4.50
194111,1.13,0.90
194211,1.16,0.93
194311,-1.62,-1.85
194411,-4.36,-4.59
194511,3.71,3.48
194611,-1.57,-1.80
194711,-0.83,-1.06
194811,0.52,0.29
194911,0.89,0.66
195011,4.73,4.50
195111,1.84,1.61
195211,-1.84,-2.07
195311,-4.77,-5.00
195411,0.63,0.40
195511,1.60,1.37
195611,-2.76,-2.99
195711,2.56,2.33
195811,3.66,3.43
195911,0.26,0.03
196011,-1.76,-1.99
196111,1.47,1.24
196211,-0.61,-0.84
196311,-3.85,-4.08
196411,-4.71,-4.94
196511,-1.17,-1.40
196611,0.21,-0.02
196711,0.57,0.34
196811,0.33,0.10
196911,2.16,1.93
197011,0.77,0.54
197111,-1.07,-1.30
197211,2.74,2.51
197311,1.87,1.64
197411,1.70,1.47
197511,1.75,1.52
197611,-0.43,-0.66
197711,2.30,2.07
197811,1.05,0.82
197911,4.16,3.93
198011,-0.41,-0.64
198111,2.00,1.77
198211,1.43,1.20
198311,1.21,0.98
198411,0.93,0.70
198511,2.28,2.05
198611,2.09,1.86
198711,-1.91,-2.14
198811,0.54,0.31
198911,2.89,2.66
199011,4.45,4.22
199111,-1.99,-2.22
199211,3.83,3.60
199311,5.60,5.37
199411,-1.20,-1.43
199511,-1.46,-1.69
199611,3.11,2.88
199711,-0.86,-1.09
199811,-1.00,-1.23
199911,-4.14,-4.37
200011,2.34,2.11
200111,3.78,3.55
200211,-1.88,-2.11
200311,4.26,4.03
200411,3.25,3.02
200511,-1.02,-1.25
200611,3.88,3.65
200711,-2.08,-2.31
200811,1.73,1.50
200911,-0.23,-0.46
201011,-2.06,-2.29
201111,3.60,3.37
201211,0.20,-0.03
201311,0.52,0.29
201411,3.21,2.98
201511,2.36,2.13
201611,2.50,2.27
201711,2.64,2.41
201811,4.10,3.87
201911,3.14,2.91
202011,-0.15,-0.38
202111,2.45,2.22
202211,-1.59,-1.82
202311,-2.15,-2.38
