#  Indiana October Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189510,-4.49,-4.79
189610,3.28,2.98
189710,-3.22,-3.52
189810,1.64,1.34
189910,-2.73,-3.03
190010,-1.96,-2.26
190110,-3.81,-4.11
190210,1.68,1.38
190310,-0.46,-0.76
190410,-1.29,-1.59
190510,2.29,1.99
190610,0.18,-0.12
190710,2.57,2.27
190810,-4.18,-4.48
190910,2.78,2.48
191010,2.12,1.82
191110,1.46,1.16
191210,2.39,2.09
191310,-1.92,-2.22
191410,-3.66,-3.96
191510,2.90,2.60
191610,-1.27,-1.57
191710,1.00,0.70
191810,0.71,0.41
191910,1.70,1.40
192010,-1.04,-1.34
192110,1.21,0.91
192210,-2.91,-3.21
192310,0.93,0.63
192410,-1.02,-1.32
192510,1.18,0.88
192610,3.93,3.63
192710,2.78,2.48
192810,1.29,0.99
192910,2.18,1.88
193010,-4.07,-4.37
193110,0.82,0.52
193210,1.63,1.33
193310,-1.96,-2.26
193410,-4.29,-4.59
193510,-1.71,-2.01
193610,0.59,0.29
193710,2.20,1.90
193810,-0.86,-1.16
193910,-1.85,-2.15
194010,-4.23,-4.53
194110,1.17,0.87
194210,0.67,0.37
194310,-1.05,-1.35
194410,-3.76,-4.06
194510,3.46,3.16
194610,-1.53,-1.83
194710,-0.41,-0.71
194810,-0.94,-1.24
194910,1.53,1.23
195010,3.89,3.59
195110,1.57,1.27
195210,-1.36,-1.66
195310,-3.77,-4.07
195410,1.13,0.83
195510,0.96,0.66
195610,-2.15,-2.45
195710,2.09,1.79
195810,3.37,3.07
195910,0.32,0.02
196010,-1.25,-1.55
196110,1.60,1.30
196210,-0.05,-0.35
196310,-3.09,-3.39
196410,-4.09,-4.39
196510,-0.75,-1.05
196610,-1.92,-2.22
196710,0.57,0.27
196810,-0.56,-0.86
196910,1.63,1.33
197010,0.91,0.61
197110,-0.40,-0.70
197210,1.55,1.25
197310,1.63,1.33
197410,1.78,1.48
197510,1.94,1.64
197610,0.54,0.24
197710,2.19,1.89
197810,1.16,0.86
197910,3.28,2.98
198010,2.01,1.71
198110,2.44,2.14
198210,0.97,0.67
198310,0.87,0.57
198410,0.50,0.20
198510,0.36,0.06
198610,1.95,1.65
198710,-1.61,-1.91
198810,0.13,-0.17
198910,2.79,2.49
199010,4.42,4.12
199110,-2.12,-2.42
199210,2.56,2.26
199310,4.65,4.35
199410,-1.38,-1.68
199510,-1.24,-1.54
199610,2.55,2.25
199710,-0.66,-0.96
199810,-0.62,-0.92
199910,-2.84,-3.14
200010,2.12,1.82
200110,3.78,3.48
200210,-1.44,-1.74
200310,3.82,3.52
200410,2.62,2.32
200510,-1.08,-1.38
200610,3.76,3.46
200710,-1.78,-2.08
200810,2.36,2.06
200910,4.28,3.98
201010,-2.40,-2.70
201110,2.61,2.31
201210,1.07,0.77
201310,0.45,0.15
201410,3.01,2.71
201510,2.58,2.28
201610,2.82,2.52
201710,2.16,1.86
201810,3.38,3.08
201910,3.41,3.11
202010,-0.07,-0.37
202110,2.79,2.49
202210,-0.77,-1.07
202310,-1.17,-1.47
