Macrotrends Data Download

Indiana Population 1900-2023
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,2518000
1901-12-01,2541000,0.91
1902-12-01,2567000,1.02
1903-12-01,2594000,1.05
1904-12-01,2614000,0.77
1905-12-01,2635000,0.8
1906-12-01,2663000,1.06
1907-12-01,2679000,0.6
1908-12-01,2677000,-0.07
1909-12-01,2678000,0.04
1910-12-01,2713000,1.31
1911-12-01,2751000,1.4
1912-12-01,2785000,1.24
1913-12-01,2824000,1.4
1914-12-01,2857000,1.17
1915-12-01,2873000,0.56
1916-12-01,2897000,0.84
1917-12-01,2910000,0.45
1918-12-01,2880000,-1.03
1919-12-01,2906000,0.9
1920-12-01,2947000,1.41
1921-12-01,2976000,0.98
1922-12-01,2965000,-0.37
1923-12-01,3042000,2.6
1924-12-01,3086000,1.45
1925-12-01,3119000,1.07
1926-12-01,3148000,0.93
1927-12-01,3191000,1.37
1928-12-01,3212000,0.66
1929-12-01,3226000,0.44
1930-12-01,3242000,0.5
1931-12-01,3257000,0.46
1932-12-01,3281000,0.74
1933-12-01,3304000,0.7
1934-12-01,3319000,0.45
1935-12-01,3332000,0.39
1936-12-01,3348000,0.48
1937-12-01,3374000,0.78
1938-12-01,3386000,0.36
1939-12-01,3403000,0.5
1940-12-01,3433000,0.88
1941-12-01,3483000,1.46
1942-12-01,3507000,0.69
1943-12-01,3449000,-1.65
1944-12-01,3440000,-0.26
1945-12-01,3427000,-0.38
1946-12-01,3702000,8.02
1947-12-01,3779000,2.08
1948-12-01,3877000,2.59
1949-12-01,3958000,2.09
1950-12-01,3967000,0.23
1951-12-01,4096000,3.25
1952-12-01,4148000,1.27
1953-12-01,4182000,0.82
1954-12-01,4264000,1.96
1955-12-01,4363000,2.32
1956-12-01,4458000,2.18
1957-12-01,4529000,1.59
1958-12-01,4583000,1.19
1959-12-01,4613000,0.65
1960-12-01,4674000,1.32
1961-12-01,4730000,1.2
1962-12-01,4736000,0.13
1963-12-01,4799000,1.33
1964-12-01,4856000,1.19
1965-12-01,4922000,1.36
1966-12-01,4999000,1.56
1967-12-01,5053000,1.08
1968-12-01,5093000,0.79
1969-12-01,5143000,0.98
1970-12-01,5195392,1.02
1971-12-01,5253396,1.12
1972-12-01,5302435,0.93
1973-12-01,5338277,0.68
1974-12-01,5361890,0.44
1975-12-01,5365766,0.07
1976-12-01,5389088,0.43
1977-12-01,5425638,0.68
1978-12-01,5470214,0.82
1979-12-01,5501174,0.57
1980-12-01,5490721,-0.19
1981-12-01,5480435,-0.19
1982-12-01,5467922,-0.23
1983-12-01,5450395,-0.32
1984-12-01,5458322,0.15
1985-12-01,5459211,0.02
1986-12-01,5454108,-0.09
1987-12-01,5473012,0.35
1988-12-01,5491735,0.34
1989-12-01,5523693,0.58
1990-12-01,5555097,0.57
1991-12-01,5602062,0.85
1992-12-01,5648649,0.83
1993-12-01,5701965,0.94
1994-12-01,5745626,0.77
1995-12-01,5791819,0.8
1996-12-01,5834908,0.74
1997-12-01,5872370,0.64
1998-12-01,5907617,0.6
1999-12-01,5942901,0.6
2000-12-01,6091866,2.51
2001-12-01,6127760,0.59
2002-12-01,6155967,0.46
2003-12-01,6196638,0.66
2004-12-01,6233007,0.59
2005-12-01,6278616,0.73
2006-12-01,6332669,0.86
2007-12-01,6379599,0.74
2008-12-01,6424806,0.71
2009-12-01,6459325,0.54
2010-12-01,6490555,0.48
2011-12-01,6517250,0.41
2012-12-01,6538989,0.33
2013-12-01,6570575,0.48
2014-12-01,6596019,0.39
2015-12-01,6611442,0.23
2016-12-01,6637898,0.4
2017-12-01,6662068,0.36
2018-12-01,6698481,0.55
2019-12-01,6731010,0.49
2020-12-01,6789098,0.86
2021-12-01,6813798,0.36
2022-12-01,6832274,0.27
2023-12-01,6862199,0.44
