#  Indiana September Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189509,-4.04,-4.14
189609,3.69,3.59
189709,-2.30,-2.40
189809,0.94,0.84
189909,-2.67,-2.77
190009,-1.65,-1.75
190109,-4.11,-4.21
190209,1.77,1.67
190309,-0.51,-0.61
190409,-0.67,-0.77
190509,1.43,1.33
190609,0.56,0.46
190709,2.43,2.33
190809,-3.15,-3.25
190909,2.27,2.17
191009,1.15,1.05
191109,0.95,0.85
191209,2.70,2.60
191309,-2.19,-2.29
191409,-3.48,-3.58
191509,3.37,3.27
191609,-1.01,-1.11
191709,-0.76,-0.86
191809,0.75,0.65
191909,-2.16,-2.26
192009,-0.58,-0.68
192109,1.31,1.21
192209,-2.82,-2.92
192309,0.68,0.58
192409,0.55,0.45
192509,0.55,0.45
192609,3.14,3.04
192709,3.16,3.06
192809,1.30,1.20
192909,1.77,1.67
193009,-3.69,-3.79
193109,0.71,0.61
193209,1.09,0.99
193309,-2.01,-2.11
193409,-3.65,-3.75
193509,-1.44,-1.54
193609,0.23,0.13
193709,1.39,1.29
193809,-0.07,-0.17
193909,-1.71,-1.81
194009,-4.00,-4.10
194109,-5.15,-5.25
194209,1.07,0.97
194309,-0.57,-0.67
194409,-3.11,-3.21
194509,3.43,3.33
194609,-1.39,-1.49
194709,0.35,0.25
194809,-0.81,-0.91
194909,0.89,0.79
195009,4.63,4.53
195109,1.86,1.76
195209,-0.80,-0.90
195309,-3.04,-3.14
195409,-4.02,-4.12
195509,0.29,0.19
195609,-1.19,-1.29
195709,1.85,1.75
195809,3.93,3.83
195909,-1.29,-1.39
196009,-0.89,-0.99
196109,1.90,1.80
196209,-0.10,-0.20
196309,-1.87,-1.97
196409,-3.38,-3.48
196509,-1.01,-1.11
196609,-1.63,-1.73
196709,-1.56,-1.66
196809,-0.07,-0.17
196909,1.09,0.99
197009,0.51,0.41
197109,0.93,0.83
197209,1.34,1.24
197309,2.01,1.91
197409,2.25,2.15
197509,2.10,2.00
197609,0.17,0.07
197709,1.71,1.61
197809,1.15,1.05
197909,3.37,3.27
198009,2.15,2.05
198109,2.47,2.37
198209,1.56,1.46
198309,-2.61,-2.71
198409,0.34,0.24
198509,-0.42,-0.52
198609,1.25,1.15
198709,-1.50,-1.60
198809,-3.82,-3.92
198909,3.03,2.93
199009,3.48,3.38
199109,-2.94,-3.04
199209,2.77,2.67
199309,4.31,4.21
199409,-0.78,-0.88
199509,-1.20,-1.30
199609,2.81,2.71
199709,-0.25,-0.35
199809,-0.91,-1.01
199909,-2.48,-2.58
200009,2.27,2.17
200109,1.61,1.51
200209,-1.45,-1.55
200309,3.88,3.78
200409,2.19,2.09
200509,-0.45,-0.55
200609,2.61,2.51
200709,-1.88,-1.98
200809,2.81,2.71
200909,2.62,2.52
201009,-1.60,-1.70
201109,2.54,2.44
201209,0.70,0.60
201309,-0.78,-0.88
201409,2.38,2.28
201509,3.02,2.92
201609,3.11,3.01
201709,1.84,1.74
201809,3.42,3.32
201909,3.27,3.17
202009,-0.73,-0.83
202109,1.65,1.55
202209,-0.38,-0.48
202309,-1.36,-1.46
