year,price-received
2023,4.85
2022,6.62
2021,6.1
2020,4.64
2019,3.5
2018,3.59
2017,3.31
2016,3.3
2015,3.52
2014,3.71
2013,4.49
2012,6.92
2011,6.2
2010,5.23
2009,3.59
2008,4.1
2007,4.29
2006,3.03
2005,1.94
2004,1.99
2003,2.37
2002,2.22
2001,1.9
2000,1.75
1999,1.72
1998,1.86
1997,2.33
1996,2.6
1995,3.2
1994,2.22
1993,2.44
1992,2.0
1991,2.3
1990,2.21
1989,2.29
1988,2.45
1987,1.89
1986,1.41
1985,2.02
1984,2.51
1983,3.12
1982,2.69
1981,2.41
1980,2.97
1979,2.42
1978,2.17
1977,1.99
1976,2.05
1975,2.5
1974,2.97
1973,2.58
1972,1.65
1971,1.04
1970,1.25
1969,1.11
1968,1.07
1967,1.01
1966,1.17
1965,1.13
1964,1.12
1963,1.05
1962,1.09
1961,1.09
1960,0.97
1959,1.01
1958,1.08
1957,1.05
1956,1.31
1955,1.44
1954,1.45
1953,1.5
1952,1.5
1951,1.61
1950,1.52
1949,1.27
1948,1.31
1947,2.15
1946,1.53
1945,1.23
1944,0.98
1943,0.99
1942,0.86
1941,0.72
1940,0.57
1939,0.53
1938,0.46
1937,0.44
1936,1.07
1935,0.62
1934,0.79
1933,0.5
1932,0.3
1931,0.28
1930,0.52
1929,0.73
1928,0.76
1927,0.83
1926,0.69
1925,0.6
1924,1.01
1923,0.75
1922,0.64
1921,0.41
1920,0.47
1919,1.34
1918,1.4
1917,1.3
1916,1.15
1915,0.63
1914,0.64
1913,0.61
1912,0.44
1911,0.6
1910,0.42
1909,0.52
1908,0.57
1907,0.43
1906,0.32
1905,0.34
1904,0.33
1903,0.38
1902,0.33
1901,0.52
1900,0.27
1899,0.23
1898,0.23
1897,0.17
1896,0.14
1895,0.18
1894,0.45
1893,0.27
1892,0.32
1891,0.3
1890,0.41
1889,0.19
1888,0.24
1887,0.35
1886,0.3
1885,0.24
1884,0.23
1883,0.32
1882,0.38
1881,0.44
1880,0.26
1879,0.24
1878,0.16
1876,0.25
1875,0.27
1874,0.43
1873,0.32
1872,0.18
1871,0.23
1870,0.34
1869,0.5
1868,0.38
1867,0.53
