,year,grain-yield,silage-yield
0,1866,32.0,
1,1867,41.0,
2,1868,40.5,
3,1869,33.5,
4,1870,40.0,
5,1871,43.5,
6,1872,41.0,
7,1873,32.5,
8,1874,34.0,
9,1875,35.0,
10,1876,34.0,
11,1877,33.5,
12,1878,40.5,
13,1879,41.6,
14,1880,39.5,
15,1881,30.0,
16,1882,30.5,
17,1883,29.0,
18,1884,39.5,
19,1885,36.5,
20,1886,29.0,
21,1887,30.0,
22,1888,39.5,
23,1889,41.3,
24,1890,28.0,
25,1891,40.5,
26,1892,30.5,
27,1893,37.5,
28,1894,15.0,
29,1895,39.0,
30,1896,43.0,
31,1897,33.5,
32,1898,36.0,
33,1899,39.1,
34,1900,45.0,
35,1901,28.5,
36,1902,38.0,
37,1903,32.5,
38,1904,39.0,
39,1905,41.5,
40,1906,45.5,
41,1907,35.0,
42,1908,38.0,
43,1909,37.1,
44,1910,41.5,
45,1911,35.5,
46,1912,46.0,
47,1913,37.5,
48,1914,40.5,
49,1915,32.5,
50,1916,38.0,
51,1917,38.5,
52,1918,37.0,
53,1919,41.6,7.8
54,1920,46.0,8.7
55,1921,43.0,8.5
56,1922,45.0,9.1
57,1923,40.5,7.9
58,1924,28.0,7.1
59,1925,43.9,8.5
60,1926,39.0,7.6
61,1927,35.0,8.1
62,1928,41.5,8.4
63,1929,40.2,8.5
64,1930,34.0,8.0
65,1931,32.9,7.0
66,1932,43.0,9.2
67,1933,40.0,9.0
68,1934,28.2,6.0
69,1935,38.0,8.9
70,1936,20.0,3.5
71,1937,45.0,8.6
72,1938,46.0,10.0
73,1939,52.2,10.4
74,1940,52.5,10.0
75,1941,51.0,10.0
76,1942,60.0,10.5
77,1943,55.0,10.8
78,1944,52.5,9.5
79,1945,44.5,8.7
80,1946,57.0,10.5
81,1947,31.0,6.4
82,1948,60.5,11.0
83,1949,47.0,10.1
84,1950,48.5,10.0
85,1951,43.5,8.5
86,1952,62.5,11.0
87,1953,53.0,10.5
88,1954,54.5,9.5
89,1955,48.5,9.0
90,1956,53.5,9.5
91,1957,62.0,11.0
92,1958,66.0,11.5
93,1959,65.0,11.6
94,1960,63.5,11.5
95,1961,75.5,13.5
96,1962,77.0,13.5
97,1963,80.0,13.5
98,1964,77.5,12.5
99,1965,82.0,13.5
100,1966,89.0,14.5
101,1967,88.5,13.5
102,1968,93.0,14.5
103,1969,99.0,15.0
104,1970,86.0,13.0
105,1971,102.0,14.5
106,1972,116.0,16.0
107,1973,107.0,15.5
108,1974,80.0,11.5
109,1975,90.0,13.5
110,1976,91.0,12.5
111,1977,86.0,12.5
112,1978,115.0,16.0
113,1979,127.0,17.5
114,1980,110.0,14.8
115,1981,125.0,16.5
116,1982,120.0,15.8
117,1983,87.0,12.0
118,1984,112.0,15.0
119,1985,126.0,16.0
120,1986,135.0,17.0
121,1987,130.0,16.0
122,1988,84.0,9.0
123,1989,118.0,13.5
124,1990,126.0,15.5
125,1991,117.0,15.0
126,1992,147.0,17.5
127,1993,80.0,11.0
128,1994,152.0,18.0
129,1995,123.0,15.0
130,1996,138.0,18.0
131,1997,138.0,18.0
132,1998,145.0,16.5
133,1999,149.0,18.0
134,2000,144.0,17.0
135,2001,146.0,18.5
136,2002,163.0,19.0
137,2003,157.0,20.0
138,2004,181.0,19.5
139,2005,173.0,18.5
140,2006,166.0,18.5
141,2007,171.0,19.5
142,2008,171.0,20.5
143,2009,181.0,22.0
144,2010,165.0,21.5
145,2011,172.0,20.5
146,2012,137.0,15.0
147,2013,164.0,19.0
148,2014,178.0,20.0
149,2015,192.0,24.0
150,2016,203.0,24.0
151,2017,202.0,21.0
152,2018,196.0,20.5
153,2019,198.0,22.0
154,2020,177.0,20.5
155,2021,204.0,21.0
156,2022,200.0,21.0
157,2023,201.0,20.0
158,2024,214.0,
