#  Iowa April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,58.8,-0.3
189611,57.8,-1.3
189711,59.3,0.2
189811,57.9,-1.2
189911,60.5,1.4
190011,61.0,1.9
190111,60.7,1.6
190211,58.3,-0.8
190311,57.4,-1.7
190411,57.7,-1.4
190511,58.5,-0.6
190611,59.1,0.0
190711,56.1,-3.0
190811,59.0,-0.1
190911,58.3,-0.8
191011,58.7,-0.4
191111,59.0,-0.1
191211,59.0,-0.1
191311,60.6,1.5
191411,61.1,2.0
191511,58.2,-0.9
191611,58.7,-0.4
191711,56.4,-2.7
191811,59.4,0.3
191911,59.0,-0.1
192011,58.2,-0.9
192111,61.0,1.9
192211,61.0,1.9
192311,58.9,-0.2
192411,57.5,-1.6
192511,58.5,-0.6
192611,58.0,-1.1
192711,58.4,-0.7
192811,57.9,-1.2
192911,57.6,-1.5
193011,60.5,1.4
193111,62.2,3.1
193211,58.7,-0.4
193311,60.4,1.3
193411,62.7,3.6
193511,57.8,-1.3
193611,61.3,2.2
193711,59.3,0.2
193811,60.9,1.8
193911,60.9,1.8
194011,59.2,0.1
194111,61.6,2.5
194211,59.3,0.2
194311,58.0,-1.1
194411,59.5,0.4
194511,56.9,-2.2
194611,58.9,-0.2
194711,59.3,0.2
194811,60.1,1.0
194911,60.4,1.3
195011,56.7,-2.4
195111,56.0,-3.1
195211,58.8,-0.3
195311,60.0,0.9
195411,60.1,1.0
195511,60.7,1.6
195611,60.0,0.9
195711,58.2,-0.9
195811,59.1,0.0
195911,58.2,-0.9
196011,59.2,0.1
196111,57.6,-1.5
196211,59.3,0.2
196311,61.7,2.6
196411,59.9,0.8
196511,58.9,-0.2
196611,57.6,-1.5
196711,56.9,-2.2
196811,58.7,-0.4
196911,58.4,-0.7
197011,59.5,0.4
197111,59.9,0.8
197211,57.7,-1.4
197311,59.6,0.5
197411,58.4,-0.7
197511,59.5,0.4
197611,57.7,-1.4
197711,60.8,1.7
197811,59.2,0.1
197911,58.2,-0.9
198011,60.1,1.0
198111,59.6,0.5
198211,58.0,-1.1
198311,59.5,0.4
198411,58.8,-0.3
198511,58.2,-0.9
198611,59.2,0.1
198711,60.9,1.8
198811,60.9,1.8
198911,58.6,-0.5
199011,59.6,0.5
199111,59.3,0.2
199211,56.5,-2.6
199311,56.9,-2.2
199411,59.6,0.5
199511,57.8,-1.3
199611,56.7,-2.4
199711,57.6,-1.5
199811,61.3,2.2
199911,60.3,1.2
200011,59.6,0.5
200111,61.1,2.0
200211,59.0,-0.1
200311,59.0,-0.1
200411,59.3,0.2
200511,61.2,2.1
200611,60.0,0.9
200711,60.9,1.8
200811,58.4,-0.7
200911,58.0,-1.1
201011,61.2,2.1
201111,59.9,0.8
201211,61.2,2.1
201311,58.4,-0.7
201411,57.5,-1.6
201511,60.6,1.5
201611,61.9,2.8
201711,59.9,0.8
201811,58.6,-0.5
201911,58.4,-0.7
202011,59.3,0.2
202111,61.2,2.1
202211,59.4,0.3
202311,60.9,1.8
