#  Iowa April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,22.69,-4.34
189611,33.97,6.94
189711,19.59,-7.44
189811,25.07,-1.96
189911,24.20,-2.83
190011,31.14,4.11
190111,19.28,-7.75
190211,38.61,11.58
190311,32.27,5.24
190411,22.69,-4.34
190511,30.98,3.95
190611,24.90,-2.13
190711,27.02,-0.01
190811,30.44,3.41
190911,32.76,5.73
191011,17.65,-9.38
191111,24.62,-2.41
191211,24.07,-2.96
191311,24.97,-2.06
191411,26.89,-0.14
191511,32.91,5.88
191611,22.91,-4.12
191711,24.07,-2.96
191811,28.72,1.69
191911,30.96,3.93
192011,25.98,-1.05
192111,28.14,1.11
192211,24.90,-2.13
192311,24.79,-2.24
192411,24.61,-2.42
192511,24.52,-2.51
192611,28.56,1.53
192711,24.94,-2.09
192811,31.05,4.02
192911,24.33,-2.70
193011,22.70,-4.33
193111,29.83,2.80
193211,26.18,-0.85
193311,19.22,-7.81
193411,23.75,-3.28
193511,27.90,0.87
193611,20.02,-7.01
193711,21.84,-5.19
193811,31.25,4.22
193911,19.64,-7.39
194011,25.52,-1.51
194111,31.10,4.07
194211,27.23,0.20
194311,27.48,0.45
194411,30.75,3.72
194511,27.31,0.28
194611,28.04,1.01
194711,29.91,2.88
194811,22.08,-4.95
194911,21.00,-6.03
195011,24.21,-2.82
195111,33.79,6.76
195211,23.15,-3.88
195311,19.13,-7.90
195411,30.04,3.01
195511,19.31,-7.72
195611,21.84,-5.19
195711,27.56,0.53
195811,23.33,-3.70
195911,30.91,3.88
196011,28.29,1.26
196111,29.58,2.55
196211,26.35,-0.68
196311,22.85,-4.18
196411,28.11,1.08
196511,33.09,6.06
196611,20.75,-6.28
196711,25.90,-1.13
196811,29.01,1.98
196911,29.48,2.45
197011,29.76,2.73
197111,23.22,-3.81
197211,32.83,5.80
197311,33.86,6.83
197411,27.27,0.24
197511,24.49,-2.54
197611,18.16,-8.87
197711,30.62,3.59
197811,31.04,4.01
197911,27.88,0.85
198011,24.94,-2.09
198111,28.63,1.60
198211,33.17,6.14
198311,30.22,3.19
198411,31.53,4.50
198511,25.50,-1.53
198611,35.52,8.49
198711,27.29,0.26
198811,18.66,-8.37
198911,21.97,-5.06
199011,31.55,4.52
199111,31.00,3.97
199211,29.93,2.90
199311,42.03,15.00
199411,25.91,-1.12
199511,28.14,1.11
199611,29.28,2.25
199711,24.25,-2.78
199811,32.82,5.79
199911,28.39,1.36
200011,24.96,-2.07
200111,28.88,1.85
200211,26.79,-0.24
200311,25.05,-1.98
200411,28.95,1.92
200511,24.79,-2.24
200611,25.83,-1.20
200711,34.51,7.48
200811,37.38,10.35
200911,32.17,5.14
201011,38.84,11.81
201111,25.92,-1.11
201211,19.92,-7.11
201311,29.51,2.48
201411,34.85,7.82
201511,35.61,8.58
201611,32.83,5.80
201711,26.85,-0.18
201811,38.14,11.11
201911,34.54,7.51
202011,23.39,-3.64
202111,25.16,-1.87
202211,21.92,-5.11
202311,19.44,-7.59
