#  Iowa April Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189504,-0.86,-1.13
189604,0.76,0.49
189704,3.68,3.41
189804,-3.09,-3.36
189904,-0.64,-0.91
190004,-1.86,-2.13
190104,-0.48,-0.75
190204,-4.39,-4.66
190304,3.10,2.83
190404,3.10,2.83
190504,0.36,0.09
190604,-0.34,-0.61
190704,-0.69,-0.96
190804,1.07,0.80
190904,2.84,2.57
191004,-2.34,-2.61
191104,-4.16,-4.43
191204,-0.11,-0.38
191304,0.56,0.29
191404,-2.51,-2.78
191504,0.77,0.50
191604,-0.21,-0.48
191704,0.92,0.65
191804,-3.32,-3.59
191904,2.20,1.93
192004,2.61,2.34
192104,-0.75,-1.02
192204,0.51,0.24
192304,-1.18,-1.45
192404,-0.72,-0.99
192504,-1.59,-1.86
192604,-0.96,-1.23
192704,2.40,2.13
192804,-1.22,-1.49
192904,3.41,3.14
193004,-1.26,-1.53
193104,-3.88,-4.15
193204,1.91,1.64
193304,-0.70,-0.97
193404,-5.68,-5.95
193504,-0.69,-0.96
193604,-1.05,-1.32
193704,-1.60,-1.87
193804,0.27,0.00
193904,-0.36,-0.63
194004,-3.85,-4.12
194104,-1.56,-1.83
194204,1.15,0.88
194304,1.32,1.05
194404,2.41,2.14
194504,2.39,2.12
194604,0.69,0.42
194704,2.21,1.94
194804,-1.60,-1.87
194904,-0.67,-0.94
195004,0.33,0.06
195104,3.00,2.73
195204,3.12,2.85
195304,1.37,1.10
195404,0.35,0.08
195504,-0.35,-0.62
195604,-6.33,-6.60
195704,-6.26,-6.53
195804,-0.87,-1.14
195904,0.87,0.60
196004,2.41,2.14
196104,2.03,1.76
196204,2.57,2.30
196304,-0.37,-0.64
196404,0.76,0.49
196504,1.99,1.72
196604,1.81,1.54
196704,-2.43,-2.70
196804,0.62,0.35
196904,1.94,1.67
197004,-0.49,-0.76
197104,-1.04,-1.31
197204,0.74,0.47
197304,4.72,4.45
197404,3.22,2.95
197504,2.39,2.12
197604,1.36,1.09
197704,-4.97,-5.24
197804,2.23,1.96
197904,3.26,2.99
198004,-0.94,-1.21
198104,-0.98,-1.25
198204,2.03,1.76
198304,4.68,4.41
198404,3.56,3.29
198504,-0.49,-0.76
198604,1.65,1.38
198704,-0.67,-0.94
198804,-1.09,-1.36
198904,-5.24,-5.51
199004,0.47,0.20
199104,3.22,2.95
199204,2.27,2.00
199304,4.08,3.81
199404,3.47,3.20
199504,2.53,2.26
199604,-1.43,-1.70
199704,1.57,1.30
199804,1.77,1.50
199904,2.63,2.36
200004,-2.88,-3.15
200104,1.11,0.84
200204,0.35,0.08
200304,0.10,-0.17
200404,-0.57,-0.84
200504,-0.34,-0.61
200604,-0.78,-1.05
200704,2.25,1.98
200804,4.31,4.04
200904,4.20,3.93
201004,3.79,3.52
201104,4.04,3.77
201204,-1.30,-1.57
201304,1.90,1.63
201404,0.83,0.56
201504,1.65,1.38
201604,3.96,3.69
201704,3.53,3.26
201804,0.95,0.68
201904,4.83,4.56
202004,-0.44,-0.71
202104,-1.22,-1.49
202204,0.73,0.46
202304,-0.48,-0.75
202404,0.52,0.25
