#  Iowa August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,-0.77,-1.08
189608,1.81,1.50
189708,-1.69,-2.00
189808,-2.44,-2.75
189908,-0.26,-0.57
190008,1.41,1.10
190108,-3.62,-3.93
190208,4.86,4.55
190308,5.03,4.72
190408,0.43,0.12
190508,1.20,0.89
190608,-0.60,-0.91
190708,2.45,2.14
190808,3.09,2.78
190908,2.47,2.16
191008,-3.56,-3.87
191108,-5.23,-5.54
191208,-0.93,-1.24
191308,-2.19,-2.50
191408,-2.97,-3.28
191508,3.71,3.40
191608,-1.71,-2.02
191708,-0.95,-1.26
191808,0.64,0.33
191908,0.72,0.41
192008,-0.41,-0.72
192108,0.28,-0.03
192208,-0.45,-0.76
192308,0.59,0.28
192408,2.35,2.04
192508,-0.56,-0.87
192608,-0.13,-0.44
192708,-1.84,-2.15
192808,1.96,1.65
192908,-1.22,-1.53
193008,-1.76,-2.07
193108,-4.63,-4.94
193208,2.25,1.94
193308,-2.68,-2.99
193408,-7.66,-7.97
193508,0.48,0.17
193608,-4.67,-4.98
193708,-2.03,-2.34
193808,0.89,0.58
193908,-1.12,-1.43
194008,-2.18,-2.49
194108,-2.37,-2.68
194208,2.00,1.69
194308,2.48,2.17
194408,3.49,3.18
194508,2.47,2.16
194608,1.02,0.71
194708,-2.02,-2.33
194808,-2.17,-2.48
194908,-1.54,-1.85
195008,-0.19,-0.50
195108,4.68,4.37
195208,2.78,2.47
195308,-1.14,-1.45
195408,1.35,1.04
195508,-2.70,-3.01
195608,-5.65,-5.96
195708,0.33,0.02
195808,-0.34,-0.65
195908,1.15,0.84
196008,2.65,2.34
196108,1.16,0.85
196208,2.89,2.58
196308,-0.76,-1.07
196408,0.82,0.51
196508,1.45,1.14
196608,-0.55,-0.86
196708,-0.69,-1.00
196808,0.54,0.23
196908,3.08,2.77
197008,-0.73,-1.04
197108,-1.79,-2.10
197208,1.70,1.39
197308,3.57,3.26
197408,2.92,2.61
197508,-0.75,-1.06
197608,-2.10,-2.41
197708,1.60,1.29
197808,2.22,1.91
197908,3.26,2.95
198008,1.36,1.05
198108,1.58,1.27
198208,3.50,3.19
198308,2.31,2.00
198408,2.49,2.18
198508,0.02,-0.29
198608,2.36,2.05
198708,1.79,1.48
198808,-4.27,-4.58
198908,-4.97,-5.28
199008,3.64,3.33
199108,1.20,0.89
199208,1.78,1.47
199308,9.15,8.84
199408,2.53,2.22
199508,-0.77,-1.08
199608,1.49,1.18
199708,-0.71,-1.02
199808,2.59,2.28
199908,-0.06,-0.37
200008,-0.40,-0.71
200108,-0.78,-1.09
200208,0.81,0.50
200308,-1.13,-1.44
200408,1.93,1.62
200508,-0.51,-0.82
200608,0.50,0.19
200708,3.30,2.99
200808,5.32,5.01
200908,4.70,4.39
201008,6.52,6.21
201108,-0.57,-0.88
201208,-3.95,-4.26
201308,-1.65,-1.96
201408,3.01,2.70
201508,3.78,3.47
201608,4.17,3.86
201708,1.89,1.58
201808,2.48,2.17
201908,4.13,3.82
202008,-1.46,-1.77
202108,-1.08,-1.39
202208,-1.07,-1.38
202308,-2.37,-2.68
202408,2.06,1.75
