#  Iowa July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,-1.09,-1.41
189607,1.98,1.66
189707,-1.10,-1.42
189807,-2.45,-2.77
189907,-0.12,-0.44
190007,1.23,0.91
190107,-2.42,-2.74
190207,3.72,3.40
190307,4.15,3.83
190407,0.43,0.11
190507,1.25,0.93
190607,-0.63,-0.95
190707,2.18,1.86
190807,2.82,2.50
190907,3.60,3.28
191007,-3.73,-4.05
191107,-5.34,-5.66
191207,-1.00,-1.32
191307,-1.45,-1.77
191407,-2.40,-2.72
191507,4.05,3.73
191607,-1.05,-1.37
191707,-0.50,-0.82
191807,0.92,0.60
191907,1.35,1.03
192007,-0.41,-0.73
192107,-1.78,-2.10
192207,1.04,0.72
192307,-1.95,-2.27
192407,1.67,1.35
192507,-0.38,-0.70
192607,0.03,-0.29
192707,-1.42,-1.74
192807,0.92,0.60
192907,-0.72,-1.04
193007,-1.00,-1.32
193107,-4.52,-4.84
193207,1.19,0.87
193307,-2.36,-2.68
193407,-7.49,-7.81
193507,1.24,0.92
193607,-4.08,-4.40
193707,-1.95,-2.27
193807,1.18,0.86
193907,-1.52,-1.84
194007,-3.58,-3.90
194107,-1.62,-1.94
194207,2.28,1.96
194307,2.12,1.80
194407,2.88,2.56
194507,2.95,2.63
194607,1.08,0.76
194707,-0.71,-1.03
194807,-1.74,-2.06
194907,-0.93,-1.25
195007,1.76,1.44
195107,3.85,3.53
195207,2.51,2.19
195307,-0.49,-0.81
195407,0.15,-0.17
195507,-1.66,-1.98
195607,-6.18,-6.50
195707,0.39,0.07
195807,1.60,1.28
195907,1.10,0.78
196007,2.28,1.96
196107,1.54,1.22
196207,2.84,2.52
196307,-0.85,-1.17
196407,0.68,0.36
196507,1.37,1.05
196607,-0.19,-0.51
196707,-0.43,-0.75
196807,0.62,0.30
196907,3.73,3.41
197007,-0.79,-1.11
197107,-0.91,-1.23
197207,1.45,1.13
197307,4.45,4.13
197407,2.75,2.43
197507,-1.12,-1.44
197607,-1.13,-1.45
197707,-5.68,-6.00
197807,2.48,2.16
197907,2.48,2.16
198007,-1.63,-1.95
198107,0.88,0.56
198207,3.30,2.98
198307,3.61,3.29
198407,4.00,3.68
198507,-1.75,-2.07
198607,2.25,1.93
198707,0.31,-0.01
198807,-4.18,-4.50
198907,-5.17,-5.49
199007,3.59,3.27
199107,1.68,1.36
199207,2.06,1.74
199307,7.96,7.64
199407,2.66,2.34
199507,-0.42,-0.74
199607,1.51,1.19
199707,-0.36,-0.68
199807,2.39,2.07
199907,3.10,2.78
200007,1.11,0.79
200107,-0.37,-0.69
200207,0.06,-0.26
200307,0.78,0.46
200407,1.47,1.15
200507,-0.21,-0.53
200607,-2.39,-2.71
200707,1.27,0.95
200807,6.45,6.13
200907,3.98,3.66
201007,6.69,6.37
201107,-0.23,-0.55
201207,-3.56,-3.88
201307,-0.68,-1.00
201407,2.27,1.95
201507,3.18,2.86
201607,3.50,3.18
201707,2.06,1.74
201807,1.53,1.21
201907,4.70,4.38
202007,-0.36,-0.68
202107,-1.43,-1.75
202207,-0.89,-1.21
202307,-2.00,-2.32
202407,2.43,2.11
