#  Iowa June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,-1.14,-1.49
189606,0.79,0.44
189706,-0.85,-1.20
189806,-2.35,-2.70
189906,1.04,0.69
190006,-2.15,-2.50
190106,-1.39,-1.74
190206,1.66,1.31
190306,3.81,3.46
190406,-0.43,-0.78
190506,1.40,1.05
190606,-0.67,-1.02
190706,0.71,0.36
190806,3.02,2.67
190906,3.36,3.01
191006,-3.00,-3.35
191106,-4.96,-5.31
191206,-1.04,-1.39
191306,-0.60,-0.95
191406,-1.98,-2.33
191506,2.13,1.78
191606,-0.06,-0.41
191706,2.03,1.68
191806,1.06,0.71
191906,2.02,1.67
192006,-0.67,-1.02
192106,-1.20,-1.55
192206,-1.53,-1.88
192306,-1.22,-1.57
192406,1.54,1.19
192506,0.68,0.33
192606,0.03,-0.32
192706,-0.75,-1.10
192806,0.61,0.26
192906,-0.96,-1.31
193006,0.52,0.17
193106,-4.16,-4.51
193206,1.61,1.26
193306,-2.10,-2.45
193406,-7.49,-7.84
193506,1.74,1.39
193606,-2.24,-2.59
193706,-1.59,-1.94
193806,0.93,0.58
193906,-1.25,-1.60
194006,-4.13,-4.48
194106,-1.16,-1.51
194206,1.78,1.43
194306,1.91,1.56
194406,3.01,2.66
194506,3.42,3.07
194606,1.66,1.31
194706,4.56,4.21
194806,-2.13,-2.48
194906,-0.89,-1.24
195006,1.28,0.93
195106,3.69,3.34
195206,2.69,2.34
195306,-0.40,-0.75
195406,1.11,0.76
195506,-1.33,-1.68
195606,-6.84,-7.19
195706,0.55,0.20
195806,-1.57,-1.92
195906,1.71,1.36
196006,2.79,2.44
196106,0.81,0.46
196206,1.87,1.52
196306,-1.59,-1.94
196406,0.62,0.27
196506,1.55,1.20
196606,2.11,1.76
196706,1.70,1.35
196806,0.25,-0.10
196906,2.87,2.52
197006,-0.76,-1.11
197106,-1.10,-1.45
197206,0.53,0.18
197306,4.24,3.89
197406,3.80,3.45
197506,-0.01,-0.36
197606,-0.66,-1.01
197706,-5.86,-6.21
197806,1.63,1.28
197906,2.17,1.82
198006,-1.15,-1.50
198106,0.30,-0.05
198206,2.44,2.09
198306,4.61,4.26
198406,4.14,3.79
198506,-1.46,-1.81
198606,1.87,1.52
198706,-1.81,-2.16
198806,-3.39,-3.74
198906,-5.26,-5.61
199006,2.58,2.23
199106,2.51,2.16
199206,-1.80,-2.15
199306,5.50,5.15
199406,2.66,2.31
199506,-0.37,-0.72
199606,1.67,1.32
199706,-0.13,-0.48
199806,2.83,2.48
199906,2.80,2.45
200006,0.88,0.53
200106,-0.14,-0.49
200206,-0.59,-0.94
200306,0.55,0.20
200406,1.13,0.78
200506,-0.07,-0.42
200606,-2.08,-2.43
200706,1.59,1.24
200806,6.03,5.68
200906,3.63,3.28
201006,5.43,5.08
201106,4.37,4.02
201206,-2.26,-2.61
201306,3.52,3.17
201406,2.39,2.04
201506,2.52,2.17
201606,2.85,2.50
201706,2.74,2.39
201806,1.73,1.38
201906,5.41,5.06
202006,-0.03,-0.38
202106,-1.67,-2.02
202206,-0.71,-1.06
202306,-1.80,-2.15
202406,1.90,1.55
