#  Iowa November Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,-1.49,-1.90
189611,3.10,2.69
189711,-3.92,-4.33
189811,0.59,0.18
189911,-2.14,-2.55
190011,2.45,2.04
190111,-3.61,-4.02
190211,4.90,4.49
190311,4.11,3.70
190411,-1.21,-1.62
190511,2.20,1.79
190611,0.25,-0.16
190711,1.85,1.44
190811,2.00,1.59
190911,3.36,2.95
191011,-4.58,-4.99
191111,0.58,0.17
191211,-0.49,-0.90
191311,-2.43,-2.84
191411,1.01,0.60
191511,3.78,3.37
191611,-1.77,-2.18
191711,-2.02,-2.43
191811,0.64,0.23
191911,2.37,1.96
192011,-0.59,-1.00
192111,-0.36,-0.77
192211,-1.03,-1.44
192311,-0.48,-0.89
192411,-0.89,-1.30
192511,0.78,0.37
192611,2.50,2.09
192711,-1.49,-1.90
192811,3.65,3.24
192911,-0.76,-1.17
193011,-2.44,-2.85
193111,2.24,1.83
193211,1.63,1.22
193311,-3.76,-4.17
193411,0.80,0.39
193511,0.67,0.26
193611,-3.88,-4.29
193711,-3.16,-3.57
193811,1.20,0.79
193911,-3.51,-3.92
194011,-2.25,-2.66
194111,2.80,2.39
194211,1.87,1.46
194311,1.52,1.11
194411,1.89,1.48
194511,1.12,0.71
194611,2.03,1.62
194711,-2.53,-2.94
194811,0.07,-0.34
194911,-2.43,-2.84
195011,-1.51,-1.92
195111,4.40,3.99
195211,-1.26,-1.67
195311,-3.72,-4.13
195411,-0.48,-0.89
195511,-4.17,-4.58
195611,-6.20,-6.61
195711,0.89,0.48
195811,-1.04,-1.45
195911,1.86,1.45
196011,1.74,1.33
196111,3.53,3.12
196211,-0.36,-0.77
196311,-2.52,-2.93
196411,0.20,-0.21
196511,2.92,2.51
196611,-2.21,-2.62
196711,-0.75,-1.16
196811,1.62,1.21
196911,-0.37,-0.78
197011,2.03,1.62
197111,0.55,0.14
197211,3.47,3.06
197311,4.39,3.98
197411,1.67,1.26
197511,-1.62,-2.03
197611,-3.81,-4.22
197711,2.93,2.52
197811,2.76,2.35
197911,3.00,2.59
198011,-0.50,-0.91
198111,1.88,1.47
198211,4.35,3.94
198311,3.21,2.80
198411,2.50,2.09
198511,1.47,1.06
198611,3.87,3.46
198711,1.30,0.89
198811,-4.44,-4.85
198911,-4.21,-4.62
199011,1.91,1.50
199111,1.86,1.45
199211,3.84,3.43
199311,7.19,6.78
199411,1.98,1.57
199511,-1.02,-1.43
199611,1.92,1.51
199711,-0.70,-1.11
199811,2.31,1.90
199911,-1.73,-2.14
200011,0.06,-0.35
200111,-0.80,-1.21
200211,-0.49,-0.90
200311,0.43,0.02
200411,1.38,0.97
200511,-1.66,-2.07
200611,0.42,0.01
200711,3.24,2.83
200811,4.98,4.57
200911,4.99,4.58
201011,5.30,4.89
201111,-2.04,-2.45
201211,-4.53,-4.94
201311,-2.32,-2.73
201411,3.35,2.94
201511,4.31,3.90
201611,3.87,3.46
201711,1.31,0.90
201811,5.14,4.73
201911,5.22,4.81
202011,-1.27,-1.68
202111,-0.34,-0.75
202211,-2.40,-2.81
202311,-3.45,-3.86
