Macrotrends Data Download

Iowa Population 1900-2023
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,2231000
1901-12-01,2227000,-0.18
1902-12-01,2222000,-0.22
1903-12-01,2217000,-0.23
1904-12-01,2212000,-0.23
1905-12-01,2211000,-0.05
1906-12-01,2214000,0.14
1907-12-01,2217000,0.14
1908-12-01,2220000,0.14
1909-12-01,2223000,0.14
1910-12-01,2228000,0.22
1911-12-01,2249000,0.94
1912-12-01,2279000,1.33
1913-12-01,2305000,1.14
1914-12-01,2338000,1.43
1915-12-01,2366000,1.2
1916-12-01,2376000,0.42
1917-12-01,2382000,0.25
1918-12-01,2351000,-1.3
1919-12-01,2379000,1.19
1920-12-01,2400000,0.88
1921-12-01,2407000,0.29
1922-12-01,2428000,0.87
1923-12-01,2425000,-0.12
1924-12-01,2420000,-0.21
1925-12-01,2427000,0.29
1926-12-01,2432000,0.21
1927-12-01,2441000,0.37
1928-12-01,2450000,0.37
1929-12-01,2460000,0.41
1930-12-01,2475000,0.61
1931-12-01,2482000,0.28
1932-12-01,2489000,0.28
1933-12-01,2495000,0.24
1934-12-01,2510000,0.6
1935-12-01,2524000,0.56
1936-12-01,2509000,-0.59
1937-12-01,2498000,-0.44
1938-12-01,2494000,-0.16
1939-12-01,2520000,1.04
1940-12-01,2537000,0.67
1941-12-01,2491000,-1.81
1942-12-01,2439000,-2.09
1943-12-01,2334000,-4.31
1944-12-01,2301000,-1.41
1945-12-01,2308000,0.3
1946-12-01,2467000,6.89
1947-12-01,2509000,1.7
1948-12-01,2543000,1.36
1949-12-01,2578000,1.38
1950-12-01,2625000,1.82
1951-12-01,2617000,-0.3
1952-12-01,2626000,0.34
1953-12-01,2629000,0.11
1954-12-01,2626000,-0.11
1955-12-01,2679000,2.02
1956-12-01,2703000,0.9
1957-12-01,2716000,0.48
1958-12-01,2708000,-0.29
1959-12-01,2729000,0.78
1960-12-01,2756000,0.99
1961-12-01,2756000,0
1962-12-01,2750000,-0.22
1963-12-01,2747000,-0.11
1964-12-01,2746000,-0.04
1965-12-01,2742000,-0.15
1966-12-01,2762000,0.73
1967-12-01,2793000,1.12
1968-12-01,2803000,0.36
1969-12-01,2805000,0.07
1970-12-01,2825368,0.73
1971-12-01,2851705,0.93
1972-12-01,2860287,0.3
1973-12-01,2863715,0.12
1974-12-01,2867530,0.13
1975-12-01,2880847,0.46
1976-12-01,2903082,0.77
1977-12-01,2913573,0.36
1978-12-01,2918069,0.15
1979-12-01,2915739,-0.08
1980-12-01,2914018,-0.06
1981-12-01,2907983,-0.21
1982-12-01,2888189,-0.68
1983-12-01,2870543,-0.61
1984-12-01,2858618,-0.42
1985-12-01,2829684,-1.01
1986-12-01,2791970,-1.33
1987-12-01,2767011,-0.89
1988-12-01,2768388,0.05
1989-12-01,2770592,0.08
1990-12-01,2779769,0.33
1991-12-01,2791227,0.41
1992-12-01,2806923,0.56
1993-12-01,2820525,0.48
1994-12-01,2829422,0.32
1995-12-01,2840860,0.4
1996-12-01,2848473,0.27
1997-12-01,2854396,0.21
1998-12-01,2861025,0.23
1999-12-01,2869413,0.29
2000-12-01,2929067,2.08
2001-12-01,2931997,0.1
2002-12-01,2934234,0.08
2003-12-01,2941999,0.26
2004-12-01,2953635,0.4
2005-12-01,2964454,0.37
2006-12-01,2982644,0.61
2007-12-01,2999212,0.56
2008-12-01,3016734,0.58
2009-12-01,3032870,0.53
2010-12-01,3050819,0.59
2011-12-01,3066772,0.52
2012-12-01,3076844,0.33
2013-12-01,3093935,0.56
2014-12-01,3110643,0.54
2015-12-01,3122541,0.38
2016-12-01,3133210,0.34
2017-12-01,3143734,0.34
2018-12-01,3149900,0.2
2019-12-01,3159596,0.31
2020-12-01,3190904,0.99
2021-12-01,3197944,0.22
2022-12-01,3199693,0.05
2023-12-01,3207004,0.23
