year,price-received
2023,4.75
2022,6.27
2021,5.91
2020,4.52
2019,3.26
2018,3.47
2017,3.18
2016,3.21
2015,3.37
2014,3.58
2013,4.3
2012,6.67
2011,6.09
2010,5.01
2009,3.47
2008,3.92
2007,4.13
2006,2.89
2005,1.86
2004,1.94
2003,2.35
2002,2.15
2001,1.9
2000,1.71
1999,1.6
1998,1.71
1997,2.15
1996,2.47
1995,3.14
1994,2.23
1993,2.26
1992,1.91
1991,2.22
1990,2.17
1989,2.27
1988,2.4
1987,1.98
1986,1.46
1985,2.05
1984,2.47
1983,3.06
1982,2.57
1981,2.33
1980,2.85
1979,2.29
1978,2.08
1977,1.9
1976,2.03
1975,2.5
1974,2.92
1973,2.48
1972,1.5
1971,1.01
1970,1.18
1969,1.05
1968,1.02
1967,0.98
1966,1.16
1965,1.06
1964,1.09
1963,1.03
1962,1.05
1961,1.03
1960,0.91
1959,0.96
1958,1.01
1957,0.91
1956,1.22
1955,1.37
1954,1.34
1953,1.45
1952,1.4
1951,1.4
1950,1.43
1949,1.19
1948,1.21
1947,2.08
1946,1.4
1945,1.08
1944,0.9
1943,0.99
1942,0.79
1941,0.65
1940,0.53
1939,0.5
1938,0.43
1937,0.43
1936,1.03
1935,0.54
1934,0.76
1933,0.44
1932,0.28
1931,0.33
1930,0.49
1929,0.67
1928,0.7
1927,0.75
1926,0.67
1925,0.58
1924,0.91
1923,0.67
1922,0.6
1921,0.41
1920,0.47
1919,1.3
1918,1.25
1917,1.27
1916,0.99
1915,0.64
1914,0.59
1913,0.54
1912,0.4
1911,0.53
1910,0.46
1909,0.5
