,year,grain-yield,silage-yield
0,1866,23.0,
1,1867,35.0,
2,1868,37.0,
3,1869,29.0,
4,1870,31.5,
5,1871,35.5,
6,1872,33.5,
7,1873,31.0,
8,1874,29.5,
9,1875,25.0,
10,1876,26.0,
11,1877,26.5,
12,1878,36.5,
13,1879,33.8,
14,1880,31.0,
15,1881,31.0,
16,1882,27.0,
17,1883,21.0,
18,1884,32.0,
19,1885,28.0,
20,1886,31.0,
21,1887,27.0,
22,1888,28.0,
23,1889,27.4,
24,1890,27.0,
25,1891,26.5,
26,1892,27.0,
27,1893,28.0,
28,1894,18.5,
29,1895,30.5,
30,1896,30.5,
31,1897,28.0,
32,1898,30.5,
33,1899,32.8,
34,1900,33.0,
35,1901,27.0,
36,1902,23.0,
37,1903,27.5,
38,1904,25.5,
39,1905,34.0,
40,1906,34.0,
41,1907,27.0,
42,1908,29.0,
43,1909,33.9,
44,1910,32.0,
45,1911,33.0,
46,1912,34.0,
47,1913,38.0,
48,1914,35.0,
49,1915,23.0,
50,1916,33.0,
51,1917,27.0,
52,1918,37.0,
53,1919,35.5,7.8
54,1920,33.5,7.8
55,1921,38.5,7.9
56,1922,29.5,7.3
57,1923,35.0,7.7
58,1924,26.5,7.3
59,1925,36.0,7.3
60,1926,34.0,7.3
61,1927,31.0,7.1
62,1928,35.0,7.6
63,1929,36.5,7.4
64,1930,33.0,6.5
65,1931,25.0,6.0
66,1932,37.5,7.2
67,1933,31.0,6.5
68,1934,24.6,4.0
69,1935,34.5,7.1
70,1936,22.0,4.0
71,1937,37.5,7.5
72,1938,36.5,8.0
73,1939,47.0,8.0
74,1940,41.0,8.0
75,1941,45.0,8.5
76,1942,46.0,8.5
77,1943,42.5,8.2
78,1944,43.7,7.6
79,1945,39.0,7.5
80,1946,45.5,8.3
81,1947,38.0,7.2
82,1948,54.0,8.9
83,1949,44.0,8.5
84,1950,39.5,7.3
85,1951,40.5,7.5
86,1952,52.0,8.3
87,1953,49.5,8.1
88,1954,51.5,8.6
89,1955,50.0,8.8
90,1956,58.5,9.8
91,1957,58.0,9.4
92,1958,56.0,8.6
93,1959,50.5,8.5
94,1960,54.0,8.4
95,1961,64.5,11.0
96,1962,59.5,9.5
97,1963,69.0,10.9
98,1964,58.0,8.6
99,1965,61.0,9.0
100,1966,76.0,12.3
101,1967,72.0,9.0
102,1968,82.0,11.0
103,1969,87.0,10.7
104,1970,85.0,10.6
105,1971,83.0,11.5
106,1972,93.0,11.8
107,1973,93.0,12.9
108,1974,62.0,9.7
109,1975,70.0,9.3
110,1976,59.0,6.9
111,1977,100.0,13.0
112,1978,104.0,12.5
113,1979,100.0,13.5
114,1980,97.0,12.0
115,1981,110.0,13.5
116,1982,113.0,13.5
117,1983,84.0,11.5
118,1984,107.0,12.0
119,1985,115.0,12.5
120,1986,122.0,13.5
121,1987,127.0,13.5
122,1988,74.0,6.2
123,1989,125.0,10.5
124,1990,124.0,12.0
125,1991,120.0,13.5
126,1992,114.0,12.0
127,1993,70.0,8.5
128,1994,142.0,13.0
129,1995,119.0,12.0
130,1996,125.0,13.0
131,1997,132.0,15.0
132,1998,153.0,16.0
133,1999,150.0,16.0
134,2000,145.0,16.0
135,2001,130.0,14.0
136,2002,157.0,17.0
137,2003,146.0,14.0
138,2004,159.0,16.0
139,2005,174.0,16.0
140,2006,161.0,15.0
141,2007,146.0,13.5
142,2008,162.0,16.0
143,2009,174.0,20.0
144,2010,177.0,20.0
145,2011,155.0,18.0
146,2012,165.0,18.0
147,2013,159.0,16.5
148,2014,156.0,18.0
149,2015,188.0,21.5
150,2016,193.0,21.5
151,2017,194.0,21.5
152,2018,182.0,22.0
153,2019,174.0,19.0
154,2020,191.0,23.0
155,2021,177.0,19.0
156,2022,195.0,21.5
157,2023,185.0,18.5
158,2024,183.0,
