#  Minnesota April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,52.6,-0.4
189611,50.9,-2.1
189711,52.8,-0.2
189811,51.6,-1.4
189911,53.7,0.7
190011,55.1,2.1
190111,54.0,1.0
190211,52.0,-1.0
190311,51.0,-2.0
190411,51.6,-1.4
190511,52.0,-1.0
190611,53.3,0.3
190711,49.5,-3.5
190811,53.5,0.5
190911,52.1,-0.9
191011,53.1,0.1
191111,51.5,-1.5
191211,52.7,-0.3
191311,53.5,0.5
191411,54.2,1.2
191511,52.2,-0.8
191611,51.9,-1.1
191711,50.5,-2.5
191811,52.5,-0.5
191911,51.9,-1.1
192011,52.8,-0.2
192111,54.4,1.4
192211,55.3,2.3
192311,54.0,1.0
192411,50.9,-2.1
192511,52.1,-0.9
192611,50.9,-2.1
192711,51.1,-1.9
192811,51.8,-1.2
192911,51.6,-1.4
193011,54.0,1.0
193111,56.0,3.0
193211,52.9,-0.1
193311,53.8,0.8
193411,54.9,1.9
193511,51.3,-1.7
193611,53.2,0.2
193711,53.2,0.2
193811,53.9,0.9
193911,54.4,1.4
194011,52.9,-0.1
194111,55.4,2.4
194211,52.6,-0.4
194311,52.6,-0.4
194411,53.8,0.8
194511,50.5,-2.5
194611,52.7,-0.3
194711,52.7,-0.3
194811,54.6,1.6
194911,54.9,1.9
195011,50.4,-2.6
195111,50.5,-2.5
195211,53.7,0.7
195311,54.5,1.5
195411,52.7,-0.3
195511,55.0,2.0
195611,52.9,-0.1
195711,52.8,-0.2
195811,53.2,0.2
195911,52.4,-0.6
196011,53.7,0.7
196111,52.9,-0.1
196211,53.3,0.3
196311,56.1,3.1
196411,53.8,0.8
196511,51.7,-1.3
196611,51.8,-1.2
196711,51.5,-1.5
196811,53.1,0.1
196911,52.9,-0.1
197011,53.5,0.5
197111,53.4,0.4
197211,52.1,-0.9
197311,53.9,0.9
197411,52.7,-0.3
197511,53.5,0.5
197611,53.4,0.4
197711,54.8,1.8
197811,53.7,0.7
197911,51.4,-1.6
198011,54.4,1.4
198111,54.1,1.1
198211,52.3,-0.7
198311,54.1,1.1
198411,53.7,0.7
198511,51.6,-1.4
198611,53.0,0.0
198711,55.8,2.8
198811,55.5,2.5
198911,53.1,0.1
199011,53.9,0.9
199111,53.6,0.6
199211,51.0,-2.0
199311,50.8,-2.2
199411,54.6,1.6
199511,52.2,-0.8
199611,51.3,-1.7
199711,52.4,-0.6
199811,56.2,3.2
199911,55.2,2.2
200011,53.7,0.7
200111,55.9,2.9
200211,52.7,-0.3
200311,54.0,1.0
200411,53.3,0.3
200511,55.8,2.8
200611,55.3,2.3
200711,55.4,2.4
200811,53.1,0.1
200911,53.3,0.3
201011,55.7,2.7
201111,55.0,2.0
201211,55.4,2.4
201311,52.7,-0.3
201411,52.2,-0.8
201511,55.9,2.9
201611,56.4,3.4
201711,53.9,0.9
201811,52.6,-0.4
201911,52.6,-0.4
202011,53.7,0.7
202111,56.6,3.6
202211,53.9,0.9
202311,55.7,2.7
