#  Minnesota April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,20.99,-1.43
189611,27.17,4.75
189711,21.64,-0.78
189811,21.23,-1.19
189911,25.94,3.52
190011,24.84,2.42
190111,21.08,-1.34
190211,23.46,1.04
190311,27.32,4.90
190411,21.22,-1.20
190511,29.94,7.52
190611,26.11,3.69
190711,19.38,-3.04
190811,24.16,1.74
190911,24.07,1.65
191011,12.91,-9.51
191111,23.94,1.52
191211,20.32,-2.10
191311,23.68,1.26
191411,24.62,2.20
191511,24.62,2.20
191611,22.98,0.56
191711,16.02,-6.40
191811,20.86,-1.56
191911,24.19,1.77
192011,21.46,-0.96
192111,19.85,-2.57
192211,18.59,-3.83
192311,17.16,-5.26
192411,21.67,-0.75
192511,21.21,-1.21
192611,21.49,-0.93
192711,20.13,-2.29
192811,23.33,0.91
192911,16.90,-5.52
193011,19.76,-2.66
193111,20.45,-1.97
193211,18.81,-3.61
193311,16.89,-5.53
193411,17.93,-4.49
193511,21.99,-0.43
193611,13.56,-8.86
193711,22.40,-0.02
193811,23.69,1.27
193911,18.15,-4.27
194011,21.54,-0.88
194111,26.15,3.73
194211,24.42,2.00
194311,23.62,1.20
194411,27.25,4.83
194511,22.11,-0.31
194611,23.86,1.44
194711,23.15,0.73
194811,18.89,-3.53
194911,21.80,-0.62
195011,21.16,-1.26
195111,24.73,2.31
195211,18.99,-3.43
195311,25.59,3.17
195411,21.44,-0.98
195511,21.30,-1.12
195611,20.82,-1.60
195711,26.82,4.40
195811,19.02,-3.40
195911,23.70,1.28
196011,21.88,-0.54
196111,20.23,-2.19
196211,24.72,2.30
196311,21.28,-1.14
196411,23.94,1.52
196511,28.09,5.67
196611,19.90,-2.52
196711,17.24,-5.18
196811,29.24,6.82
196911,20.29,-2.13
197011,24.42,2.00
197111,25.03,2.61
197211,23.59,1.17
197311,24.79,2.37
197411,20.86,-1.56
197511,22.76,0.34
197611,11.80,-10.62
197711,28.25,5.83
197811,23.80,1.38
197911,23.20,0.78
198011,19.12,-3.30
198111,24.79,2.37
198211,25.31,2.89
198311,25.04,2.62
198411,24.30,1.88
198511,27.16,4.74
198611,28.87,6.45
198711,19.22,-3.20
198811,18.96,-3.46
198911,19.15,-3.27
199011,22.26,-0.16
199111,28.70,6.28
199211,21.82,-0.60
199311,28.47,6.05
199411,25.69,3.27
199511,25.24,2.82
199611,23.16,0.74
199711,21.72,-0.70
199811,24.59,2.17
199911,26.53,4.11
200011,24.23,1.81
200111,26.04,3.62
200211,26.12,3.70
200311,19.95,-2.47
200411,25.86,3.44
200511,27.58,5.16
200611,18.76,-3.66
200711,24.29,1.87
200811,24.48,2.06
200911,20.52,-1.90
201011,29.25,6.83
201111,20.96,-1.46
201211,21.76,-0.66
201311,23.77,1.35
201411,25.86,3.44
201511,25.99,3.57
201611,28.72,6.30
201711,24.83,2.41
201811,25.99,3.57
201911,29.80,7.38
202011,21.31,-1.11
202111,19.32,-3.10
202211,22.39,-0.03
202311,18.25,-4.17
