#  Minnesota August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,-0.51,-0.78
189608,1.18,0.91
189708,-0.25,-0.52
189808,-0.05,-0.32
189908,3.28,3.01
190008,1.47,1.20
190108,-1.31,-1.58
190208,1.75,1.48
190308,3.45,3.18
190408,2.52,2.25
190508,4.65,4.38
190608,3.64,3.37
190708,2.87,2.60
190808,2.82,2.55
190908,1.59,1.32
191008,-4.98,-5.25
191108,0.37,0.10
191208,0.83,0.56
191308,0.95,0.68
191408,0.33,0.06
191508,2.09,1.82
191608,3.05,2.78
191708,-1.68,-1.95
191808,-2.51,-2.78
191908,1.82,1.55
192008,-0.75,-1.02
192108,-2.72,-2.99
192208,-3.78,-4.05
192308,-3.14,-3.41
192408,1.11,0.84
192508,-0.74,-1.01
192608,-0.04,-0.31
192708,-0.71,-0.98
192808,2.03,1.76
192908,-2.86,-3.13
193008,-3.46,-3.73
193108,-4.19,-4.46
193208,-2.52,-2.79
193308,-4.62,-4.89
193408,-7.79,-8.06
193508,1.54,1.27
193608,-4.24,-4.51
193708,-2.49,-2.76
193808,-1.22,-1.49
193908,-1.87,-2.14
194008,-3.05,-3.32
194108,0.40,0.13
194208,2.83,2.56
194308,3.25,2.98
194408,4.30,4.03
194508,3.22,2.95
194608,0.84,0.57
194708,-1.00,-1.27
194808,-1.08,-1.35
194908,-0.86,-1.13
195008,-0.82,-1.09
195108,2.56,2.29
195208,1.71,1.44
195308,3.00,2.73
195408,-0.63,-0.90
195508,-1.71,-1.98
195608,-0.58,-0.85
195708,2.26,1.99
195808,-1.34,-1.61
195908,1.00,0.73
196008,-0.10,-0.37
196108,-2.84,-3.11
196208,2.90,2.63
196308,-0.23,-0.50
196408,0.82,0.55
196508,2.61,2.34
196608,-0.07,-0.34
196708,-1.16,-1.43
196808,2.04,1.77
196908,-0.93,-1.20
197008,-1.99,-2.26
197108,0.95,0.68
197208,2.86,2.59
197308,1.41,1.14
197408,-0.09,-0.36
197508,-0.68,-0.95
197608,-4.24,-4.51
197708,0.67,0.40
197808,2.92,2.65
197908,3.54,3.27
198008,-2.22,-2.49
198108,1.65,1.38
198208,1.56,1.29
198308,2.34,2.07
198408,1.27,1.00
198508,3.17,2.90
198608,4.11,3.84
198708,-2.10,-2.37
198808,-5.89,-6.16
198908,-2.87,-3.14
199008,-0.29,-0.56
199108,1.35,1.08
199208,2.49,2.22
199308,5.75,5.48
199408,3.01,2.74
199508,2.41,2.14
199608,1.38,1.11
199708,2.46,2.19
199808,-0.33,-0.60
199908,3.53,3.26
200008,1.85,1.58
200108,-0.58,-0.85
200208,2.75,2.48
200308,-1.35,-1.62
200408,1.47,1.20
200508,1.84,1.57
200608,-2.54,-2.81
200708,0.14,-0.13
200808,0.74,0.47
200908,-0.85,-1.12
201008,1.89,1.62
201108,-0.40,-0.67
201208,-2.71,-2.98
201308,-1.18,-1.45
201408,-0.12,-0.39
201508,1.54,1.27
201608,3.52,3.25
201708,3.01,2.74
201808,2.02,1.75
201908,3.91,3.64
202008,1.11,0.84
202108,-3.64,-3.91
202208,-0.94,-1.21
202308,-3.73,-4.00
202408,2.63,2.36
