#  Minnesota July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,0.88,0.65
189607,2.04,1.81
189707,4.29,4.06
189807,0.44,0.21
189907,2.23,2.00
190007,0.18,-0.05
190107,-0.51,-0.74
190207,1.25,1.02
190307,2.73,2.50
190407,3.07,2.84
190507,4.86,4.63
190607,3.35,3.12
190707,2.63,2.40
190807,3.68,3.45
190907,1.11,0.88
191007,-4.46,-4.69
191107,-6.57,-6.80
191207,0.41,0.18
191307,1.31,1.08
191407,-0.44,-0.67
191507,2.94,2.71
191607,3.07,2.84
191707,-1.14,-1.37
191807,-2.91,-3.14
191907,1.84,1.61
192007,2.60,2.37
192107,-2.17,-2.40
192207,-2.90,-3.13
192307,-2.87,-3.10
192407,0.22,-0.01
192507,-0.05,-0.28
192607,-1.92,-2.15
192707,-0.21,-0.44
192807,0.69,0.46
192907,-2.00,-2.23
193007,-1.99,-2.22
193107,-4.06,-4.29
193207,-2.56,-2.79
193307,-3.76,-3.99
193407,-7.52,-7.75
193507,0.98,0.75
193607,-3.69,-3.92
193707,-2.84,-3.07
193807,-0.50,-0.73
193907,-2.20,-2.43
194007,-3.76,-3.99
194107,0.18,-0.05
194207,2.11,1.88
194307,3.18,2.95
194407,3.37,3.14
194507,3.30,3.07
194607,1.69,1.46
194707,-0.76,-0.99
194807,-0.89,-1.12
194907,1.32,1.09
195007,-0.17,-0.40
195107,1.43,1.20
195207,1.27,1.04
195307,2.61,2.38
195407,-0.37,-0.60
195507,-1.48,-1.71
195607,-1.38,-1.61
195707,2.12,1.89
195807,-1.12,-1.35
195907,0.24,0.01
196007,-0.44,-0.67
196107,-1.94,-2.17
196207,2.93,2.70
196307,0.76,0.53
196407,-0.63,-0.86
196507,3.00,2.77
196607,-1.06,-1.29
196707,-0.62,-0.85
196807,2.46,2.23
196907,0.74,0.51
197007,-0.78,-1.01
197107,1.77,1.54
197207,3.00,2.77
197307,1.51,1.28
197407,-0.87,-1.10
197507,-0.61,-0.84
197607,-2.94,-3.17
197707,-5.98,-6.21
197807,2.64,2.41
197907,3.30,3.07
198007,-3.59,-3.82
198107,1.16,0.93
198207,2.00,1.77
198307,2.66,2.43
198407,2.32,2.09
198507,2.45,2.22
198607,4.12,3.89
198707,-1.93,-2.16
198807,-7.06,-7.29
198907,-3.31,-3.54
199007,1.24,1.01
199107,2.11,1.88
199207,1.93,1.70
199307,5.25,5.02
199407,3.03,2.80
199507,2.14,1.91
199607,2.11,1.88
199707,2.79,2.56
199807,-0.03,-0.26
199907,3.30,3.07
200007,1.99,1.76
200107,-0.13,-0.36
200207,1.70,1.47
200307,-0.01,-0.24
200407,1.58,1.35
200507,2.11,1.88
200607,-2.49,-2.72
200707,-2.84,-3.07
200807,1.67,1.44
200907,-1.26,-1.49
201007,1.43,1.20
201107,4.23,4.00
201207,-2.00,-2.23
201307,-0.20,-0.43
201407,-0.29,-0.52
201507,1.34,1.11
201607,2.65,2.42
201707,2.15,1.92
201807,2.43,2.20
201907,4.29,4.06
202007,0.62,0.39
202107,-3.79,-4.02
202207,-1.02,-1.25
202307,-2.95,-3.18
202407,2.61,2.38
