#  Minnesota June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,0.82,0.57
189606,2.91,2.66
189706,2.36,2.11
189806,0.40,0.15
189906,2.40,2.15
190006,-3.79,-4.04
190106,-0.44,-0.69
190206,0.78,0.53
190306,2.06,1.81
190406,2.85,2.60
190506,4.43,4.18
190606,3.93,3.68
190706,2.76,2.51
190806,4.20,3.95
190906,0.69,0.44
191006,-3.58,-3.83
191106,-7.11,-7.36
191206,-1.08,-1.33
191306,-0.56,-0.81
191406,2.63,2.38
191506,2.64,2.39
191606,4.04,3.79
191706,-0.95,-1.20
191806,-3.10,-3.35
191906,1.19,0.94
192006,2.82,2.57
192106,-2.20,-2.45
192206,-2.60,-2.85
192306,-2.78,-3.03
192406,0.27,0.02
192506,1.44,1.19
192606,-1.71,-1.96
192706,-0.12,-0.37
192806,0.25,0.00
192906,-1.38,-1.63
193006,-1.55,-1.80
193106,-3.56,-3.81
193206,-2.30,-2.55
193306,-3.09,-3.34
193406,-7.08,-7.33
193506,0.91,0.66
193606,-1.65,-1.90
193706,-3.16,-3.41
193806,-0.41,-0.66
193906,-1.64,-1.89
194006,-3.83,-4.08
194106,0.91,0.66
194206,2.18,1.93
194306,3.39,3.14
194406,2.99,2.74
194506,3.18,2.93
194606,2.45,2.20
194706,3.07,2.82
194806,-1.09,-1.34
194906,-2.05,-2.30
195006,-0.46,-0.71
195106,1.48,1.23
195206,0.22,-0.03
195306,2.32,2.07
195406,-0.17,-0.42
195506,-2.61,-2.86
195606,-1.94,-2.19
195706,1.88,1.63
195806,-1.63,-1.88
195906,0.64,0.39
196006,-0.02,-0.27
196106,-2.28,-2.53
196206,1.60,1.35
196306,0.12,-0.13
196406,-0.15,-0.40
196506,3.01,2.76
196606,-0.96,-1.21
196706,1.50,1.25
196806,1.81,1.56
196906,0.13,-0.12
197006,-0.46,-0.71
197106,1.71,1.46
197206,1.54,1.29
197306,1.27,1.02
197406,-0.36,-0.61
197506,2.17,1.92
197606,-2.15,-2.40
197706,-6.52,-6.77
197806,1.57,1.32
197906,3.45,3.20
198006,-2.80,-3.05
198106,0.92,0.67
198206,1.61,1.36
198306,2.99,2.74
198406,3.12,2.87
198506,2.70,2.45
198606,3.50,3.25
198706,-2.99,-3.24
198806,-6.22,-6.47
198906,-2.90,-3.15
199006,1.09,0.84
199106,1.50,1.25
199206,1.35,1.10
199306,3.76,3.51
199406,2.64,2.39
199506,1.21,0.96
199606,2.13,1.88
199706,1.95,1.70
199806,1.81,1.56
199906,2.33,2.08
200006,1.84,1.59
200106,-0.11,-0.36
200206,1.01,0.76
200306,0.72,0.47
200406,1.13,0.88
200506,2.84,2.59
200606,-1.36,-1.61
200706,-2.17,-2.42
200806,1.97,1.72
200906,-1.18,-1.43
201006,0.61,0.36
201106,4.04,3.79
201206,-1.92,-2.17
201306,2.61,2.36
201406,3.83,3.58
201506,1.04,0.79
201606,1.33,1.08
201706,2.83,2.58
201806,2.13,1.88
201906,4.06,3.81
202006,-0.99,-1.24
202106,-2.49,-2.74
202206,-0.77,-1.02
202306,-2.07,-2.32
202406,2.94,2.69
