#  Minnesota May Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189505,0.12,-0.16
189605,3.49,3.21
189705,1.78,1.50
189805,0.14,-0.14
189905,1.70,1.42
190005,-2.39,-2.67
190105,-1.49,-1.77
190205,1.01,0.73
190305,3.31,3.03
190405,2.93,2.65
190505,3.01,2.73
190605,3.80,3.52
190705,2.95,2.67
190805,3.50,3.22
190905,1.20,0.92
191005,-2.16,-2.44
191105,-7.16,-7.44
191205,-0.10,-0.38
191305,0.54,0.26
191405,0.92,0.64
191505,0.86,0.58
191605,3.62,3.34
191705,-0.65,-0.93
191805,-2.29,-2.57
191905,0.81,0.53
192005,2.09,1.81
192105,-1.33,-1.61
192205,-2.16,-2.44
192305,-3.07,-3.35
192405,-5.24,-5.52
192505,-1.34,-1.62
192605,-1.66,-1.94
192705,2.98,2.70
192805,-1.21,-1.49
192905,-0.49,-0.77
193005,-1.58,-1.86
193105,-3.70,-3.98
193205,-1.65,-1.93
193305,-1.76,-2.04
193405,-7.23,-7.51
193505,0.33,0.05
193605,-0.60,-0.88
193705,-2.97,-3.25
193805,2.50,2.22
193905,-2.26,-2.54
194005,-3.90,-4.18
194105,0.53,0.25
194205,2.54,2.26
194305,2.81,2.53
194405,1.83,1.55
194505,2.95,2.67
194605,1.67,1.39
194705,2.37,2.09
194805,-1.05,-1.33
194905,-2.15,-2.43
195005,3.18,2.90
195105,1.04,0.76
195205,-1.79,-2.07
195305,1.40,1.12
195405,2.28,2.00
195505,-2.40,-2.68
195605,-1.59,-1.87
195705,0.31,0.03
195805,-1.83,-2.11
195905,1.18,0.90
196005,1.45,1.17
196105,-1.00,-1.28
196205,2.08,1.80
196305,0.43,0.15
196405,-0.24,-0.52
196505,3.21,2.93
196605,-0.50,-0.78
196705,0.47,0.19
196805,0.65,0.37
196905,-0.71,-0.99
197005,1.50,1.22
197105,1.59,1.31
197205,2.52,2.24
197305,2.17,1.89
197405,2.74,2.46
197505,1.30,1.02
197605,-2.14,-2.42
197705,-6.87,-7.15
197805,1.94,1.66
197905,3.46,3.18
198005,-2.46,-2.74
198105,-2.14,-2.42
198205,2.35,2.07
198305,2.72,2.44
198405,1.98,1.70
198505,2.64,2.36
198605,3.66,3.38
198705,-1.56,-1.84
198805,-4.86,-5.14
198905,-2.99,-3.27
199005,0.11,-0.17
199105,1.46,1.18
199205,1.51,1.23
199305,2.79,2.51
199405,2.65,2.37
199505,2.68,2.40
199605,2.61,2.33
199705,2.28,2.00
199805,1.08,0.80
199905,2.42,2.14
200005,1.25,0.97
200105,3.85,3.57
200205,0.04,-0.24
200305,0.31,0.03
200405,1.73,1.45
200505,2.42,2.14
200605,-0.54,-0.82
200705,-1.90,-2.18
200805,1.56,1.28
200905,-0.97,-1.25
201005,-1.31,-1.59
201105,4.32,4.04
201205,-2.18,-2.46
201305,2.15,1.87
201405,1.88,1.60
201505,1.31,1.03
201605,1.57,1.29
201705,3.35,3.07
201805,1.66,1.38
201905,4.79,4.51
202005,-0.81,-1.09
202105,-0.91,-1.19
202205,2.42,2.14
202305,-0.86,-1.14
202405,1.59,1.31
