#  Minnesota November Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,-0.50,-0.93
189611,2.18,1.75
189711,-1.51,-1.94
189811,0.99,0.56
189911,2.70,2.27
190011,3.20,2.77
190111,-0.89,-1.32
190211,1.81,1.38
190311,4.64,4.21
190411,2.70,2.27
190511,5.64,5.21
190611,3.97,3.54
190711,2.14,1.71
190811,1.16,0.73
190911,2.48,2.05
191011,-6.03,-6.46
191111,1.39,0.96
191211,-1.06,-1.49
191311,1.59,1.16
191411,-0.64,-1.07
191511,2.14,1.71
191611,1.69,1.26
191711,-2.18,-2.61
191811,0.53,0.10
191911,2.20,1.77
192011,-1.33,-1.76
192111,-2.85,-3.28
192211,-3.58,-4.01
192311,-4.40,-4.83
192411,1.15,0.72
192511,-0.31,-0.74
192611,2.41,1.98
192711,-1.23,-1.66
192811,2.41,1.98
192911,-2.10,-2.53
193011,-2.29,-2.72
193111,-3.04,-3.47
193211,-2.75,-3.18
193311,-4.67,-5.10
193411,-5.77,-6.20
193511,0.58,0.15
193611,-5.43,-5.86
193711,-3.10,-3.53
193811,-2.01,-2.44
193911,-3.35,-3.78
194011,0.63,0.20
194111,1.90,1.47
194211,2.69,2.26
194311,2.02,1.59
194411,3.02,2.59
194511,2.62,2.19
194611,2.97,2.54
194711,-0.98,-1.41
194811,-2.65,-3.08
194911,0.29,-0.14
195011,-1.25,-1.68
195111,3.50,3.07
195211,-2.02,-2.45
195311,1.01,0.58
195411,-0.85,-1.28
195511,-2.31,-2.74
195611,-1.32,-1.75
195711,2.73,2.30
195811,-1.61,-2.04
195911,1.11,0.68
196011,-1.07,-1.50
196111,0.21,-0.22
196211,-0.76,-1.19
196311,-2.12,-2.55
196411,0.79,0.36
196511,4.71,4.28
196611,-0.99,-1.42
196711,-3.07,-3.50
196811,3.66,3.23
196911,0.18,-0.25
197011,2.06,1.63
197111,3.51,3.08
197211,3.03,2.60
197311,2.85,2.42
197411,-1.22,-1.65
197511,0.50,0.07
197611,-6.37,-6.80
197711,3.58,3.15
197811,1.88,1.45
197911,3.16,2.73
198011,-1.82,-2.25
198111,2.03,1.60
198211,3.61,3.18
198311,3.51,3.08
198411,2.15,1.72
198511,4.46,4.03
198611,4.88,4.45
198711,-3.01,-3.44
198811,-4.57,-5.00
198911,-3.44,-3.87
199011,-1.01,-1.44
199111,3.39,2.96
199211,2.46,2.03
199311,4.98,4.55
199411,3.19,2.76
199511,3.34,2.91
199611,3.03,2.60
199711,1.83,1.40
199811,1.42,0.99
199911,2.52,2.09
200011,2.14,1.71
200111,-0.79,-1.22
200211,-0.19,-0.62
200311,-2.33,-2.76
200411,2.81,2.38
200511,3.57,3.14
200611,-2.95,-3.38
200711,1.32,0.89
200811,1.79,1.36
200911,1.45,1.02
201011,4.13,3.70
201111,-2.76,-3.19
201211,-3.86,-4.29
201311,0.14,-0.29
201411,-1.18,-1.61
201511,1.63,1.20
201611,4.18,3.75
201711,3.26,2.83
201811,3.66,3.23
201911,6.26,5.83
202011,-0.38,-0.81
202111,-3.45,-3.88
202211,-2.44,-2.87
202311,-3.81,-4.24
