#  Minnesota November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,1.27,-0.04
189611,2.82,1.51
189711,0.55,-0.76
189811,0.95,-0.36
189911,0.62,-0.69
190011,0.68,-0.63
190111,0.79,-0.52
190211,1.55,0.24
190311,0.49,-0.82
190411,0.16,-1.15
190511,2.57,1.26
190611,2.10,0.79
190711,0.54,-0.77
190811,1.24,-0.07
190911,2.46,1.15
191011,0.58,-0.73
191111,1.18,-0.13
191211,0.33,-0.98
191311,0.69,-0.62
191411,0.47,-0.84
191511,1.82,0.51
191611,0.31,-1.00
191711,0.17,-1.14
191811,2.12,0.81
191911,2.28,0.97
192011,1.18,-0.13
192111,0.82,-0.49
192211,3.23,1.92
192311,0.47,-0.84
192411,0.46,-0.85
192511,0.77,-0.54
192611,1.60,0.29
192711,1.20,-0.11
192811,0.56,-0.75
192911,0.65,-0.66
193011,2.32,1.01
193111,2.97,1.66
193211,1.93,0.62
193311,0.95,-0.36
193411,1.41,0.10
193511,1.07,-0.24
193611,1.01,-0.30
193711,0.76,-0.55
193811,1.88,0.57
193911,0.08,-1.23
194011,2.50,1.19
194111,0.49,-0.82
194211,0.55,-0.76
194311,1.20,-0.11
194411,1.83,0.52
194511,1.15,-0.16
194611,1.35,0.04
194711,2.21,0.90
194811,1.66,0.35
194911,0.89,-0.42
195011,1.09,-0.22
195111,1.14,-0.17
195211,1.06,-0.25
195311,1.50,0.19
195411,0.62,-0.69
195511,1.13,-0.18
195611,1.68,0.37
195711,1.47,0.16
195811,2.02,0.71
195911,0.74,-0.57
196011,1.15,-0.16
196111,0.93,-0.38
196211,0.41,-0.90
196311,0.87,-0.44
196411,1.00,-0.31
196511,1.86,0.55
196611,0.57,-0.74
196711,0.30,-1.01
196811,0.52,-0.79
196911,0.77,-0.54
197011,2.41,1.10
197111,2.00,0.69
197211,0.97,-0.34
197311,1.69,0.38
197411,1.44,0.13
197511,2.42,1.11
197611,0.14,-1.17
197711,2.85,1.54
197811,1.22,-0.09
197911,1.14,-0.17
198011,0.54,-0.77
198111,0.74,-0.57
198211,1.97,0.66
198311,2.79,1.48
198411,0.60,-0.71
198511,1.75,0.44
198611,1.43,0.12
198711,1.19,-0.12
198811,2.10,0.79
198911,0.94,-0.37
199011,0.41,-0.90
199111,2.66,1.35
199211,1.69,0.38
199311,1.66,0.35
199411,1.46,0.15
199511,1.07,-0.24
199611,3.15,1.84
199711,0.99,-0.32
199811,1.66,0.35
199911,0.32,-0.99
200011,3.39,2.08
200111,2.07,0.76
200211,0.26,-1.05
200311,0.96,-0.35
200411,0.63,-0.68
200511,2.57,1.26
200611,0.86,-0.45
200711,0.28,-1.03
200811,1.55,0.24
200911,0.75,-0.56
201011,1.38,0.07
201111,0.34,-0.97
201211,0.87,-0.44
201311,0.62,-0.69
201411,0.81,-0.50
201511,2.68,1.37
201611,1.72,0.41
201711,0.51,-0.80
201811,1.05,-0.26
201911,1.17,-0.14
202011,1.13,-0.18
202111,1.21,-0.10
202211,1.81,0.50
202311,0.44,-0.87
