#  Minnesota October Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189510,-0.50,-0.91
189610,1.29,0.88
189710,-1.08,-1.49
189810,1.00,0.59
189910,3.22,2.81
190010,3.46,3.05
190110,-0.62,-1.03
190210,1.53,1.12
190310,5.21,4.80
190410,3.41,3.00
190510,4.77,4.36
190610,3.49,3.08
190710,2.66,2.25
190810,1.53,1.12
190910,1.63,1.22
191010,-5.44,-5.85
191110,1.36,0.95
191210,-0.45,-0.86
191310,1.85,1.44
191410,-0.12,-0.53
191510,1.86,1.45
191610,2.57,2.16
191710,-1.41,-1.82
191810,0.11,-0.30
191910,1.47,1.06
192010,-1.16,-1.57
192110,-2.47,-2.88
192210,-4.69,-5.10
192310,-3.70,-4.11
192410,1.50,1.09
192510,-0.10,-0.51
192610,1.90,1.49
192710,-1.09,-1.50
192810,2.67,2.26
192910,-1.76,-2.17
193010,-2.95,-3.36
193110,-4.13,-4.54
193210,-3.17,-3.58
193310,-4.40,-4.81
193410,-6.11,-6.52
193510,0.74,0.33
193610,-5.00,-5.41
193710,-2.80,-3.21
193810,-2.20,-2.61
193910,-2.46,-2.87
194010,0.03,-0.38
194110,2.15,1.74
194210,3.07,2.66
194310,2.26,1.85
194410,2.80,2.39
194510,2.79,2.38
194610,2.71,2.30
194710,-1.44,-1.85
194810,-2.71,-3.12
194910,0.54,0.13
195010,-1.05,-1.46
195110,3.45,3.04
195210,-1.81,-2.22
195310,1.18,0.77
195410,-0.34,-0.75
195510,-2.15,-2.56
195610,-1.58,-1.99
195710,2.50,2.09
195810,-2.04,-2.45
195910,1.39,0.98
196010,-0.85,-1.26
196110,0.57,0.16
196210,-0.39,-0.80
196310,-1.60,-2.01
196410,0.97,0.56
196510,4.26,3.85
196610,-0.51,-0.92
196710,-2.28,-2.69
196810,4.09,3.68
196910,0.51,0.10
197010,1.28,0.87
197110,2.82,2.41
197210,3.10,2.69
197310,2.44,2.03
197410,-1.16,-1.57
197510,-1.31,-1.72
197610,-5.45,-5.86
197710,2.26,1.85
197810,2.02,1.61
197910,3.21,2.80
198010,-1.47,-1.88
198110,2.29,1.88
198210,2.96,2.55
198310,2.55,2.14
198410,2.47,2.06
198510,4.07,3.66
198610,4.83,4.42
198710,-2.71,-3.12
198810,-5.19,-5.60
198910,-3.17,-3.58
199010,-0.51,-0.92
199110,2.31,1.90
199210,2.16,1.75
199310,4.75,4.34
199410,3.14,2.73
199510,3.33,2.92
199610,1.78,1.37
199710,2.07,1.66
199810,1.07,0.66
199910,3.36,2.95
200010,0.86,0.45
200110,-0.80,-1.21
200210,3.15,2.74
200310,-1.91,-2.32
200410,3.17,2.76
200510,2.67,2.26
200610,-2.50,-2.91
200710,1.81,1.40
200810,1.54,1.13
200910,1.85,1.44
201010,3.98,3.57
201110,-1.95,-2.36
201210,-3.57,-3.98
201310,0.63,0.22
201410,-0.80,-1.21
201510,1.00,0.59
201610,4.26,3.85
201710,3.67,3.26
201810,3.69,3.28
201910,6.51,6.10
202010,-0.30,-0.71
202110,-3.32,-3.73
202210,-2.59,-3.00
202310,-3.21,-3.62
