Macrotrends Data Download

Minnesota Population 1900-2023
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,1754000
1901-12-01,1805000,2.91
1902-12-01,1862000,3.16
1903-12-01,1901000,2.09
1904-12-01,1945000,2.31
1905-12-01,1981000,1.85
1906-12-01,1987000,0.3
1907-12-01,1995000,0.4
1908-12-01,2020000,1.25
1909-12-01,2051000,1.53
1910-12-01,2086000,1.71
1911-12-01,2119000,1.58
1912-12-01,2147000,1.32
1913-12-01,2190000,2
1914-12-01,2234000,2.01
1915-12-01,2273000,1.75
1916-12-01,2308000,1.54
1917-12-01,2329000,0.91
1918-12-01,2291000,-1.63
1919-12-01,2346000,2.4
1920-12-01,2403000,2.43
1921-12-01,2434000,1.29
1922-12-01,2451000,0.7
1923-12-01,2487000,1.47
1924-12-01,2521000,1.37
1925-12-01,2540000,0.75
1926-12-01,2560000,0.79
1927-12-01,2588000,1.09
1928-12-01,2592000,0.15
1929-12-01,2572000,-0.77
1930-12-01,2576000,0.16
1931-12-01,2614000,1.48
1932-12-01,2646000,1.22
1933-12-01,2673000,1.02
1934-12-01,2695000,0.82
1935-12-01,2717000,0.82
1936-12-01,2734000,0.63
1937-12-01,2746000,0.44
1938-12-01,2753000,0.25
1939-12-01,2771000,0.65
1940-12-01,2790000,0.69
1941-12-01,2718000,-2.58
1942-12-01,2662000,-2.06
1943-12-01,2577000,-3.19
1944-12-01,2526000,-1.98
1945-12-01,2537000,0.44
1946-12-01,2734000,7.77
1947-12-01,2796000,2.27
1948-12-01,2868000,2.58
1949-12-01,2935000,2.34
1950-12-01,2997000,2.11
1951-12-01,3010000,0.43
1952-12-01,3030000,0.66
1953-12-01,3050000,0.66
1954-12-01,3113000,2.07
1955-12-01,3172000,1.9
1956-12-01,3240000,2.14
1957-12-01,3274000,1.05
1958-12-01,3313000,1.19
1959-12-01,3366000,1.6
1960-12-01,3425000,1.75
1961-12-01,3470000,1.31
1962-12-01,3513000,1.24
1963-12-01,3531000,0.51
1964-12-01,3558000,0.76
1965-12-01,3592000,0.96
1966-12-01,3617000,0.7
1967-12-01,3659000,1.16
1968-12-01,3703000,1.2
1969-12-01,3758000,1.49
1970-12-01,3806103,1.28
1971-12-01,3853486,1.24
1972-12-01,3869747,0.42
1973-12-01,3889332,0.51
1974-12-01,3903925,0.38
1975-12-01,3932515,0.73
1976-12-01,3964680,0.82
1977-12-01,3989364,0.62
1978-12-01,4015341,0.65
1979-12-01,4050316,0.87
1980-12-01,4085017,0.86
1981-12-01,4111728,0.65
1982-12-01,4131450,0.48
1983-12-01,4141456,0.24
1984-12-01,4157706,0.39
1985-12-01,4184302,0.64
1986-12-01,4205212,0.5
1987-12-01,4235136,0.71
1988-12-01,4296166,1.44
1989-12-01,4338057,0.98
1990-12-01,4387283,1.13
1991-12-01,4427429,0.92
1992-12-01,4471503,1
1993-12-01,4521709,1.12
1994-12-01,4566028,0.98
1995-12-01,4605445,0.86
1996-12-01,4647723,0.92
1997-12-01,4687726,0.86
1998-12-01,4726411,0.83
1999-12-01,4775508,1.04
2000-12-01,4933692,3.31
2001-12-01,4982796,1
2002-12-01,5018935,0.73
2003-12-01,5053572,0.69
2004-12-01,5087713,0.68
2005-12-01,5119598,0.63
2006-12-01,5163555,0.86
2007-12-01,5207203,0.85
2008-12-01,5247018,0.76
2009-12-01,5281203,0.65
2010-12-01,5310934,0.56
2011-12-01,5346620,0.67
2012-12-01,5377500,0.58
2013-12-01,5414722,0.69
2014-12-01,5452665,0.7
2015-12-01,5484002,0.57
2016-12-01,5525360,0.75
2017-12-01,5569283,0.79
2018-12-01,5608762,0.71
2019-12-01,5640053,0.56
2020-12-01,5710578,1.25
2021-12-01,5717968,0.13
2022-12-01,5714300,-0.06
2023-12-01,5737915,0.41
