#  Minnesota September Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189509,0.00,-0.32
189609,0.92,0.60
189709,-0.94,-1.26
189809,-0.60,-0.92
189909,2.68,2.36
190009,2.99,2.67
190109,-0.76,-1.08
190209,1.48,1.16
190309,4.74,4.42
190409,2.75,2.43
190509,4.59,4.27
190609,3.45,3.13
190709,3.09,2.77
190809,1.89,1.57
190909,1.60,1.28
191009,-4.87,-5.19
191109,0.59,0.27
191209,1.06,0.74
191309,1.22,0.90
191409,0.48,0.16
191509,1.96,1.64
191609,2.96,2.64
191709,-1.88,-2.20
191809,-2.91,-3.23
191909,1.23,0.91
192009,-0.85,-1.17
192109,-1.89,-2.21
192209,-4.23,-4.55
192309,-3.31,-3.63
192409,1.82,1.50
192509,-0.16,-0.48
192609,1.45,1.13
192709,-0.87,-1.19
192809,2.31,1.99
192909,-2.07,-2.39
193009,-3.02,-3.34
193109,-4.38,-4.70
193209,-3.27,-3.59
193309,-4.54,-4.86
193409,-6.82,-7.14
193509,0.75,0.43
193609,-4.64,-4.96
193709,-2.65,-2.97
193809,-1.12,-1.44
193909,-2.55,-2.87
194009,-3.85,-4.17
194109,1.58,1.26
194209,3.52,3.20
194309,2.64,2.32
194409,3.80,3.48
194509,3.58,3.26
194609,1.71,1.39
194709,-0.81,-1.13
194809,-2.06,-2.38
194909,-1.27,-1.59
195009,-0.95,-1.27
195109,3.08,2.76
195209,-1.12,-1.44
195309,2.34,2.02
195409,-0.34,-0.66
195509,-1.80,-2.12
195609,-1.19,-1.51
195709,2.63,2.31
195809,-1.54,-1.86
195909,0.96,0.64
196009,-0.40,-0.72
196109,0.79,0.47
196209,3.07,2.75
196309,-0.53,-0.85
196409,1.67,1.35
196509,4.65,4.33
196609,-0.73,-1.05
196709,-2.08,-2.40
196809,2.83,2.51
196909,-1.13,-1.45
197009,-1.94,-2.26
197109,0.91,0.59
197209,2.93,2.61
197309,2.17,1.85
197409,-0.85,-1.17
197509,-0.86,-1.18
197609,-5.08,-5.40
197709,1.72,1.40
197809,2.90,2.58
197909,2.50,2.18
198009,-1.56,-1.88
198109,1.30,0.98
198209,1.76,1.44
198309,2.39,2.07
198409,0.92,0.60
198509,4.02,3.70
198609,5.47,5.15
198709,-2.34,-2.66
198809,-5.09,-5.41
198909,-2.73,-3.05
199009,-0.90,-1.22
199109,2.40,2.08
199209,2.54,2.22
199309,5.37,5.05
199409,2.96,2.64
199509,2.40,2.08
199609,1.16,0.84
199709,1.99,1.67
199809,-1.18,-1.50
199909,3.78,3.46
200009,1.09,0.77
200109,-0.87,-1.19
200209,2.38,2.06
200309,-1.35,-1.67
200409,2.62,2.30
200509,2.31,1.99
200609,-2.28,-2.60
200709,0.54,0.22
200809,0.83,0.51
200909,-1.84,-2.16
201009,3.97,3.65
201109,-1.22,-1.54
201209,-3.77,-4.09
201309,-1.59,-1.91
201409,-0.38,-0.70
201509,1.08,0.76
201609,4.28,3.96
201709,3.13,2.81
201809,2.60,2.28
201909,5.22,4.90
202009,-0.62,-0.94
202109,-3.76,-4.08
202209,-1.79,-2.11
202309,-3.77,-4.09
