year,price-received
2023,4.8
2022,6.71
2021,6.15
2020,4.59
2019,3.67
2018,3.68
2017,3.41
2016,3.4
2015,3.69
2014,3.54
2013,4.57
2012,7.34
2011,6.4
2010,5.35
2009,3.58
2008,4.11
2007,4.17
2006,3.06
2005,2.03
2004,2.03
2003,2.46
2002,2.45
2001,1.96
2000,1.78
1999,1.96
1998,1.92
1997,2.45
1996,2.77
1995,3.48
1994,2.25
1993,2.58
1992,2.11
1991,2.45
1990,2.38
1989,2.38
1988,2.63
1987,1.82
1986,1.45
1985,2.14
1984,2.69
1983,3.4
1982,2.7
1981,2.48
1980,3.26
1979,2.43
1978,2.26
1977,2.05
1976,2.27
1975,2.59
1974,3.15
1973,2.52
1972,1.43
1971,1.1
1970,1.4
1969,1.19
1968,1.09
1967,1.1
1966,1.3
1965,1.15
1964,1.19
1963,1.14
1962,1.13
1961,1.11
1960,1.0
1959,1.05
1958,1.11
1957,1.12
1956,1.32
1955,1.34
1954,1.52
1953,1.51
1952,1.52
1951,1.77
1950,1.48
1949,1.21
