year,grain yield (bu/acre),silage yield (bu/acre)
1866,26.0,
1867,32.0,
1868,26.5,
1869,30.6,
1870,34.0,
1871,35.5,
1872,31.5,
1873,23.5,
1874,16.0,
1875,36.0,
1876,28.0,
1877,29.0,
1878,26.0,
1879,36.2,
1880,28.5,
1881,16.5,
1882,33.5,
1883,28.0,
1884,34.0,
1885,31.5,
1886,24.0,
1887,23.0,
1888,31.0,
1889,32.4,
1890,28.0,
1891,30.0,
1892,28.0,
1893,30.5,
1894,24.0,
1895,37.0,
1896,29.5,
1897,26.0,
1898,30.0,
1899,28.1,
1900,29.5,
1901,10.0,
1902,39.0,
1903,29.5,
1904,26.0,
1905,34.0,
1906,32.5,
1907,31.0,
1908,27.0,
1909,26.9,
1910,33.0,
1911,26.0,
1912,32.0,
1913,17.5,
1914,22.0,
1915,29.5,
1916,19.5,
1917,33.5,
1918,20.0,
1919,26.5,5.0
1920,31.5,5.6
1921,30.5,5.7
1922,28.5,6.4
1923,30.0,5.8
1924,23.5,5.9
1925,27.5,6.9
1926,26.0,6.2
1927,27.0,7.5
1928,27.5,6.2
1929,23.2,5.3
1930,16.0,4.5
1931,26.0,6.3
1932,28.0,6.5
1933,24.0,6.0
1934,9.3,2.7
1935,19.0,4.5
1936,10.5,3.0
1937,27.5,6.3
1938,26.0,6.0
1939,30.3,6.7
1940,31.0,6.9
1941,29.5,6.8
1942,36.0,6.5
1943,31.5,6.0
1944,33.5,6.0
1945,28.5,5.0
1946,37.5,6.5
1947,25.0,5.0
1948,45.0,7.5
1949,39.0,7.6
1950,44.0,7.5
1951,34.0,7.5
1952,41.0,7.5
1953,33.5,6.3
1954,23.0,4.2
1955,40.0,7.5
1956,48.0,8.5
1957,44.0,8.0
1958,54.0,9.0
1959,53.0,9.0
1960,52.0,9.0
1961,62.0,11.0
1962,58.0,9.0
1963,61.0,10.0
1964,53.0,9.0
1965,75.0,11.5
1966,64.0,10.0
1967,69.0,11.0
1968,83.0,12.0
1969,68.0,11.0
1970,61.0,9.5
1971,88.0,12.0
1972,91.0,12.0
1973,88.0,12.0
1974,54.0,9.0
1975,63.0,10.0
1976,61.0,9.5
1977,76.0,11.0
1978,87.0,13.0
1979,103.0,13.5
1980,53.0,7.5
1981,107.0,14.0
1982,101.0,13.0
1983,51.0,8.0
1984,80.0,11.0
1985,110.0,13.5
1986,116.0,13.5
1987,113.0,14.0
1988,76.0,8.0
1989,96.0,12.5
1990,105.0,13.0
1991,97.0,10.0
1992,135.0,14.0
1993,90.0,8.5
1994,118.0,13.0
1995,102.0,10.0
1996,134.0,15.0
1997,115.0,14.0
1998,114.0,12.5
1999,97.0,9.5
2000,143.0,15.0
2001,133.0,16.0
2002,105.0,13.0
2003,108.0,10.5
2004,162.0,14.5
2005,111.0,13.0
2006,138.0,13.0
2007,140.0,15.0
2008,144.0,14.0
2009,153.0,16.0
2010,123.0,15.0
2011,114.0,10.0
2012,75.0,8.0
2013,136.0,14.0
2014,186.0,18.0
2015,142.0,14.0
2016,163.0,15.0
2017,170.0,15.0
2018,140.0,13.0
2019,155.0,16.0
2020,170.0,17.0
2021,159.0,15.0
2022,161.0,11.0
2023,153.0,14.0
2024,185.0,
