#  Missouri April Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189504,58.0,3.5
189604,61.8,7.3
189704,54.0,-0.5
189804,52.0,-2.5
189904,53.6,-0.9
190004,55.9,1.4
190104,52.8,-1.7
190204,53.2,-1.3
190304,55.1,0.6
190404,48.3,-6.2
190504,54.2,-0.3
190604,58.2,3.7
190704,47.2,-7.3
190804,54.8,0.3
190904,53.2,-1.3
191004,54.3,-0.2
191104,53.0,-1.5
191204,55.0,0.5
191304,54.9,0.4
191404,54.0,-0.5
191504,60.3,5.8
191604,52.4,-2.1
191704,52.3,-2.2
191804,50.2,-4.3
191904,54.6,0.1
192004,49.8,-4.7
192104,55.2,0.7
192204,56.0,1.5
192304,53.6,-0.9
192404,56.0,1.5
192504,60.3,5.8
192604,49.0,-5.5
192704,57.1,2.6
192804,50.5,-4.0
192904,56.5,2.0
193004,58.4,3.9
193104,53.8,-0.7
193204,56.7,2.2
193304,53.9,-0.6
193404,55.4,0.9
193504,51.3,-3.2
193604,52.0,-2.5
193704,53.4,-1.1
193804,55.5,1.0
193904,52.4,-2.1
194004,52.9,-1.6
194104,58.0,3.5
194204,58.0,3.5
194304,54.7,0.2
194404,50.8,-3.7
194504,54.8,0.3
194604,58.4,3.9
194704,54.1,-0.4
194804,59.5,5.0
194904,53.2,-1.3
195004,50.3,-4.2
195104,50.5,-4.0
195204,53.1,-1.4
195304,50.3,-4.2
195404,60.8,6.3
195504,60.7,6.2
195604,52.8,-1.7
195704,54.7,0.2
195804,54.0,-0.5
195904,54.8,0.3
196004,56.8,2.3
196104,50.4,-4.1
196204,52.4,-2.1
196304,58.2,3.7
196404,57.6,3.1
196504,57.9,3.4
196604,51.8,-2.7
196704,58.2,3.7
196804,55.1,0.6
196904,55.8,1.3
197004,56.0,1.5
197104,55.7,1.2
197204,55.4,0.9
197304,52.2,-2.3
197404,56.6,2.1
197504,53.9,-0.6
197604,56.7,2.2
197704,59.5,5.0
197804,56.4,1.9
197904,52.8,-1.7
198004,53.6,-0.9
198104,61.9,7.4
198204,50.9,-3.6
198304,48.3,-6.2
198404,52.2,-2.3
198504,58.5,4.0
198604,58.2,3.7
198704,55.9,1.4
198804,54.7,0.2
198904,55.8,1.3
199004,53.6,-0.9
199104,57.8,3.3
199204,54.8,0.3
199304,51.2,-3.3
199404,55.5,1.0
199504,53.6,-0.9
199604,52.3,-2.2
199704,50.0,-4.5
199804,54.0,-0.5
199904,56.9,2.4
200004,54.4,-0.1
200104,60.5,6.0
200204,57.3,2.8
200304,56.7,2.2
200404,56.2,1.7
200504,56.8,2.3
200604,60.9,6.4
200704,52.3,-2.2
200804,52.2,-2.3
200904,53.4,-1.1
201004,60.5,6.0
201104,56.8,2.3
201204,59.0,4.5
201304,52.1,-2.4
201404,55.1,0.6
201504,57.7,3.2
201604,57.3,2.8
201704,58.5,4.0
201804,48.2,-6.3
201904,56.7,2.2
202004,53.1,-1.4
202104,54.2,-0.3
202204,53.0,-1.5
202304,56.0,1.5
202404,58.6,4.1
