#  Missouri April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,63.8,-0.5
189611,65.0,0.7
189711,65.2,0.9
189811,63.5,-0.8
189911,65.8,1.5
190011,65.8,1.5
190111,65.9,1.6
190211,64.4,0.1
190311,62.5,-1.8
190411,62.5,-1.8
190511,63.9,-0.4
190611,63.9,-0.4
190711,61.8,-2.5
190811,64.1,-0.2
190911,65.0,0.7
191011,63.1,-1.2
191111,65.0,0.7
191211,64.4,0.1
191311,66.2,1.9
191411,66.3,2.0
191511,64.2,-0.1
191611,64.6,0.3
191711,61.6,-2.7
191811,64.7,0.4
191911,64.4,0.1
192011,63.0,-1.3
192111,65.9,1.6
192211,65.8,1.5
192311,63.5,-0.8
192411,63.3,-1.0
192511,64.3,0.0
192611,63.1,-1.2
192711,64.3,0.0
192811,63.0,-1.3
192911,62.9,-1.4
193011,65.4,1.1
193111,66.4,2.1
193211,64.1,-0.2
193311,65.6,1.3
193411,67.7,3.4
193511,62.8,-1.5
193611,66.8,2.5
193711,64.1,-0.2
193811,66.1,1.8
193911,65.5,1.2
194011,63.8,-0.5
194111,66.5,2.2
194211,64.5,0.2
194311,64.0,-0.3
194411,64.8,0.5
194511,62.9,-1.4
194611,64.5,0.2
194711,64.9,0.6
194811,64.5,0.2
194911,64.2,-0.1
195011,62.0,-2.3
195111,62.0,-2.3
195211,64.3,0.0
195311,65.7,1.4
195411,66.9,2.6
195511,65.1,0.8
195611,65.6,1.3
195711,63.5,-0.8
195811,64.2,-0.1
195911,63.7,-0.6
196011,64.7,0.4
196111,62.4,-1.9
196211,64.7,0.4
196311,66.5,2.2
196411,65.1,0.8
196511,65.2,0.9
196611,63.0,-1.3
196711,62.2,-2.1
196811,63.2,-1.1
196911,63.8,-0.5
197011,64.4,0.1
197111,64.9,0.6
197211,63.4,-0.9
197311,64.7,0.4
197411,63.2,-1.1
197511,64.7,0.4
197611,61.7,-2.6
197711,66.0,1.7
197811,64.9,0.6
197911,63.2,-1.1
198011,65.8,1.5
198111,64.6,0.3
198211,63.2,-1.1
198311,64.5,0.2
198411,63.5,-0.8
198511,64.1,-0.2
198611,65.0,0.7
198711,65.3,1.0
198811,64.7,0.4
198911,63.2,-1.1
199011,64.5,0.2
199111,65.1,0.8
199211,62.1,-2.2
199311,62.5,-1.8
199411,64.2,-0.1
199511,63.2,-1.1
199611,62.5,-1.8
199711,62.4,-1.9
199811,66.5,2.2
199911,65.5,1.2
200011,64.7,0.4
200111,65.9,1.6
200211,64.4,0.1
200311,64.3,0.0
200411,64.2,-0.1
200511,65.9,1.6
200611,65.2,0.9
200711,65.9,1.6
200811,63.2,-1.1
200911,63.1,-1.2
201011,66.8,2.5
201111,65.7,1.4
201211,66.2,1.9
201311,63.3,-1.0
201411,63.3,-1.0
201511,65.7,1.4
201611,67.1,2.8
201711,65.3,1.0
201811,64.8,0.5
201911,64.5,0.2
202011,64.3,0.0
202111,65.4,1.1
202211,65.0,0.7
202311,65.6,1.3
