#  Missouri April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,29.94,-0.92
189611,34.66,3.80
189711,22.81,-8.05
189811,39.21,8.35
189911,28.56,-2.30
190011,31.92,1.06
190111,15.66,-15.20
190211,35.61,4.75
190311,31.22,0.36
190411,31.00,0.14
190511,38.50,7.64
190611,27.81,-3.05
190711,29.52,-1.34
190811,33.36,2.50
190911,33.91,3.05
191011,31.09,0.23
191111,28.48,-2.38
191211,30.07,-0.79
191311,24.68,-6.18
191411,24.74,-6.12
191511,39.13,8.27
191611,26.81,-4.05
191711,27.23,-3.63
191811,30.34,-0.52
191911,35.10,4.24
192011,28.13,-2.73
192111,34.44,3.58
192211,27.60,-3.26
192311,29.97,-0.89
192411,30.71,-0.15
192511,32.93,2.07
192611,34.03,3.17
192711,42.48,11.62
192811,38.08,7.22
192911,35.75,4.89
193011,22.63,-8.23
193111,31.65,0.79
193211,26.02,-4.84
193311,27.62,-3.24
193411,27.76,-3.10
193511,37.41,6.55
193611,22.78,-8.08
193711,25.11,-5.75
193811,28.49,-2.37
193911,27.68,-3.18
194011,24.74,-6.12
194111,36.16,5.30
194211,35.26,4.40
194311,32.33,1.47
194411,29.89,-0.97
194511,38.48,7.62
194611,32.44,1.58
194711,34.18,3.32
194811,28.64,-2.22
194911,31.88,1.02
195011,29.46,-1.40
195111,39.69,8.83
195211,23.45,-7.41
195311,16.32,-14.54
195411,26.61,-4.25
195511,25.89,-4.97
195611,24.31,-6.55
195711,37.04,6.18
195811,35.36,4.50
195911,28.57,-2.29
196011,26.75,-4.11
196111,37.21,6.35
196211,25.13,-5.73
196311,23.20,-7.66
196411,28.91,-1.95
196511,33.37,2.51
196611,26.37,-4.49
196711,33.60,2.74
196811,32.36,1.50
196911,33.59,2.73
197011,37.94,7.08
197111,23.38,-7.48
197211,31.64,0.78
197311,39.52,8.66
197411,32.16,1.30
197511,28.48,-2.38
197611,21.77,-9.09
197711,34.21,3.35
197811,31.51,0.65
197911,30.11,-0.75
198011,20.72,-10.14
198111,38.47,7.61
198211,34.37,3.51
198311,34.14,3.28
198411,33.92,3.06
198511,38.38,7.52
198611,36.13,5.27
198711,27.80,-3.06
198811,24.80,-6.06
198911,24.48,-6.38
199011,33.54,2.68
199111,30.79,-0.07
199211,32.33,1.47
199311,46.90,16.04
199411,34.45,3.59
199511,33.51,2.65
199611,36.73,5.87
199711,28.18,-2.68
199811,36.90,6.04
199911,24.80,-6.06
200011,27.59,-3.27
200111,32.62,1.76
200211,30.32,-0.54
200311,31.38,0.52
200411,35.02,4.16
200511,26.65,-4.21
200611,28.55,-2.31
200711,27.69,-3.17
200811,40.16,9.30
200911,41.99,11.13
201011,36.47,5.61
201111,33.95,3.09
201211,21.58,-9.28
201311,33.21,2.35
201411,33.10,2.24
201511,41.72,10.86
201611,33.26,2.40
201711,34.11,3.25
201811,28.99,-1.87
201911,41.31,10.45
202011,32.38,1.52
202111,32.11,1.25
202211,29.02,-1.84
202311,22.69,-8.17
