#  Missouri August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,2.18,1.90
189608,2.14,1.86
189708,-0.41,-0.69
189808,3.35,3.07
189908,-0.17,-0.45
190008,0.62,0.34
190108,-4.19,-4.47
190208,2.24,1.96
190308,2.88,2.60
190408,3.87,3.59
190508,2.31,2.03
190608,2.03,1.75
190708,2.33,2.05
190808,2.33,2.05
190908,-0.96,-1.24
191008,1.40,1.12
191108,0.01,-0.27
191208,0.33,0.05
191308,-3.12,-3.40
191408,-3.81,-4.09
191508,4.30,4.02
191608,-1.03,-1.31
191708,-0.66,-0.94
191808,-3.22,-3.50
191908,0.49,0.21
192008,0.55,0.27
192108,0.68,0.40
192208,-1.47,-1.75
192308,0.47,0.19
192408,2.35,2.07
192508,-0.29,-0.57
192608,0.58,0.30
192708,5.23,4.95
192808,3.92,3.64
192908,3.42,3.14
193008,-3.58,-3.86
193108,0.48,0.20
193208,0.49,0.21
193308,-1.64,-1.92
193408,-6.16,-6.44
193508,-0.65,-0.93
193608,-6.04,-6.32
193708,-0.81,-1.09
193808,-0.48,-0.76
193908,1.04,0.76
194008,-1.72,-2.00
194108,-3.22,-3.50
194208,2.16,1.88
194308,-0.76,-1.04
194408,1.01,0.73
194508,2.90,2.62
194608,-0.03,-0.31
194708,-1.11,-1.39
194808,-0.22,-0.50
194908,1.62,1.34
195008,4.05,3.77
195108,3.96,3.68
195208,-1.13,-1.41
195308,-4.56,-4.84
195408,-6.39,-6.67
195508,-2.78,-3.06
195608,-2.57,-2.85
195708,1.75,1.47
195808,3.37,3.09
195908,-0.27,-0.55
196008,-0.15,-0.43
196108,2.37,2.09
196208,-1.78,-2.06
196308,-1.98,-2.26
196408,-2.28,-2.56
196508,1.50,1.22
196608,-0.52,-0.80
196708,0.83,0.55
196808,1.11,0.83
196908,1.97,1.69
197008,1.23,0.95
197108,-1.82,-2.10
197208,-0.23,-0.51
197308,3.32,3.04
197408,2.73,2.45
197508,0.37,0.09
197608,-1.56,-1.84
197708,0.72,0.44
197808,1.56,1.28
197908,1.88,1.60
198008,-3.29,-3.57
198108,3.25,2.97
198208,3.54,3.26
198308,-2.08,-2.36
198408,-1.22,-1.50
198508,3.41,3.13
198608,0.96,0.68
198708,0.61,0.33
198808,-2.39,-2.67
198908,1.01,0.73
199008,2.43,2.15
199108,-1.77,-2.05
199208,1.15,0.87
199308,4.76,4.48
199408,2.79,2.51
199508,-0.03,-0.31
199608,1.12,0.84
199708,1.58,1.30
199808,2.35,2.07
199908,-1.15,-1.43
200008,-0.27,-0.55
200108,1.00,0.72
200208,-0.80,-1.08
200308,-0.32,-0.60
200408,2.35,2.07
200508,-1.20,-1.48
200608,-2.25,-2.53
200708,-0.77,-1.05
200808,4.33,4.05
200908,4.19,3.91
201008,3.59,3.31
201108,-0.89,-1.17
201208,-4.31,-4.59
201308,2.18,1.90
201408,0.69,0.41
201508,3.80,3.52
201608,3.18,2.90
201708,2.36,2.08
201808,0.55,0.27
201908,4.66,4.38
202008,3.62,3.34
202108,2.50,2.22
202208,-0.54,-0.82
202308,-1.09,-1.37
202408,1.25,0.97
