#  Missouri July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,1.98,1.70
189607,2.29,2.01
189707,-0.17,-0.45
189807,3.55,3.27
189907,2.60,2.32
190007,0.66,0.38
190107,-3.47,-3.75
190207,1.13,0.85
190307,2.40,2.12
190407,3.32,3.04
190507,1.81,1.53
190607,1.64,1.36
190707,2.29,2.01
190807,2.42,2.14
190907,2.35,2.07
191007,1.54,1.26
191107,-2.67,-2.95
191207,0.07,-0.21
191307,-1.83,-2.11
191407,-4.00,-4.28
191507,2.47,2.19
191607,-0.88,-1.16
191707,-1.29,-1.57
191807,-2.96,-3.24
191907,0.31,0.03
192007,0.09,-0.19
192107,0.10,-0.18
192207,-0.94,-1.22
192307,0.47,0.19
192407,2.03,1.75
192507,-0.19,-0.47
192607,-1.27,-1.55
192707,4.69,4.41
192807,3.53,3.25
192907,4.05,3.77
193007,-2.93,-3.21
193107,-3.13,-3.41
193207,-0.07,-0.35
193307,-1.76,-2.04
193407,-6.14,-6.42
193507,-0.12,-0.40
193607,-4.66,-4.94
193707,-0.25,-0.53
193807,1.19,0.91
193907,0.65,0.37
194007,-2.75,-3.03
194107,-3.12,-3.40
194207,2.03,1.75
194307,-0.30,-0.58
194407,-1.21,-1.49
194507,3.83,3.55
194607,-0.81,-1.09
194707,-0.23,-0.51
194807,1.73,1.45
194907,1.68,1.40
195007,2.81,2.53
195107,3.35,3.07
195207,-1.74,-2.02
195307,-3.77,-4.05
195407,-7.13,-7.41
195507,-2.70,-2.98
195607,-2.75,-3.03
195707,2.45,2.17
195807,3.89,3.61
195907,0.18,-0.10
196007,0.63,0.35
196107,2.63,2.35
196207,-1.34,-1.62
196307,-2.10,-2.38
196407,-2.76,-3.04
196507,0.92,0.64
196607,-0.84,-1.12
196707,1.37,1.09
196807,1.03,0.75
196907,2.42,2.14
197007,0.83,0.55
197107,-1.49,-1.77
197207,0.22,-0.06
197307,4.21,3.93
197407,2.15,1.87
197507,-0.95,-1.23
197607,-1.10,-1.38
197707,-0.29,-0.57
197807,1.44,1.16
197907,1.85,1.57
198007,-3.03,-3.31
198107,3.32,3.04
198207,2.00,1.72
198307,-0.93,-1.21
198407,-0.40,-0.68
198507,2.62,2.34
198607,1.07,0.79
198707,0.34,0.06
198807,-2.27,-2.55
198907,0.38,0.10
199007,2.79,2.51
199107,-1.26,-1.54
199207,1.33,1.05
199307,4.77,4.49
199407,3.07,2.79
199507,3.35,3.07
199607,1.32,1.04
199707,1.54,1.26
199807,2.83,2.55
199907,-0.60,-0.88
200007,1.11,0.83
200107,1.18,0.90
200207,-0.77,-1.05
200307,-0.30,-0.58
200407,1.50,1.22
200507,-1.88,-2.16
200607,-2.67,-2.95
200707,-0.45,-0.73
200807,4.85,4.57
200907,3.77,3.49
201007,4.28,4.00
201107,-0.81,-1.09
201207,-3.90,-4.18
201307,2.11,1.83
201407,0.37,0.09
201507,3.67,3.39
201607,2.28,2.00
201707,1.83,1.55
201807,-2.07,-2.35
201907,3.90,3.62
202007,4.11,3.83
202107,2.81,2.53
202207,-0.59,-0.87
202307,-2.00,-2.28
202407,1.43,1.15
