#  Missouri June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,0.50,0.21
189606,1.69,1.40
189706,-0.17,-0.46
189806,2.88,2.59
189906,2.32,2.03
190006,0.24,-0.05
190106,-2.38,-2.67
190206,0.81,0.52
190306,2.54,2.25
190406,3.01,2.72
190506,-1.53,-1.82
190606,1.62,1.33
190706,2.09,1.80
190806,2.54,2.25
190906,1.47,1.18
191006,0.62,0.33
191106,-2.52,-2.81
191206,0.26,-0.03
191306,-1.51,-1.80
191406,-3.42,-3.71
191506,1.65,1.36
191606,0.77,0.48
191706,-1.45,-1.74
191806,-2.55,-2.84
191906,0.79,0.50
192006,0.21,-0.08
192106,0.59,0.30
192206,-1.61,-1.90
192306,0.57,0.28
192406,1.21,0.92
192506,0.25,-0.04
192606,-1.14,-1.43
192706,4.69,4.40
192806,4.09,3.80
192906,4.26,3.97
193006,-2.06,-2.35
193106,-3.18,-3.47
193206,-0.03,-0.32
193306,-1.17,-1.46
193406,-4.99,-5.28
193506,3.94,3.65
193606,-3.50,-3.79
193706,-0.59,-0.88
193806,1.26,0.97
193906,0.91,0.62
194006,-2.35,-2.64
194106,-3.09,-3.38
194206,2.48,2.19
194306,2.83,2.54
194406,-0.90,-1.19
194506,4.54,4.25
194606,-0.49,-0.78
194706,2.43,2.14
194806,1.00,0.71
194906,1.31,1.02
195006,2.40,2.11
195106,2.62,2.33
195206,-1.57,-1.86
195306,-3.11,-3.40
195406,-6.70,-6.99
195506,-2.79,-3.08
195606,-3.90,-4.19
195706,2.72,2.43
195806,1.27,0.98
195906,-1.37,-1.66
196006,0.44,0.15
196106,1.71,1.42
196206,-1.30,-1.59
196306,-2.48,-2.77
196406,-2.88,-3.17
196506,0.34,0.05
196606,-0.57,-0.86
196706,1.20,0.91
196806,0.71,0.42
196906,1.85,1.56
197006,1.72,1.43
197106,-1.90,-2.19
197206,-2.52,-2.81
197306,4.10,3.81
197406,3.11,2.82
197506,-0.44,-0.73
197606,-1.04,-1.33
197706,0.31,0.02
197806,1.07,0.78
197906,1.23,0.94
198006,-2.14,-2.43
198106,2.03,1.74
198206,2.18,1.89
198306,-0.27,-0.56
198406,-0.27,-0.56
198506,3.15,2.86
198606,1.14,0.85
198706,-1.78,-2.07
198806,-2.36,-2.65
198906,0.08,-0.21
199006,2.79,2.50
199106,-1.16,-1.45
199206,-1.44,-1.73
199306,3.03,2.74
199406,3.58,3.29
199506,3.44,3.15
199606,0.77,0.48
199706,2.15,1.86
199806,1.86,1.57
199906,2.38,2.09
200006,0.84,0.55
200106,0.70,0.41
200206,-0.55,-0.84
200306,0.37,0.08
200406,0.61,0.32
200506,-1.71,-2.00
200606,-2.88,-3.17
200706,-0.19,-0.48
200806,4.10,3.81
200906,3.51,3.22
201006,3.43,3.14
201106,-0.24,-0.53
201206,-2.82,-3.11
201306,2.33,2.04
201406,0.47,0.18
201506,2.17,1.88
201606,1.50,1.21
201706,2.04,1.75
201806,-1.70,-1.99
201906,3.84,3.55
202006,3.75,3.46
202106,2.44,2.15
202206,-0.64,-0.93
202306,-2.27,-2.56
202406,0.62,0.33
