#  Missouri May Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189505,-1.65,-1.80
189605,2.02,1.87
189705,-0.65,-0.80
189805,2.87,2.72
189905,2.86,2.71
190005,-1.51,-1.66
190105,-1.44,-1.59
190205,-4.55,-4.70
190305,2.97,2.82
190405,2.51,2.36
190505,-1.14,-1.29
190605,1.61,1.46
190705,1.83,1.68
190805,2.29,2.14
190905,1.33,1.18
191005,0.78,0.63
191105,-1.43,-1.58
191205,-0.45,-0.60
191305,-0.89,-1.04
191405,-2.58,-2.73
191505,0.94,0.79
191605,0.23,0.08
191705,-1.55,-1.70
191805,-2.26,-2.41
191905,0.49,0.34
192005,0.99,0.84
192105,0.37,0.22
192205,-0.64,-0.79
192305,0.29,0.14
192405,0.29,0.14
192505,-1.61,-1.76
192605,-1.06,-1.21
192705,4.62,4.47
192805,2.04,1.89
192905,4.22,4.07
193005,-2.04,-2.19
193105,-2.74,-2.89
193205,-2.10,-2.25
193305,1.42,1.27
193405,-4.52,-4.67
193505,2.53,2.38
193605,-2.62,-2.77
193705,-0.77,-0.92
193805,1.25,1.10
193905,0.60,0.45
194005,-2.62,-2.77
194105,-3.28,-3.43
194205,1.54,1.39
194305,2.51,2.36
194405,-0.25,-0.40
194505,3.50,3.35
194605,0.81,0.66
194705,1.23,1.08
194805,-1.37,-1.52
194905,0.71,0.56
195005,2.67,2.52
195105,1.20,1.05
195205,-0.57,-0.72
195305,-2.27,-2.42
195405,-6.90,-7.05
195505,-3.41,-3.56
195605,-3.92,-4.07
195705,2.28,2.13
195805,0.97,0.82
195905,-0.77,-0.92
196005,0.62,0.47
196105,2.18,2.03
196205,-1.25,-1.40
196305,-2.23,-2.38
196405,-3.45,-3.60
196505,-0.75,-0.90
196605,-0.37,-0.52
196705,0.47,0.32
196805,1.35,1.20
196905,1.33,1.18
197005,1.41,1.26
197105,-1.45,-1.60
197205,-1.94,-2.09
197305,4.75,4.60
197405,3.47,3.32
197505,-0.37,-0.52
197605,-0.91,-1.06
197705,-3.35,-3.50
197805,1.64,1.49
197905,1.52,1.37
198005,-1.64,-1.79
198105,1.19,1.04
198205,1.97,1.82
198305,4.08,3.93
198405,-0.06,-0.21
198505,2.56,2.41
198605,1.78,1.63
198705,-1.44,-1.59
198805,-1.38,-1.53
198905,-0.98,-1.13
199005,3.01,2.86
199105,-0.39,-0.54
199205,-1.19,-1.34
199305,2.67,2.52
199405,4.38,4.23
199505,3.44,3.29
199605,1.03,0.88
199705,2.48,2.33
199805,1.16,1.01
199905,2.52,2.37
200005,-3.86,-4.01
200105,0.21,0.06
200205,3.00,2.85
200305,0.14,-0.01
200405,0.92,0.77
200505,-1.55,-1.70
200605,-2.72,-2.87
200705,-0.42,-0.57
200805,3.71,3.56
200905,3.53,3.38
201005,3.92,3.77
201105,3.83,3.68
201205,-2.03,-2.18
201305,2.60,2.45
201405,-0.56,-0.71
201505,1.46,1.31
201605,2.58,2.43
201705,2.34,2.19
201805,-1.39,-1.54
201905,3.81,3.66
202005,4.57,4.42
202105,2.42,2.27
202205,2.27,2.12
202305,-1.53,-1.68
202405,0.68,0.53
