Macrotrends Data Download

Missouri Population 1900-2023
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,3108000
1901-12-01,3128000,0.64
1902-12-01,3147000,0.61
1903-12-01,3166000,0.6
1904-12-01,3185000,0.6
1905-12-01,3204000,0.6
1906-12-01,3223000,0.59
1907-12-01,3242000,0.59
1908-12-01,3260000,0.56
1909-12-01,3279000,0.58
1910-12-01,3301000,0.67
1911-12-01,3317000,0.48
1912-12-01,3344000,0.81
1913-12-01,3409000,1.94
1914-12-01,3467000,1.7
1915-12-01,3492000,0.72
1916-12-01,3527000,1
1917-12-01,3470000,-1.62
1918-12-01,3325000,-4.18
1919-12-01,3371000,1.38
1920-12-01,3404000,0.98
1921-12-01,3429000,0.73
1922-12-01,3437000,0.23
1923-12-01,3454000,0.49
1924-12-01,3508000,1.56
1925-12-01,3526000,0.51
1926-12-01,3556000,0.85
1927-12-01,3576000,0.56
1928-12-01,3601000,0.7
1929-12-01,3622000,0.58
1930-12-01,3646000,0.66
1931-12-01,3711000,1.78
1932-12-01,3746000,0.94
1933-12-01,3773000,0.72
1934-12-01,3784000,0.29
1935-12-01,3798000,0.37
1936-12-01,3801000,0.08
1937-12-01,3794000,-0.18
1938-12-01,3781000,-0.34
1939-12-01,3783000,0.05
1940-12-01,3786000,0.08
1941-12-01,3811000,0.66
1942-12-01,3829000,0.47
1943-12-01,3705000,-3.24
1944-12-01,3560000,-3.91
1945-12-01,3516000,-1.24
1946-12-01,3746000,6.54
1947-12-01,3845000,2.64
1948-12-01,3844000,-0.03
1949-12-01,3882000,0.99
1950-12-01,3964000,2.11
1951-12-01,4015000,1.29
1952-12-01,3972000,-1.07
1953-12-01,4020000,1.21
1954-12-01,4066000,1.14
1955-12-01,4134000,1.67
1956-12-01,4163000,0.7
1957-12-01,4189000,0.62
1958-12-01,4186000,-0.07
1959-12-01,4258000,1.72
1960-12-01,4326000,1.6
1961-12-01,4349000,0.53
1962-12-01,4357000,0.18
1963-12-01,4392000,0.8
1964-12-01,4442000,1.14
1965-12-01,4467000,0.56
1966-12-01,4523000,1.25
1967-12-01,4539000,0.35
1968-12-01,4568000,0.64
1969-12-01,4640000,1.58
1970-12-01,4677623,0.81
1971-12-01,4725764,1.03
1972-12-01,4758780,0.7
1973-12-01,4782645,0.5
1974-12-01,4795930,0.28
1975-12-01,4808308,0.26
1976-12-01,4839029,0.64
1977-12-01,4863173,0.5
1978-12-01,4889399,0.54
1979-12-01,4912430,0.47
1980-12-01,4921966,0.19
1981-12-01,4932064,0.21
1982-12-01,4929451,-0.05
1983-12-01,4943733,0.29
1984-12-01,4975278,0.64
1985-12-01,5000268,0.5
1986-12-01,5023068,0.46
1987-12-01,5056696,0.67
1988-12-01,5081736,0.5
1989-12-01,5095830,0.28
1990-12-01,5126370,0.6
1991-12-01,5157770,0.61
1992-12-01,5193686,0.7
1993-12-01,5237757,0.85
1994-12-01,5281206,0.83
1995-12-01,5324610,0.82
1996-12-01,5367888,0.81
1997-12-01,5407113,0.73
1998-12-01,5437562,0.56
1999-12-01,5468338,0.57
2000-12-01,5607285,2.54
2001-12-01,5641142,0.6
2002-12-01,5674825,0.6
2003-12-01,5709403,0.61
2004-12-01,5747741,0.67
2005-12-01,5790300,0.74
2006-12-01,5842704,0.91
2007-12-01,5887612,0.77
2008-12-01,5923916,0.62
2009-12-01,5961088,0.63
2010-12-01,5996089,0.59
2011-12-01,6011182,0.25
2012-12-01,6026027,0.25
2013-12-01,6042989,0.28
2014-12-01,6059130,0.27
2015-12-01,6075411,0.27
2016-12-01,6091384,0.26
2017-12-01,6111382,0.33
2018-12-01,6125986,0.24
2019-12-01,6140475,0.24
2020-12-01,6154426,0.23
2021-12-01,6170393,0.26
2022-12-01,6177168,0.11
2023-12-01,6196156,0.31
