#  Missouri September Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189509,1.76,1.31
189609,2.29,1.84
189709,-1.61,-2.06
189809,4.04,3.59
189909,-0.69,-1.14
190009,0.83,0.38
190109,-4.59,-5.04
190209,2.73,2.28
190309,2.93,2.48
190409,3.68,3.23
190509,3.48,3.03
190609,2.15,1.70
190709,1.67,1.22
190809,-0.50,-0.95
190909,0.21,-0.24
191009,1.92,1.47
191109,0.52,0.07
191209,-0.15,-0.60
191309,-2.81,-3.26
191409,0.49,0.04
191509,4.61,4.16
191609,-1.31,-1.76
191709,-0.78,-1.23
191809,-2.55,-3.00
191909,0.16,-0.29
192009,0.74,0.29
192109,1.40,0.95
192209,-1.81,-2.26
192309,0.59,0.14
192409,2.52,2.07
192509,0.60,0.15
192609,2.11,1.66
192709,4.82,4.37
192809,3.34,2.89
192909,2.87,2.42
193009,-3.40,-3.85
193109,0.21,-0.24
193209,-0.45,-0.90
193309,-1.63,-2.08
193409,1.03,0.58
193509,-0.71,-1.16
193609,1.00,0.55
193709,-1.33,-1.78
193809,-1.20,-1.65
193909,-1.13,-1.58
194009,-2.52,-2.97
194109,0.51,0.06
194209,2.17,1.72
194309,-0.71,-1.16
194409,-0.26,-0.71
194509,4.27,3.82
194609,-0.42,-0.87
194709,-1.21,-1.66
194809,-0.69,-1.14
194909,2.07,1.62
195009,3.52,3.07
195109,4.49,4.04
195209,-1.85,-2.30
195309,-5.29,-5.74
195409,-6.57,-7.02
195509,-2.86,-3.31
195609,-3.25,-3.70
195709,1.37,0.92
195809,3.47,3.02
195909,0.30,-0.15
196009,-0.97,-1.42
196109,3.28,2.83
196209,-1.08,-1.53
196309,-2.54,-2.99
196409,-2.01,-2.46
196509,2.98,2.53
196609,-0.55,-1.00
196709,0.92,0.47
196809,1.19,0.74
196909,2.13,1.68
197009,2.55,2.10
197109,-1.90,-2.35
197209,0.20,-0.25
197309,3.80,3.35
197409,2.70,2.25
197509,0.77,0.32
197609,-2.18,-2.63
197709,1.60,1.15
197809,-0.39,-0.84
197909,-0.56,-1.01
198009,-3.57,-4.02
198109,2.55,2.10
198209,3.25,2.80
198309,-2.60,-3.05
198409,0.33,-0.12
198509,3.05,2.60
198609,2.15,1.70
198709,-0.36,-0.81
198809,-2.18,-2.63
198909,0.97,0.52
199009,1.64,1.19
199109,-1.76,-2.21
199209,1.54,1.09
199309,7.07,6.62
199409,2.11,1.66
199509,-0.35,-0.80
199609,1.78,1.33
199709,1.18,0.73
199809,2.31,1.86
199909,-1.51,-1.96
200009,-0.59,-1.04
200109,0.91,0.46
200209,-1.52,-1.97
200309,0.53,0.08
200409,1.55,1.10
200509,-1.24,-1.69
200609,-2.26,-2.71
200709,-1.13,-1.58
200809,5.47,5.02
200909,4.08,3.63
201009,4.52,4.07
201109,-1.21,-1.66
201209,-3.76,-4.21
201309,-0.46,-0.91
201409,0.76,0.31
201509,3.06,2.61
201609,3.11,2.66
201709,-0.88,-1.33
201809,0.20,-0.25
201909,4.07,3.62
202009,3.09,2.64
202109,1.72,1.27
202209,-1.28,-1.73
202309,-1.67,-2.12
